plot_term,mean_logp,n_terms,mean_logFC
anatomical structure development,1.864207217739631,33,2.218012654347356
catalytic activity,3.635719736898835,9,2.23156944856379
molecular function regulator activity,2.656703632554725,7,2.410540143422999
extracellular matrix organization,6.2131968121096435,4,2.384214008638733
cell differentiation,1.577488646394375,3,2.0253746222621287
molecular transducer activity,2.770888796981488,3,2.182112117635257
protein maturation,2.327033018011612,3,2.229025391007794
reproductive process,2.005157802537383,3,2.18050591812476
cell junction organization,1.7508940838215183,2,2.03607426995135
immune system process,1.904061729557418,2,2.3156185625376144
lipid metabolic process,1.4696080054575353,2,1.7214202562776917
nervous system process,1.533252999403642,2,2.2053071404504716
nucleobase-containing small molecule metabolic process,2.6391081881587617,2,1.611033255869652
organelle,1.4539097528968874,2,2.187570574244541
transporter activity,2.156120545850454,2,2.0802120160479274
aorta morphogenesis,1.683750867626824,1,1.8352053673078426
artery morphogenesis,2.0839001458828954,1,1.9181153038068184
axon,1.3476505745048557,1,1.999958032453882
axon development,2.8902772571268547,1,2.2135631150308472
axon guidance,3.274276299823143,1,2.18793103794491
axonal defasciculation,2.0981376539065186,1,2.02031074769452
axonal fasciculation,1.632591225450538,1,1.8193641960429119
axonogenesis,2.7935816506854403,1,2.259899250396439
azurophil granule lumen,2.2247518704911986,1,2.3314467299928725
blood coagulation,1.544886119226425,1,2.2143638497446876
branching involved in blood vessel morphogenesis,1.435795205572668,1,2.03895161479829
carbohydrate transport,1.683750867626824,1,1.5489775581507725
cartilage condensation,3.6349461593301866,1,2.628209705500763
cell activation,1.7817370303351716,1,2.0715699585314806
cell adhesion,2.778746874136004,1,2.2433268486785636
cell aggregation,4.197874866756989,1,2.5220529911864316
cell morphogenesis involved in neuron differentiation,2.455164144430009,1,2.2768031772891466
cell motility,2.026997095320052,1,2.447478644004766
cell projection morphogenesis,2.771272975260287,1,2.2075899456867427
cell recognition,2.8249823063720587,1,2.3549872095961577
cell surface,1.6453536602966066,1,2.160962890056509
cell surface receptor protein serine/threonine kinase sig...,1.3132448843934628,1,2.33195668927629
cellular response to BMP stimulus,1.480908697706982,1,2.267668883653128
cellular response to growth factor stimulus,1.518659441015468,1,2.212674131787232
cellular response to insulin-like growth factor stimulus,1.518659441015468,1,2.43644230782729
cellular response to mechanical stimulus,1.323248868719411,1,2.0912382373868335
cellular response to parathyroid hormone stimulus,1.4530751197552987,1,2.43644230782729
cellular response to retinoic acid,1.9278673559590216,1,2.308810870648163
chemotaxis,3.6548728008334628,1,2.2788952349653835
collagen binding,2.2050469467437788,1,2.177506910936488
collagen catabolic process,3.7710820900559265,1,1.8848609624149515
collagen trimer,6.562846165652403,1,2.0629397223798787
collagen-containing extracellular matrix,10.331868328505402,1,2.1440985806165767
cuticle pattern formation,1.3485314074665824,1,2.0830205149860523
cytokine receptor binding,1.3372165128332374,1,2.2603412461144314
delamination,1.3717545771875674,1,2.2415041800499034
ear morphogenesis,1.7516688421515139,1,2.5514042040795424
embryonic organ morphogenesis,1.490391360793345,1,2.53528464571376
embryonic skeletal system morphogenesis,1.9704389630920398,1,2.57165484784365
endoplasmic reticulum lumen,6.3030582377105695,1,2.1795427460210246
epithelial tube morphogenesis,1.544886119226425,1,2.088027591094624
external encapsulating structure,9.466700979845282,1,2.077298761554009
extracellular matrix,18.953249868461572,1,1.894651336739397
extracellular space,20.857970530978776,1,2.1037104256178067
glycosaminoglycan binding,1.7860393786834239,1,2.0226514600079457
growth factor binding,4.753273763490319,1,2.1743422882509913
hemostasis,1.48256553625731,1,2.2143638497446876
inner ear morphogenesis,1.9889976196754442,1,2.5514042040795424
iron ion transport,1.632591225450538,1,2.225824944194758
limb bud formation,2.011396806849692,1,2.32352023543543
