gene,Expression,protein,description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,NCBI.GeneID
LOC111321178,Fluorescent,XP_022779720.1,Vitellogenin-like,77.4095094175328,1.27234482253398,0.354624241899799,3.5878675854695,0.000333393521492987,0.0129382834850768,111321178
LOC111324201,Non-fluorescent,XP_022783430.1,Coadhesin-like,145.067012462006,-1.65011210573398,0.203939537751521,-8.09118292571824,5.9088036235469E-16,1.35089983903463E-12,111324201
LOC111327082,Fluorescent,XP_022786917.1,major yolk protein-like,2797.14627720953,3.56101232859793,0.357350620692619,9.9650374797054,2.16792080812515E-23,2.14537443172065E-19,111327082
LOC111328120,Fluorescent,XP_022788227.1,Hephaestin-like protein,13.0030175104784,1.47113477882855,0.425879687336932,3.45434361527713,0.000551634039257154,0.0192896482420099,111328120
LOC111328748,Fluorescent,XP_022788977.1,complement C-like ,141.269237072599,2.65928839134264,0.365600386442663,7.27375705813072,3.49624524338974E-13,4.9426918469407E-10,111328748
LOC111334416,Fluorescent,XP_022795871.1,kielin/chordin-like protein,36.6309357344356,2.99062192699861,0.427938781391426,6.98843399346683,2.7797139682724E-12,2.90771823050845E-09,111334416
LOC111336974,Non-fluorescent,XP_022798902.1,low-density lipoprotein receptor-related protein 8-like,60.5300182434244,-1.0786319085177,0.232732063977969,-4.6346510664719,3.57540054698781E-06,0.000346883958950896,111336974
LOC111337489,Fluorescent,XP_022799541.1,uncharacterized protein LOC111337489,635.700964699072,2.43709119710287,0.553341728240954,4.4043148613611,1.06118722634477E-05,0.000889958372195579,111337489
LOC111338219,Fluorescent,XP_022800392.1,MAM and LDL receptor-containing protein (MAM LDL-2),13.9613783316055,2.82998580411777,0.526982393398739,5.37017145082581,7.86618206333646E-08,1.6217445353912E-05,111338219
LOC111340560,Fluorescent,XP_022803156.1,USOMP7,52.2678338417628,2.23076485937229,0.401221257163167,5.55993686661795,2.69872255379332E-08,7.0280416821944E-06,111340560
