ID,Description,p.adjust,mean_logFC,n_genes_matched,contrast,z_logFC,Description_ordered
GO:0000323,lytic vacuole,0.03412641133615961,2.0436944184962087,18,FLvNF,-0.18720131306565696,lytic vacuole
GO:0001501,skeletal system development,0.00160848994104379,2.440462043284268,17,FLvNF,0.6140157712247087,skeletal system development
GO:0001502,cartilage condensation,2.3176819615041737e-4,2.628209705500763,6,FLvNF,0.9931460860627352,cartilage condensation
GO:0001568,blood vessel development,0.00561711608507293,2.10714129460174,16,FLvNF,-0.05907916321091505,blood vessel development
GO:0001569,branching involved in blood vessel morphogenesis,0.03666104114509631,2.03895161479829,4,FLvNF,-0.19677874608388224,branching involved in blood vessel morphogenesis
GO:0001655,urogenital system development,0.04065945120297729,1.9962423154869946,13,FLvNF,-0.2830242412513863,urogenital system development
GO:0001656,metanephros development,0.04112617622345678,2.11383842837694,5,FLvNF,-0.04555523217109115,metanephros development
GO:0001775,cell activation,0.01652962380568006,2.0715699585314806,23,FLvNF,-0.13091053348904647,cell activation
GO:0001944,vasculature development,0.01034199028538489,2.10714129460174,16,FLvNF,-0.05907916321091505,vasculature development
GO:0002020,protease binding,0.01766109639254118,2.1063533959356144,9,FLvNF,-0.06067021508246445,protease binding
GO:0004175,endopeptidase activity,1.884069052804027e-4,2.5315728317112445,16,FLvNF,0.7980013478953171,endopeptidase activity
GO:0004222,metalloendopeptidase activity,9.876698820706906e-9,2.032219097055615,17,FLvNF,-0.21037413012914188,metalloendopeptidase activity
GO:0004252,serine-type endopeptidase activity,6.663136858941529e-4,2.51818261790471,11,FLvNF,0.770961671788107,serine-type endopeptidase activity
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",0.02134423102061641,1.75273649209095,6,FLvNF,-0.7747504145582946,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0004866,endopeptidase inhibitor activity,1.6940175681021507e-4,2.696633524497329,9,FLvNF,1.1313184805007255,endopeptidase inhibitor activity
GO:0004867,serine-type endopeptidase inhibitor activity,1.6940175681021507e-4,2.5491712484089772,7,FLvNF,0.8335389049785499,serine-type endopeptidase inhibitor activity
GO:0004888,transmembrane signaling receptor activity,0.00177101513431138,2.128283113523591,17,FLvNF,-0.016386197719567407,transmembrane signaling receptor activity
GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,0.04248595872087747,1.6575311892558902,3,FLvNF,-0.96700429411118,transmembrane receptor protein tyrosine phosphatase activity
GO:0005125,cytokine activity,0.03029287961713511,2.3359612579035876,4,FLvNF,0.40299095635104887,cytokine activity
GO:0005126,cytokine receptor binding,0.04600271748140181,2.2603412461144314,7,FLvNF,0.25028685053577476,cytokine receptor binding
GO:0005201,extracellular matrix structural constituent,1.3104182227205443e-10,2.018746567098361,14,FLvNF,-0.23758003226425656,extracellular matrix structural constituent
GO:0005319,lipid transporter activity,0.00160848994104379,1.9954399175390924,8,FLvNF,-0.28464457240769514,lipid transporter activity
GO:0005518,collagen binding,0.00623667414094187,2.177506910936488,6,FLvNF,0.08301442112358565,collagen binding
GO:0005539,glycosaminoglycan binding,0.01636668113469138,2.0226514600079457,7,FLvNF,-0.22969464364880457,glycosaminoglycan binding
GO:0005581,collagen trimer,2.7362377757183245e-7,2.0629397223798787,8,FLvNF,-0.14833809615829763,collagen trimer
GO:0005604,basement membrane,3.414279104352541e-10,2.077298761554009,18,FLvNF,-0.11934201184710075,basement membrane
GO:0005615,extracellular space,1.3868499302827471e-21,2.1037104256178067,54,FLvNF,-0.06600732637785053,extracellular space
GO:0005764,lysosome,0.03666104114509631,2.0436944184962087,18,FLvNF,-0.18720131306565696,lysosome
GO:0005775,vacuolar lumen,0.00163766413184024,2.1665983725033757,12,FLvNF,0.060986143584770704,vacuolar lumen
GO:0005788,endoplasmic reticulum lumen,4.976703442625653e-7,2.1795427460210246,20,FLvNF,0.08712550718157641,endoplasmic reticulum lumen
GO:0006826,iron ion transport,0.0233028357763831,2.225824944194758,5,FLvNF,0.18058597511949295,iron ion transport
GO:0006869,lipid transport,0.00797741795085501,1.875571063018123,10,FLvNF,-0.5267030673965926,lipid transport
GO:0006935,chemotaxis,2.213742990996895e-4,2.2788952349653835,25,FLvNF,0.28775405279819877,chemotaxis
GO:0006959,humoral immune response,0.03780691153764724,2.22048899196588,6,FLvNF,0.1698107610656294,humoral immune response
GO:0007155,cell adhesion,0.00166438244277994,2.2433268486785636,19,FLvNF,0.21592863919782745,cell adhesion
GO:0007162,negative regulation of cell adhesion,0.00139840368638214,2.0709590235114392,12,FLvNF,-0.1321442318678139,negative regulation of cell adhesion
GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,0.04861330139558764,2.33195668927629,8,FLvNF,0.39490428647439807,cell surface receptor protein serine/threonine kinase signaling pathway
GO:0007409,axonogenesis,0.00160848994104379,2.259899250396439,23,FLvNF,0.249394301602056,axonogenesis
GO:0007411,axon guidance,5.317698376055187e-4,2.18793103794491,21,FLvNF,0.10406449710299977,axon guidance
GO:0007413,axonal fasciculation,0.0233028357763831,1.8193641960429119,5,FLvNF,-0.6402050248686287,axonal fasciculation
GO:0007414,axonal defasciculation,0.00797741795085501,2.02031074769452,4,FLvNF,-0.23442138690545858,axonal defasciculation
GO:0007416,synapse assembly,0.03233021845955693,2.0338632092374445,7,FLvNF,-0.20705407404020254,synapse assembly
GO:0007419,ventral cord development,0.0233028357763831,1.99770300589946,5,FLvNF,-0.28007457993778595,ventral cord development
GO:0007424,open tracheal system development,0.04600271748140181,2.238187562359556,10,FLvNF,0.20555056462067917,open tracheal system development
GO:0007426,"tracheal outgrowth, open tracheal system",0.03029287961713511,2.006955698587395,4,FLvNF,-0.2613900527886212,"tracheal outgrowth, open tracheal system"
GO:0007431,salivary gland development,0.02430355042842092,2.0637902096945044,9,FLvNF,-0.14662065520828463,salivary gland development
GO:0007498,mesoderm development,0.03291807752815196,2.2587225212123068,9,FLvNF,0.2470180605304377,mesoderm development
GO:0007548,sex differentiation,0.00831767793240803,2.1201304146366136,18,FLvNF,-0.03284944024045279,sex differentiation
GO:0007584,response to nutrient,0.01300203235988081,2.2162967017369657,12,FLvNF,0.16134501349989985,response to nutrient
GO:0007596,blood coagulation,0.02851765960029031,2.2143638497446876,9,FLvNF,0.15744188748641746,blood coagulation
GO:0007599,hemostasis,0.03291807752815196,2.2143638497446876,9,FLvNF,0.15744188748641746,hemostasis
GO:0007601,visual perception,0.02589943759555479,2.2053071404504716,7,FLvNF,0.13915312156744078,visual perception
GO:0008028,monocarboxylic acid transmembrane transporter activity,0.03029287961713511,2.1649841145567623,4,FLvNF,0.05772637397537018,monocarboxylic acid transmembrane transporter activity
GO:0008037,cell recognition,0.00149629661559866,2.3549872095961577,12,FLvNF,0.44141122198918714,cell recognition
GO:0008038,neuron recognition,2.213742990996895e-4,2.3549872095961577,12,FLvNF,0.44141122198918714,neuron recognition
GO:0008045,motor neuron axon guidance,7.235736509537192e-5,2.273799189910675,12,FLvNF,0.27746329794558994,motor neuron axon guidance
GO:0008083,growth factor activity,7.923043632900459e-4,1.8576228876274232,6,FLvNF,-0.5629469135585624,growth factor activity
GO:0008202,steroid metabolic process,0.03472004835903013,1.6432510577188733,9,FLvNF,-0.9958410354140605,steroid metabolic process
GO:0008233,peptidase activity,0.00466399796698026,2.3991880158708687,18,FLvNF,0.5306686082127343,peptidase activity
GO:0008236,serine-type peptidase activity,8.41577681875133e-5,2.51818261790471,11,FLvNF,0.770961671788107,serine-type peptidase activity
