ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005615,extracellular space,58/257,409/8488,0.141809291,4.683569111,13.49177327,3.77E-24,1.13E-20,9.72E-21,LOC111327082/LOC111328748/LOC111328024/LOC111320817/LOC111336303/LOC111325642/LOC111320871/LOC111323911/LOC111340635/LOC111334934/LOC111336828/LOC111320952/LOC111320821/LOC111332308/LOC111327252/LOC111320822/LOC111325783/LOC111340891/LOC111335819/LOC111322288/LOC111328749/LOC111332789/LOC111333170/LOC111325671/LOC111343161/LOC111322400/LOC111327625/LOC111320842/LOC111322161/LOC111345144/LOC111321759/LOC111324983/LOC111321489/LOC111338418/LOC111320751/LOC111327334/LOC111325560/LOC111343966/LOC111336425/LOC111326819/LOC111321178/LOC111323636/LOC111328120/LOC111332138/LOC111333695/LOC111325220/LOC111344752/LOC111326942/LOC111328207/LOC111337168/LOC111324368/LOC111321502/LOC111329016/LOC111343646/LOC111324943/LOC111324400/LOC111340622/LOC111334472,58
GO:0031012,extracellular matrix,36/257,169/8488,0.213017751,7.035387839,14.00329815,4.22E-21,6.34E-18,5.43E-18,LOC111320817/LOC111336303/LOC111320871/LOC111323911/LOC111334934/LOC111333735/LOC111320781/LOC111324935/LOC111320821/LOC111332308/LOC111320822/LOC111321843/LOC111340891/LOC111324993/LOC111335693/LOC111322400/LOC111327625/LOC111320842/LOC111322161/LOC111345144/LOC111321759/LOC111324983/LOC111321489/LOC111320751/LOC111322311/LOC111327334/LOC111321680/LOC111326819/LOC111331622/LOC111322256/LOC111325220/LOC111324368/LOC111324945/LOC111335667/LOC111324943/LOC111321308,36
GO:0030198,extracellular matrix organization,36/257,179/8488,0.201117318,6.642349412,13.48122866,3.28E-20,3.28E-17,2.81E-17,LOC111327880/LOC111328024/LOC111320817/LOC111336303/LOC111320871/LOC111334934/LOC111330856/LOC111320781/LOC111335366/LOC111324935/LOC111320821/LOC111332308/LOC111327252/LOC111320822/LOC111322288/LOC111324993/LOC111336934/LOC111335693/LOC111322400/LOC111327625/LOC111320842/LOC111321759/LOC111324983/LOC111321489/LOC111320751/LOC111321680/LOC111326819/LOC111331622/LOC111326544/LOC111325220/LOC111324368/LOC111324945/LOC111335667/LOC111324943/LOC111321308/LOC111328842,36
GO:0005201,extracellular matrix structural constituent,15/257,39/8488,0.384615385,12.7027836,12.94303676,1.44E-13,1.08E-10,9.29E-11,LOC111320817/LOC111336303/LOC111320871/LOC111320781/LOC111320821/LOC111332308/LOC111320822/LOC111340891/LOC111322400/LOC111320820/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111321680,15
GO:0062023,collagen-containing extracellular matrix,22/257,103/8488,0.213592233,7.054361377,10.92327282,2.68E-13,1.61E-10,1.38E-10,LOC111320817/LOC111336303/LOC111320871/LOC111340635/LOC111333735/LOC111320781/LOC111320821/LOC111332308/LOC111320822/LOC111321843/LOC111335693/LOC111322400/LOC111327625/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111322311/LOC111326819/LOC111322256/LOC111325220/LOC111324368,22
GO:0005604,basement membrane,19/257,80/8488,0.2375,7.843968872,10.86735938,1.59E-12,7.95E-10,6.81E-10,LOC111320817/LOC111336303/LOC111333735/LOC111320781/LOC111320821/LOC111321843/LOC111335693/LOC111322400/LOC111327625/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111322311/LOC111326819/LOC111322256/LOC111332138/LOC111325220/LOC111324368,19
GO:0004222,metalloendopeptidase activity,17/257,85/8488,0.2,6.605447471,9.177405687,4.51E-10,1.94E-07,1.66E-07,LOC111327880/LOC111323911/LOC111325264/LOC111320816/LOC111333986/LOC111324935/LOC111324993/LOC111336934/LOC111324983/LOC111328588/LOC111342546/LOC111324945/LOC111321502/LOC111335667/LOC111324943/LOC111321308/LOC111322209,17
GO:0005581,collagen trimer,8/257,15/8488,0.533333333,17.61452659,11.37974052,3.40E-09,1.28E-06,1.09E-06,LOC111320817/LOC111320871/LOC111320781/LOC111320821/LOC111320822/LOC111320842/LOC111321489/LOC111320751,8
GO:0048407,platelet-derived growth factor binding,7/257,Dec-88,0.583333333,19.26588846,11.18802201,1.50E-08,5.00E-06,4.29E-06,LOC111320817/LOC111320871/LOC111320821/LOC111320822/LOC111322288/LOC111320842/LOC111320751,7
GO:0005788,endoplasmic reticulum lumen,20/257,155/8488,0.129032258,4.261579013,7.241198021,3.79E-08,1.14E-05,9.76E-06,LOC111320817/LOC111320871/LOC111323911/LOC111320781/LOC111320821/LOC111320822/LOC111322288/LOC111328749/LOC111325671/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111327334/LOC111321403/LOC111323636/LOC111326544/LOC111328120/LOC111344752/LOC111328207,20
