ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,15/235,39/7448,0.384615384615385,12.189852700491,12.6457187262162,2.51430440184257E-13,8.44806279019104E-11,7.27824958428113E-11,LOC111320817/LOC111336303/LOC111320871/LOC111320781/LOC111320821/LOC111332308/LOC111320822/LOC111340891/LOC111322400/LOC111320820/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111321680,15
GO:0004222,metalloendopeptidase activity,17/235,85/7448,0.2,6.33872340425532,8.93482653887558,8.08258583345868E-10,1.35787442002106E-07,1.16984794957955E-07,LOC111327880/LOC111323911/LOC111325264/LOC111320816/LOC111333986/LOC111324935/LOC111324993/LOC111336934/LOC111324983/LOC111328588/LOC111342546/LOC111324945/LOC111321502/LOC111335667/LOC111324943/LOC111321308/LOC111322209,17
GO:0048407,platelet-derived growth factor binding,7/235,12/7448,0.583333333333333,18.4879432624113,10.9427457835907,1.9724218826526E-08,2.20911250857092E-06,1.90321409729637E-06,LOC111320817/LOC111320871/LOC111320821/LOC111320822/LOC111322288/LOC111320842/LOC111320751,7
GO:0019838,growth factor binding,14/235,79/7448,0.177215189873418,5.61659035820092,7.44555797384114,1.32157465634797E-07,1.1101227113323E-05,9.5640271183077E-06,LOC111320817/LOC111336303/LOC111320871/LOC111320821/LOC111327252/LOC111320822/LOC111322288/LOC111335693/LOC111322400/LOC111333478/LOC111320842/LOC111345144/LOC111320751/LOC111326544,14
GO:0030545,signaling receptor regulator activity,10/235,47/7448,0.212765957446808,6.74332277048438,7.12908171675098,1.49868328643354E-06,0.000100711516848334,8.67658744777311E-05,LOC111336303/LOC111325642/LOC111329099/LOC111322288/LOC111328749/LOC111322400/LOC111327334/LOC111323636/LOC111343646/LOC111338817,10
GO:0008083,growth factor activity,7/235,21/7448,0.333333333333333,10.5645390070922,7.92197778218973,2.26920185102067E-06,0.000121679575985743,0.000104830461767166,LOC111325642/LOC111329099/LOC111322288/LOC111327334/LOC111336488/LOC111343646/LOC111338817,7
GO:0017171,serine hydrolase activity,11/235,61/7448,0.180327868852459,5.71524241367283,6.67423562789198,2.53499116636964E-06,0.000121679575985743,0.000104830461767166,LOC111327880/LOC111320952/LOC111328749/LOC111336934/LOC111338418/LOC111327334/LOC111323636/LOC111326544/LOC111333695/LOC111344752/LOC111328207,11
GO:0008236,serine-type peptidase activity,11/235,65/7448,0.169230769230769,5.36353518821604,6.37742512774046,4.85478402614438E-06,0.000180730049793068,0.000155704146908188,LOC111327880/LOC111320952/LOC111328749/LOC111336934/LOC111338418/LOC111327334/LOC111323636/LOC111326544/LOC111333695/LOC111344752/LOC111328207,11
GO:0038023,signaling receptor activity,25/235,293/7448,0.0853242320819113,2.70423353423862,5.37186066906965,4.98512681353387E-06,0.000180730049793068,0.000155704146908188,LOC111345835/LOC111328393/LOC111324192/LOC111323862/LOC111342023/LOC111343017/LOC111323945/LOC111336974/LOC111335693/LOC111333478/LOC111333901/LOC111337453/LOC111323777/LOC111345144/LOC111339275/LOC111342143/LOC111327334/LOC111321593/LOC111333893/LOC111324532/LOC111322245/LOC111337462/LOC111340596/LOC111340622/LOC111342147,25
GO:0008237,metallopeptidase activity,13/235,92/7448,0.141304347826087,4.47844588344126,6.05933475805842,5.37887052955558E-06,0.000180730049793068,0.000155704146908188,LOC111327880/LOC111323911/LOC111320816/LOC111333986/LOC111324935/LOC111324993/LOC111336934/LOC111324983/LOC111342546/LOC111324945/LOC111321502/LOC111335667/LOC111324943,13
GO:0004867,serine-type endopeptidase inhibitor activity,7/235,24/7448,0.291666666666667,9.24397163120567,7.3011247636239,6.22797314506629E-06,0.000190236270612934,0.000163894030133323,LOC111345232/LOC111330856/LOC111327252/LOC111343161/LOC111343966/LOC111326544/LOC111334472,7
