Annotated Gene List: 325 Differentially Expressed Genes in Stylophora pistillata,,,,,,
Key:,,,,,,
HF (Positive LFC): Upregulated in High-Fluorescence Planulae.,,,,,,
NF (Negative LFC): Upregulated in Non-Fluorescent Planulae.,,,,,,
"References: Specific citations used for validation. ""Inferred from Protein Family"" denotes genes where the coral-specific function is derived from conserved domain analysis.",,,,,,
,,,,,,
#,Gene Symbol,Description,LFC (Exp),Category,Biological Function & Explanation,Reference
1,LOC111327082,major yolk protein-like,+3.56 (HF),Energy / Lipid,Precursor to vitellogenin; massive lipid storage for larval survival and maternal investment.,Levy et al. (2021) (Calicoblasts)
2,LOC111341563,uncharacterized LOC111341563,+3.51 (HF),Unknown,Function unknown. Likely a Taxon-Restricted Gene (TRG).,Levy et al. (2021) (General TRG discussion)
3,LOC111324201,coadhesin-like,-1.66 (NF),Adhesion,Cell-to-cell or cell-matrix adhesion molecule.,UniProt (Family P04040); General Cell Biology
4,LOC111327809,neurogenic locus notch homolog protein 3-like,+3.11 (HF),Development,Notch signaling pathway; determines cell fate (neuron vs epidermal).,Levy et al. (2021) (Proliferative cells)
5,LOC111345835,riboflavin-binding protein-like,+3.10 (HF),Metabolism,"Transport of Vitamin B2 (Riboflavin), essential for FAD/FMN in respiration.",UniProt P02752 (Chicken RBP homolog)
6,LOC111327226,uncharacterized LOC111327226,-1.92 (NF),Unknown,Function unknown.,N/A
7,LOC111328748,complement C3-like,+2.66 (HF),Immunity,Innate immune system; marks pathogens for clearance (opsonization).,Levy et al. (2021) (Immune cells)
8,LOC111327880,bone morphogenetic protein 1-like,+3.48 (HF),Development,BMP signaling; dorsal-ventral patterning and skeletal formation.,Levy et al. (2021)
9,LOC111328024,extracellular sulfatase Sulf-1-like,+2.35 (HF),Signaling,Modulates Wnt/BMP signaling by modifying heparan sulfate in the ECM.,Dhoot et al. (2001) (Sulf1 in development)
10,LOC111334416,kielin/chordin-like protein,+2.87 (HF),Development,BMP antagonist; regulates developmental patterning.,Lin et al. (2005) (KCP in kidney fibrosis/BMP signaling)
11,LOC111328393,epithelial discoidin domain-containing receptor 1-like,+3.09 (HF),Signaling,Collagen receptor; regulates cell attachment to the skeleton/ECM.,Vogel et al. (1997) (DDRs as collagen receptors)
12,LOC111343122,APOBEC1 complementation factor-like,+2.60 (HF),RNA Editing,RNA editing complex; modifies mRNA transcripts (C-to-U editing).,Lellek et al. (2000) (A1CF function)
13,LOC111329237,uncharacterized LOC111329237,+2.48 (HF),Unknown,Function unknown.,N/A
14,LOC111343452,proprotein convertase subtilisin/kexin type 5-like,+2.33 (HF),Metabolism,"Activates precursor proteins (e.g., growth factors, toxins) by cleavage.",Levy et al. (2021) (Secretory cells)
15,LOC111320817,collagen alpha-1(I) chain-like,+3.25 (HF),Calcification,Major structural protein of the organic matrix and connective tissue.,Levy et al. (2021) (Calicoblasts)
16,LOC111329099,neurogenic locus notch homolog protein 1-like,+1.97 (HF),Development,Notch signaling; critical for neurogenesis and cell differentiation.,Levy et al. (2021)
17,LOC111344278,uncharacterized LOC111344278,+2.25 (HF),Unknown,Function unknown.,N/A
18,LOC111330631,homeobox protein SIX6-like,+2.90 (HF),Development,"Transcription factor; regulates anterior development (in bilateria, eyes).",Veroff et al. (2017) (Coral Hox/ParaHox genes)
19,LOC111336303,peroxidasin-like,+2.54 (HF),Stress / ECM,Crosslinks collagen in the ECM; uses H2O2 (antioxidant role).,Fidler et al. (2014) (Peroxidasin forms sulfilimine bonds)
20,LOC111324192,angiopoietin-1 receptor-like,+2.04 (HF),Signaling,Receptor tyrosine kinase; involved in vascular/tissue development.,Davis et al. (1996) (Tie2 receptor function)
21,LOC111332158,neural cell adhesion molecule 2-like,+2.31 (HF),Nervous System,Cell adhesion in the nervous system; synaptic plasticity.,Winther et al. (2012) (NCAM2 function)
22,LOC111324979,putative diacyglycerol O-acyltransferase Mb2306,+2.10 (HF),Lipid,"Synthesizes triglycerides (fat storage). Supports ""High Investment"" theory.",Yen et al. (2008) (DGAT function in lipid synthesis)
23,LOC111332373,trichohyalin-like,+2.11 (HF),Structural,Structural protein; mechanical strength in epithelium.,Lee et al. (1993) (Trichohyalin structure)
24,LOC111325642,inhibin beta B chain-like,+1.89 (HF),Signaling,TGF-beta family member; regulates cell growth.,Vale et al. (1986) (Inhibins/Activins function)
25,LOC111330205,supervillin-like,+1.88 (HF),Cytoskeleton,Actin-binding protein; cell motility and adhesion.,Pollock et al. (2016) (Supervillin in mechanosensory cells)
