,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,NCBI.GeneID,Symbol,Description,Gene.Type,Annotation.Genomic.Range.Accession,SwissProt.Accessions
1,2797.146277,3.561012329,0.357350621,9.96503748,2.17E-23,2.15E-19,Fluorescent,111327082,LOC111327082,major yolk protein-like,PROTEIN_CODING,NW_019217877.1,
2,60.77066318,3.581400096,0.386295248,9.271147164,1.84E-20,9.11E-17,Fluorescent,111341563,LOC111341563,uncharacterized LOC111341563,PROTEIN_CODING,NW_019218292.1,
3,139.4983739,3.108556795,0.381667734,8.144667511,3.80E-16,1.25E-12,Fluorescent,111345835,LOC111345835,riboflavin-binding protein-like,PROTEIN_CODING,NW_019217801.1,
4,145.0670125,-1.650112106,0.203939538,-8.091182926,5.91E-16,1.35E-12,Non-fluorescent,111324201,LOC111324201,coadhesin-like,PROTEIN_CODING,NW_019217841.1,
5,132.0193523,-1.959446303,0.242697946,-8.073600687,6.83E-16,1.35E-12,Non-fluorescent,111327226,LOC111327226,uncharacterized LOC111327226,PROTEIN_CODING,NW_019217880.1,
6,67.73898991,3.164218001,0.394485746,8.021121259,1.05E-15,1.73E-12,Fluorescent,111327809,LOC111327809,neurogenic locus notch homolog protein 3-like,PROTEIN_CODING,NW_019217788.1,
7,141.2692371,2.659288391,0.365600386,7.273757058,3.50E-13,4.94E-10,Fluorescent,111328748,LOC111328748,complement C3-like,PROTEIN_CODING,NW_019217905.1,
8,21.14184421,3.479955278,0.49739046,6.996425459,2.63E-12,2.91E-09,Fluorescent,111327880,LOC111327880,bone morphogenetic protein 1-like,PROTEIN_CODING,NW_019217891.1,
9,175.7956248,2.330204148,0.333809283,6.980645139,2.94E-12,2.91E-09,Fluorescent,111328024,LOC111328024,extracellular sulfatase Sulf-1-like,PROTEIN_CODING,NW_019217893.1,
10,36.63093573,2.990621927,0.427938781,6.988433993,2.78E-12,2.91E-09,Fluorescent,111334416,LOC111334416,kielin/chordin-like protein,PROTEIN_CODING,NW_019218027.1,
11,39.48417557,2.631498217,0.38218694,6.885369277,5.76E-12,5.19E-09,Fluorescent,111343122,LOC111343122,APOBEC1 complementation factor-like,PROTEIN_CODING,NW_019218395.1,
12,29.10316625,3.097070222,0.455687184,6.796483049,1.07E-11,8.16E-09,Fluorescent,111328393,LOC111328393,epithelial discoidin domain-containing receptor 1-like,PROTEIN_CODING,NW_019217899.1,
13,18.30980335,4.701364936,0.69060701,6.80758357,9.93E-12,8.16E-09,Fluorescent,111346784,LOC111346784,GFP-like fluorescent chromoprotein amFP486,PROTEIN_CODING,NW_019218957.1,
14,79.89063897,2.500562134,0.370637701,6.746648072,1.51E-11,1.07E-08,Fluorescent,111329237,LOC111329237,uncharacterized LOC111329237,PROTEIN_CODING,NW_019217913.1,
