Category,Sub-Category,Morph,Gene Symbol,Description,LFC,Biological Function & Explanation,Reference
Adhesion,General,HF,LOC111323897,flocculation protein FLO11-like,2.44,Cell adhesion.,Verstrepen & Klis (2006)
Adhesion,General,HF,LOC111334472,zonadhesin-like,2.36,Cell adhesion.,Hardy & Garbers (1995)
Adhesion,General,HF,LOC111335693,integrin alpha-9-like,1.29,Cell-ECM adhesion.,Knop et al. (2012)
Adhesion,General,NF,LOC111331858,Down syndrome cell adhesion molecule-like protein 1 homolog,-1.04,DSCAM; neuronal adhesion.,Schmucker et al. (2000)
Adhesion,General,NF,LOC111324201,coadhesin-like,-1.66,Cell-to-cell or cell-matrix adhesion.,UniProt (Family P04040)
Antioxidant,General,HF,LOC111340822,biliverdin reductase A-like,1.73,Converts biliverdin to bilirubin (potent antioxidant).,Mancuso et al. (2024)
Calcification,Calcium Homeostasis,HF,LOC111321403,calumenin-like,1.15,Calcium-binding protein; Ca2+ homeostasis.,Levy et al. (2021)
Calcification,Calcium Pump,NF,LOC111326058,plasma membrane calcium-transporting ATPase 2-like,-1.21,PMCA; Calcium pump.,Levy et al. (2021) (Calicoblasts)
Calcification,Enzyme,HF,LOC111333580,alkaline phosphatase-like,1.6,Phosphate metabolism.,Drake et al. (2013)
Calcification,Enzyme,HF,LOC111333012,carbonic anhydrase 2-like,1.06,Bicarbonate formation.,Bertucci et al. (2011); Moya et al. (2008)
Calcification,Skeletal Matrix,HF,LOC111320816,collagen alpha-1(I) chain-like,4.03,Major skeletal scaffold.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111320817,collagen alpha-1(I) chain-like,3.25,Major structural protein of the skeletal organic matrix.,Levy et al. (2021) (Calicoblast marker)
Calcification,Skeletal Matrix,HF,LOC111332739,"sushi, von Willebrand factor type A, EGF...",2.9,Skeletal Organic Matrix protein (SOM) domains.,Drake et al. (2013)
Calcification,Skeletal Matrix,HF,LOC111343638,collagen alpha-2(IX) chain-like,2.41,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111320842,collagen alpha-1(III) chain-like,2.26,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111343773,short-chain collagen C4-like,2.26,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111340560,uncharacterized skeletal organic matrix protein 7-like,2.22,Matrix protein guiding crystal growth.,Levy et al. (2021) (Calicoblasts)
Calcification,Skeletal Matrix,HF,LOC111320820,collagen alpha-1(I) chain-like,2.2,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111337461,glutamic acid-rich protein-like,2.16,Acid-rich protein; calcium binding.,Mass et al. (2013)
Calcification,Skeletal Matrix,HF,LOC111320781,collagen alpha-1(VII) chain-like,2.05,Structural component (Anchoring fibrils).,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111332308,collagen alpha-1(I) chain-like,2.04,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111320751,collagen alpha-1(I) chain-like,2.02,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111320822,collagen alpha-1(I) chain-like,1.98,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111320871,collagen alpha chain-like,1.84,Structural ECM/Skeleton component.,Drake et al. (2013)
