vile no,morph,no of planulae,OD1,OD2,OD3,average od,average od without Blank,ug/ml (diluted by 4),ug/ml per tube,ug/ml per larvae,,notes
1,NF,10,0.698,0.662,0.665,0.675,0.599,99.765,399.060,39.906,,
2,NF,10,0.853,0.739,0.698,0.763,0.687,116.692,466.768,46.677,,
3,NF,10,0.855,0.744,0.749,0.783,0.706,120.511,482.044,48.204,,
4,NF,10,0.62,0.631,0.72,0.657,0.581,96.414,385.654,38.565,,
5,NF,10,0.633,0.595,0.556,0.595,0.518,85.042,340.167,34.017,,
6,NF,10,0.816,0.766,0.812,0.798,0.722,123.571,494.284,49.428,,
7,HF,10,0.841,0.813,0.782,0.812,0.736,126.390,505.559,50.556,,
8,HF,10,0.83,0.75,0.678,0.753,0.676,114.603,458.414,45.841,,
9,HF,10,0.78,0.836,0.693,0.770,0.693,117.938,471.753,47.175,,
10,HF,10,0.732,0.729,0.715,0.725,0.649,109.309,437.235,43.724,,
11,HF,10,0.701,0.68,0.742,0.708,0.631,105.929,423.717,42.372,,
12,HF,10,1.22,1.005,0.903,1.043,0.966,176.909,707.636,70.764,,not sure if the number in the vile was correct
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
