colony,morph,total released,% from total coloney
A,HF,199,50.63613232
A,PF,164,41.7302799
A,NF,30,7.633587786
B,HF,23,39.65517241
B,PF,22,37.93103448
B,NF,13,38.23529412
C,HF,621,29.9132948
C,PF,950,45.761079
C,NF,505,24.3256262
D,HF,57,51.35135135
D,PF,39,35.13513514
D,NF,15,13.51351351
E,HF,5,33.33333333
E,PF,4,26.66666667
E,NF,6,40
F,HF,16,47.05882353
F,PF,10,29.41176471
F,NF,8,23.52941176
G,HF,9,60
G,PF,2,13.33333333
G,NF,4,26.66666667
H,HF,5,45.45454545
H,PF,4,36.36363636
H,NF,2,18.18181818
