,Colony A,,,Colony B,,,Colony C,,,Colony D,,,Colony E,,,Colony F,,,Colony G,,,Colony H,,,Sum per day,,
date,Green,Half Green,Brown,Green,Half Green,Brown,Green,Half Green,Brown,Green,Half Green,Brown,Green,Half Green,Brown,Green,Half Green,Brown,Green,Half Green,Brown,Green,Half Green,Brown,,comments,
06/03/2024,3,,0,0,0,0,0,0,,,,,,,,,,,4,,,2,1,1,11,,
07/03/2024,3,1,0,0,0,1,0,0,1,,,,,,,,,,4,2,4,1,1,1,19,,
08/03/2024,,,0,2,0,0,6,3,1,5,2,,,,,,,,,,,,,,19,????? ?????? H+G ????? (?????? ?? ?????????? ???? ?????),
09/03/2024,,,,,5,,2,4,2,,,1,,,,,,,,,,,,,14,,
10/03/2024,5,6,0,1,0,0,1,3,2,,,,,,,,,,,,,,,,18,,
11/03/2024,19,6,0,0,0,0,7,1,1,4,1,,,,,1,,,,,,,,,40,,
12/03/2024,15,3,0,1,0,0,4,1,1,,,,,,,,,,,,,,,,25,,
13/03/2024,5,1,0,0,0,1,6,0,2,1,,,,1,,,,,,,,,,,17,,
14/03/2024,8,,1,1,,,,,,4,,,,,,,,,,,,,,,14,,
15/03/2024,3,6,1,,,,3,13,5,1,1,,,,,,,,,,,,,,33,,
16/03/2024,6,6,,1,,,4,15,2,1,,,,,,,,,,,,,,,35,,
17/03/2024,,,,,,,4,1,1,2,,,,,,,,,,,,,,,8,,
18/03/2024,8,10,,,,,19,38,30,1,3,4,,,,,,,,,,,,,113,,
19/03/2024,5,1,,1,,,64,10,11,,,,,,,,,,,,,1,,,93,,
20/03/2024,1,8,3,1,,,72,152,86,,4,,,,,,,,,,,,,,327,,
21/03/2024,5,,,,,,4,2,3,3,,1,,,,,,,,,,,,,18,,
22/03/2024,8,,,3,,1,26,20,5,2,2,,,,,,,,,,,,,,67,,
23/03/2024,7,2,,4,,,62,69,25,,,,,,,,,,,,,,,,169,,
24/03/2024,5,11,1,,,1,60,125,41,2,,,,,,,,,,,,,,,246,,
25/03/2024,7,7,1,,4,2,58,67,18,1,6,3,,,,,1,,,,,,,,175,,
26/03/2024,5,5,1,,1,,9,57,7,8,7,,,,,,,,,,,,,,100,,
27/03/2024,3,36,7,,3,,58,114,46,,4,,1,,,3,,,,,,,,,275,,
28/03/2024,13,12,4,,3,,21,43,19,,,,,,,1,,1,,,,1,,,118,,
29/03/2024,11,21,2,4,,,21,35,22,10,3,,2,1,,4,3,,,,,,,,139,,
30/03/2024,3,7,,,,,,,,2,,,,1,,,2,1,,,,,,,16,??????? +DC+B ???? ????? ?????,
31/03/2024,15,4,0,1,1,,14,2,6,,3,,,,,6,,,,,,,,,52,,
01/04/2024,8,6,4,1,0,4,30,38,92,5,,,,,,1,,2,,,,,,,191,,
02/04/2024,6,,,,,,17,6,13,2,,,,,,,,3,,,,,,,47,,
03/04/2024,6,2,2,,4,1,17,16,21,1,1,,1,,5,,,,,,,,,,77,,
04/04/2024,1,,1,,,1,1,5,5,,,1,,,,,1,,,,,,1,,17,,
05/04/2024,7,,,2,,,5,30,10,2,2,,,,,,1,1,1,,,,,,61,,
06/04/2024,,1,,,1,,5,13,4,,,,,,,,2,,,,,,,,26,,
07/04/2024,1,1,1,,,,2,8,2,,,5,,,1,,,,,,,,,,21,,
08/04/2024,,,1,,,1,7,2,,,,,1,,,,,,,,,,1,,13,,
09/04/2024,7,1,,,,,,7,1,,,,,,,,,,,,,,,,16,,
10/04/2024,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
11/04/2024,,,,,,,2,12,5,,,,,,,,,,,,,,,,19,,
12/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
13/04/2024,,,,,,,3,4,2,,,,,1,,,,,,,,,,,10,,
14/04/2024,,,,,,,6,9,4,,,,,,,,,,,,,,,,19,,
15/04/2024,,,,,,,1,19,4,,,,,,,,,,,,,,,,24,,
16/04/2024,,,,,,,,4,4,,,,,,,,,,,,,,,,8,,
17/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
18/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
19/04/2024,,,,,,,,1,1,,,,,,,,,,,,,,,,2,,
20/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
21/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
22/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
23/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
24/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
25/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
26/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
27/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,,
sum per color,199,164,30,23,22,13,621,950,505,57,39,15,5,4,6,16,10,8,9,2,4,5,4,2,,,
sum per colony,393,,,58,,,2076,,,111,,,15,,,34,,,15,,,11,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
