no,area µm²,perimeter µm,area_mm²,perim_mm,Volume mm³,morph,file name,,if error to check for bad imaging,
1,796397.102,4396.176,0.7964,4.3962,0.2602,HF,01-04-2025-1611_Stemi 305_0.8x_HF-02,,0.2602,
2,904861.253,4699.701,0.9049,4.6997,0.3139,HF,01-04-2025-1611_Stemi 305_0.8x_HF,,0.3139,
3,936285.753,4460.07,0.9363,4.4601,0.3642,HF,01-04-2025-1610_Stemi 305_0.8x_HF-06,,0.3642,
4,873280.219,4644.553,0.8733,4.6446,0.2952,HF,01-04-2025-1610_Stemi 305_0.8x_HF-05,,0.2952,
5,864765.394,4752.896,0.8648,4.7529,0.2803,HF,01-04-2025-1610_Stemi 305_0.8x_HF-04,,0.2803,
6,889746.935,4837.641,0.8897,4.8376,0.2912,HF,01-04-2025-1610_Stemi 305_0.8x_HF-03,,0.2912,
7,914554.874,4889.311,0.9146,4.8893,0.3047,HF,01-04-2025-1610_Stemi 305_0.8x_HF-02,,0.3047,
8,1005281.791,5167.778,1.0053,5.1678,0.3474,HF,01-04-2025-1610_Stemi 305_0.8x_HF,,0.3474,
9,1033216.636,4694.988,1.0332,4.6950,0.4209,HF,01-04-2025-1607_Stemi 305_0.8x_HF-07,,0.4209,
10,787764.411,4093.885,0.7878,4.0939,0.2808,HF,01-04-2025-1607_Stemi 305_0.8x_HF-07,,0.2808,
11,847364.089,4240.805,0.8474,4.2408,0.3138,HF,01-04-2025-1607_Stemi 305_0.8x_HF-06,,0.3138,
12,786271.752,4296.052,0.7863,4.2961,0.2611,HF,01-04-2025-1607_Stemi 305_0.8x_HF-05,,0.2611,
13,889618.156,4061.398,0.8896,4.0614,0.3742,HF,01-04-2025-1607_Stemi 305_0.8x_HF-05,,0.3742,
14,1063405.401,5368.963,1.0634,5.3690,0.3730,HF,01-04-2025-1607_Stemi 305_0.8x_HF-05,,0.3730,
15,862982.704,4478.135,0.8630,4.4781,0.3024,HF,01-04-2025-1611_Stemi 305_0.8x_HF-02,,0.3024,
16,946530.186,4697.128,0.9465,4.6971,0.3466,HF,01-04-2025-1611_Stemi 305_0.8x_HF,,0.3466,
17,946058.12,4441.962,0.9461,4.4420,0.3749,HF,01-04-2025-1610_Stemi 305_0.8x_HF-06,,0.3749,
18,800118.522,3409.795,0.8001,3.4098,0.4011,HF,01-04-2025-1607_Stemi 305_0.8x_HF-07,,0.4011,
19,1102581.169,5132.866,1.1026,5.1329,0.4284,HF,01-04-2025-1607_Stemi 305_0.8x_HF-04,,0.4284,
20,1153423.57,4889.81,1.1534,4.8898,0.5070,HF,01-04-2025-1607_Stemi 305_0.8x_HF-03,,0.5070,
21,1169832.565,5139.667,1.1698,5.1397,0.4869,HF,01-04-2025-1607_Stemi 305_0.8x_HF-02,,0.4869,
22,975576.889,5037.503,0.9756,5.0375,0.3368,HF,01-04-2025-1607_Stemi 305_0.8x_HF-02,,0.3368,
23,1069562.539,4578.488,1.0696,4.5785,0.4723,HF,01-04-2025-1607_Stemi 305_0.8x_HF-02,,0.4723,
24,1211779.191,4937.826,1.2118,4.9378,0.5583,HF,01-04-2025-1607_Stemi 305_0.8x_HF,,0.5583,
25,778255.085,4379.808,0.7783,4.3798,0.2487,HF,01-04-2025-1607_Stemi 305_0.8x_HF,,0.2487,
26,740624.419,3720.492,0.7406,3.7205,0.2825,HF,01-04-2025-1605_Stemi 305_0.8x_HF-04,,0.2825,
27,784628.934,4428.066,0.7846,4.4281,0.2495,HF,01-04-2025-1605_Stemi 305_0.8x_HF-03,,0.2495,
