ChamberNo,Date,Temp,pH,Light,fluorescense level,Planula start number,Settled,setteled %,Dead %,,,,,,,,,,,,,,,,
G,27/05/2023,23,8.2,10m,High fluorescense ,20,15,75,25,,,,,,,,,,,,,,,,
H,27/05/2023,23,8.2,10m,High fluorescense ,20,10,50,50,,,,,,,,,,,,,,,,
I,27/05/2023,23,8.2,10m,High fluorescense ,10,3,30,70,,,,,,,,,,,,,,,,
J,25/07/2023,23,8.2,10m,High fluorescense ,10,7,70,30,,,,,,,,,,,,,,,,
K,25/07/2023,23,8.2,10m,High fluorescense ,10,4,40,60,,,,,,,,,,,,,,,,
L,25/07/2023,23,8.2,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
M,27/05/2023,23,8.2,10m,High fluorescense ,10,4,40,60,,,,,,,,,,,,,,,,
1,27/05/2023,23,8.2,10m,High fluorescense ,10,4,40,60,,,,,,,,,,,,,,,,
4,27/05/2023,23,8.2,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
7,25/07/2023,23,8.2,10m,High fluorescense ,10,4,40,60,,,,,,,,,,,,,,,,
97,25/07/2023,23,8.2,10m,High fluorescense ,10,3,30,70,,,,,,,,,,,,,,,,
94,25/07/2023,23,8.2,10m,High fluorescense ,10,7,70,30,,,,,,,,,,,,,,,,
34,25/07/2023,23,8.2,10m,High fluorescense ,10,1,10,90,,,,,,,,,,,,,,,,
37,27/05/2023,23,8.2,10m,High fluorescense ,10,5,50,50,,,,,,,,,,,,,,,,
40,27/05/2023,23,8.2,10m,High fluorescense ,10,0,0,100,,,,,,,,,,,,,,,,
A,27/05/2023,23,8.2,10m,No fluorescense,20,3,15,85,,,,,,,,,,,,,,,,
B,27/05/2023,23,8.2,10m,No fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
C,25/07/2023,23,8.2,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
D,25/07/2023,23,8.2,10m,No fluorescense,10,2,20,80,,,,,,,,,,,,,,,,
E,25/07/2023,23,8.2,10m,No fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
F,25/07/2023,23,8.2,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
3,25/07/2023,23,8.2,10m,No fluorescense,10,2,20,80,,,,,,,,,,,,,,,,
6,07/04/2024,23,8.2,10m,No fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
9,07/04/2024,23,8.2,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
96,04/04/2024,23,8.2,10m,No fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
99,07/04/2024,23,8.2,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
36,07/04/2024,23,8.2,10m,No fluorescense,10,1,10,90,,,,,,,,,,,,,,,,
39,07/04/2024,23,8.2,10m,No fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
42,07/04/2024,23,8.2,10m,No fluorescense,10,1,10,90,,,,,,,,,,,,,,,,
N,07/04/2024,23,8.2,10m,Partial fluorescense,20,13,65,35,,,,,,,,,,,,,,,,
O,07/04/2024,23,8.2,10m,Partial fluorescense,20,4,20,80,,,,,,,,,,,,,,,,
P,07/04/2024,23,8.2,10m,Partial fluorescense,20,17,85,15,,,,,,,,,,,,,,,,
Q,07/04/2024,23,8.2,10m,Partial fluorescense,20,1,5,95,,,,,,,,,,,,,,,,
R,04/04/2024,23,8.2,10m,Partial fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
S,07/04/2024,23,8.2,10m,Partial fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
T,07/04/2024,23,8.2,10m,Partial fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
U,07/04/2024,23,8.2,10m,Partial fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
V,07/04/2024,23,8.2,10m,Partial fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
