no,Temp,Light,pH,Varient,Planulae start number,Settled,setteled %
1,23c,10m,8.2,NF,20,3,15
2,23c,10m,8.2,NF,10,7,70
3,23c,10m,8.2,NF,10,3,30
4,23c,10m,8.2,NF,10,2,20
5,23c,10m,8.2,NF,10,7,70
6,23c,10m,8.2,NF,10,3,30
7,23c,10m,8.2,HF,20,15,75
8,23c,10m,8.2,HF,20,10,50
9,23c,10m,8.2,HF,10,3,30
10,23c,10m,8.2,HF,10,7,70
11,23c,10m,8.2,HF,10,4,40
12,23c,10m,8.2,HF,10,6,60
13,23c,10m,8.2,HF,10,4,40
14,23c,10m,8.2,PF,20,13,65
15,23c,10m,8.2,PF,20,4,20
16,23c,10m,8.2,PF,20,17,85
17,23c,10m,8.2,PF,20,1,5
18,23c,10m,8.2,PF,10,0,0
19,23c,10m,8.2,PF,10,7,70
20,23c,10m,8.2,PF,10,0,0
21,23c,10m,8.2,PF,10,7,70
22,23c,10m,8.2,PF,10,0,0
23,23c,10m,8.2,HF,20,15,75
24,23c,10m,8.2,HF,20,10,50
25,23c,10m,8.2,HF,10,3,30
26,23c,10m,8.2,HF,10,4,40
27,23c,10m,8.2,HF,10,4,40
28,23c,10m,8.2,HF,10,6,60
29,23c,10m,8.2,HF,10,5,50
30,23c,10m,8.2,HF,10,0,0
31,23c,10m,8.2,NF,20,3,15
32,23c,10m,8.2,NF,10,7,70
33,23c,10m,8.2,HF,10,4,40
34,23c,10m,8.2,HF,10,6,60
35,23c,10m,8.2,HF,10,4,40
36,23c,10m,8.2,PF,10,0,0
37,23c,10m,8.2,PF,10,7,70
38,23c,10m,8.2,PF,10,0,0
39,23c,10m,8.2,NF,10,2,20
40,23c,10m,8.2,NF,10,7,70
41,23c,10m,8.2,NF,10,3,30
42,23c,10m,8.2,HF,10,3,30
43,23c,10m,8.2,HF,10,7,70
44,23c,10m,8.2,PF,10,0,0
45,23c,10m,8.2,PF,10,7,70
46,23c,10m,8.2,NF,10,7,70
47,23c,10m,8.2,NF,10,3,30
74,23c,10m,8.2,HF,10,1,10
75,23c,10m,8.2,HF,10,5,50
76,23c,10m,8.2,HF,10,0,0
77,23c,10m,8.2,PF,10,7,70
78,23c,10m,8.2,PF,10,7,70
79,23c,10m,8.2,PF,10,6,60
80,23c,10m,8.2,NF,10,1,10
81,23c,10m,8.2,NF,10,0,0
82,23c,10m,8.2,NF,10,1,10
151,23c,10m,8.2,HF,10,0,0
152,23c,10m,8.2,HF,10,6,60
153,23c,10m,8.2,HF,10,7,70
154,23c,10m,8.2,HF,10,7,70
155,23c,10m,8.2,HF,10,6,60
156,23c,10m,8.2,NF,10,4,40
157,23c,10m,8.2,NF,10,5,50
158,23c,10m,8.2,NF,10,3,30
159,23c,10m,8.2,NF,10,4,40
160,23c,10m,8.2,NF,10,2,20
