Sample No,color,no of polyps,sample no,temp,light,Conc (Cells/mL),Average,Counts...,,,,,
50,NF,2,50,23,10m,37500,3.75,2,5,3,5,,
51,HF,3,51,23,10m,182500,18.25,12,22,26,13,,
52,HF,3,52,23,10m,322500,32.25,37,27,28,37,,
53,NF,2,53,23,10m,87500,8.75,10,9,3,13,,
54,NF,3,54,23,10m,215000,21.5,26,23,17,20,,
55,HF,2,55,23,10m,112500,11.25,6,10,13,16,,
56,NF,2,56,27,10m,175000,17.5,16,18,20,16,,
58,HF,2,58,31,10m,70000,7,3,5,10,10,,
59,NF,3,59,23,10m,137500,13.75,18,11,13,13,,
60,PF,3,60,23,10m,122500,12.25,12,14,14,9,,
61,PF,3,61,23,10m,127500,12.75,13,12,13,13,,
62,PF,1,62,23,10m,60000,6,5,6,7,6,,
63,HF,1,63,23,10m,62500,6.25,7,8,5,5,,
64,NF,1,64,31,10m,65000,6.5,3,8,5,10,,
65,HF,3,65,23,50m,80000,8,2,8,7,15,,
66,HF,2,66,23,50m,60000,6,8,5,9,2,,
67,PF,1,67,23,50m,20000,2,2,1,1,4,,
68,NF,2,68,23,50m,78000,7.8,8,9,7,8,7,
69,PF,2,69,23,50m,100000,10,8,6,12,14,,
70,PF,3,70,23,50m,105000,10.5,13,7,12,10,,
71,HF,1,71,23,Dark,15000,1.5,2,1,2,1,,
72,HF,1,72,23,50m,17500,1.75,1,3,1,2,,
73,NF,1,73,23,50m,45000,4.5,5,3,4,6,,
74,PF,3,74,23,Dark,50000,5,7,3,6,4,,
75,PF,1,75,23,Dark,17500,1.75,1,4,1,1,,
76,NF,4,76,23,Dark,112500,11.25,14,12,12,7,,
77,PF,2,77,23,10m,65000,6.5,4,3,11,8,,
78,PF,2,78,23,10m,57500,5.75,5,2,9,7,,
79,PF,3,79,23,10m,105000,10.5,12,13,7,10,,
80,NF,1,80,23,10m,15000,1.5,1,1,2,2,,
81,PF,3,81,23,10m,32500,3.25,4,5,2,2,,
82,PF,3,82,23,10m,65000,6.5,8,4,5,9,,
83,NF,2,83,31,10m,47500,4.75,6,1,9,3,,
84,NF,3,84,27,10m,70000,7,7,6,10,5,,
85,HF,1,85,31,10m,42500,4.25,4,3,4,6,,
86,HF,3,86,27,10m,228333.333,22.8333,23,30,18,18,26,
87,HF,1,87,27,10m,65000,6.5,6,8,4,8,,22
88,PF,3,88,31,10m,190000,19,31,18,18,9,,
89,HF,1,89,23,10m,32500,3.25,6,5,1,1,,
90,PF,3,90,23,10m,297500,29.75,34,27,18,40,,
91,PF,2,91,23,10m,80000,8,8,11,7,6,,
92,HF,1,92,31,10m,45000,4.5,7,3,3,5,,
93,PF,3,93,31,10m,320000,32,21,18,54,35,,
94,PF,3,94,27,10m,142500,14.25,17,16,12,12,,
95,PF,3,95,27,10m,200000,20,25,25,12,18,20,
96,HF,,,,10m,95000,9.5,9,9,13,7,,
97,PF,3,97,27,10m,155000,15.5,14,20,14,14,,
98,PF,4,98,27,10m,112500,11.25,18,12,10,5,,
99,HF,1,99,31,10m,22500,2.25,1,3,4,1,,
100,NF,2,100,31,10m,62000,6.2,8,4,7,5,7,
