Sample No,morph,no of polyps,temp,pH,light,Conc (Cells/mL),Conc (Cell/polyp),Average,Count1,Count2,Count3,Count4,Unnamed: 13,Target_Condition,Mean_Size_mm2,Size_SD
401,HF,1.0,32,8.2,10m,25000,25000,2.5,4,1,4,1,,32,2.745,1.189
402,NF,3.0,32,8.2,10m,72500,24166.66667,7.25,8,7,6,8,,32,3.255,1.262
403,NF,4.0,32,8.2,10m,187500,46875,18.75,19,18,20,18,,32,3.255,1.262
404,HF,4.0,27,8.2,10m,340000,85000,34.0,40,34,33,29,,27,3.163,1.911
405,HF,3.0,27,8.2,10m,390000,130000,39.0,30,48,40,38,,27,3.163,1.911
406,HF,3.0,27,8.2,10m,437500,145833.3333,43.75,31,51,42,51,,27,3.163,1.911
407,HF,3.0,27,8.2,10m,40000,13333.33333,4.0,3,9,1,3,,27,3.163,1.911
408,HF,3.0,27,8.2,10m,190000,63333.33333,19.0,13,23,20,20,,27,3.163,1.911
409,NF,4.0,27,8.2,10m,502500,125625,50.25,50,57,54,40,,27,3.099,1.747
410,NF,4.0,27,8.2,10m,267500,66875,26.75,30,19,30,28,,27,3.099,1.747
411,NF,3.0,27,8.2,10m,205000,68333.33333,20.5,20,18,16,28,,27,3.099,1.747
412,NF,4.0,27,8.2,10m,495000,123750,49.5,45,58,45,50,,27,3.099,1.747
413,NF,3.0,27,8.2,10m,525000,175000,52.5,56,62,38,54,,27,3.099,1.747
414,NF,3.0,23,8.2,Dark,177500,59166.66667,17.75,12,13,23,23,,Dark,2.722,1.51
415,NF,4.0,27,8.2,10m,100000,25000,10.0,4,14,13,9,,27,3.099,1.747
416,HF,4.0,23,8.2,50m,242500,60625,24.25,21,29,24,23,,50m,3.921,2.615
417,HF,4.0,23,8.2,50m,182500,45625,18.25,11,6,36,20,,50m,3.921,2.615
418,HF,4.0,23,8.2,50m,95000,23750,9.5,13,6,11,8,,50m,3.921,2.615
419,HF,3.0,23,8.2,50m,185000,61666.66667,18.5,20,21,15,18,,50m,3.921,2.615
420,NF,4.0,23,8.2,50m,185000,46250,18.5,22,15,21,16,,50m,3.865,2.181
421,NF,3.0,23,8.2,50m,112500,37500,11.25,19,7,11,8,,50m,3.865,2.181
422,NF,3.0,23,8.2,50m,85000,28333.33333,8.5,12,9,5,8,,50m,3.865,2.181
423,HF,3.0,23,8.2,Dark,80000,26666.66667,8.0,10,9,11,2,,Dark,3.795,2.181
