Sample No,morph,Conc (Cell/polyp),Treatment,Mean_Size_mm2,Size_SD,Conc (cell/mm^2)
428,HF,63125,Ambient (Control),2.665,1.634,23686.67917
429,HF,81666.66667,Ambient (Control),2.665,1.634,30644.1526
430,HF,61875,Ambient (Control),2.665,1.634,23217.63602
431,HF,37500,Ambient (Control),2.665,1.634,14071.29456
432,NF,71250,Ambient (Control),2.416,1.318,29490.89404
433,NF,50833.33333,Ambient (Control),2.416,1.318,21040.28697
434,NF,37500,Ambient (Control),2.416,1.318,15521.52318
449,HF,15000,Ambient (Control),2.665,1.634,5628.517824
450,HF,33750,Ambient (Control),2.665,1.634,12664.1651
451,HF,30000,Ambient (Control),2.665,1.634,11257.03565
452,HF,41666.66667,Ambient (Control),2.665,1.634,15634.77173
453,HF,26666.66667,Ambient (Control),2.665,1.634,10006.25391
454,NF,53333.33333,Ambient (Control),2.416,1.318,22075.05519
455,NF,20000,Ambient (Control),2.416,1.318,8278.145695
456,NF,24166.66667,Ambient (Control),2.416,1.318,10002.75938
50,NF,18750,Ambient (Control),2.416,1.318,7760.761589
51,HF,60833.33333,Ambient (Control),2.665,1.634,22826.76673
52,HF,107500,Ambient (Control),2.665,1.634,40337.71107
53,NF,43750,Ambient (Control),2.416,1.318,18108.44371
54,NF,71666.66667,Ambient (Control),2.416,1.318,29663.35541
55,HF,56250,Ambient (Control),2.665,1.634,21106.94184
58,HF,35000,Ambient (Control),2.665,1.634,13133.20826
59,NF,45833.33333,Ambient (Control),2.416,1.318,18970.75055
60,PF,40833.33333,Ambient (Control),2.495,1.909,16366.06546
61,PF,42500,Ambient (Control),2.495,1.909,17034.06814
62,PF,60000,Ambient (Control),2.495,1.909,24048.09619
63,HF,62500,Ambient (Control),2.665,1.634,23452.1576
64,NF,65000,Ambient (Control),2.416,1.318,26903.97351
77,PF,32500,Ambient (Control),2.495,1.909,13026.0521
78,PF,28750,Ambient (Control),2.495,1.909,11523.04609
79,PF,35000,Ambient (Control),2.495,1.909,14028.05611
80,NF,15000,Ambient (Control),2.416,1.318,6208.609272
81,PF,10833.33333,Ambient (Control),2.495,1.909,4342.017367
82,PF,21666.66667,Ambient (Control),2.495,1.909,8684.034737
85,HF,42500,Ambient (Control),2.665,1.634,15947.46717
89,HF,32500,Ambient (Control),2.665,1.634,12195.12195
90,PF,99166.66667,Ambient (Control),2.495,1.909,39746.15899
91,PF,40000,Ambient (Control),2.495,1.909,16032.06413
96,HF,#DIV/0!,Ambient (Control),2.665,1.634,#DIV/0!
10,PF,26500,Ambient (Control),2.495,1.909,10621.24248
1,HF,77000,Ambient (Control),2.665,1.634,28893.05816
2,HF,62000,Ambient (Control),2.665,1.634,23264.54034
3,HF,36000,Ambient (Control),2.665,1.634,13508.44278
4,PF,34500,Ambient (Control),2.495,1.909,13827.65531
5,PF,44500,Ambient (Control),2.495,1.909,17835.67134
6,PF,46500,Ambient (Control),2.495,1.909,18637.27455
7,PF,20500,Ambient (Control),2.495,1.909,8216.432866
8,PF,47000,Ambient (Control),2.495,1.909,18837.67535
9,PF,23500,Ambient (Control),2.495,1.909,9418.837675
