Sample No,morph,Conc (Cell/polyp),Treatment,Mean_Size_mm2,Size_SD,Conc (cell/mm^2)
428,HF,63125,8.2,2.665,1.634,23686.67917
429,HF,81666.66667,8.2,2.665,1.634,30644.1526
430,HF,61875,8.2,2.665,1.634,23217.63602
431,HF,37500,8.2,2.665,1.634,14071.29456
432,NF,71250,8.2,2.416,1.318,29490.89404
433,NF,50833.33333,8.2,2.416,1.318,21040.28697
434,NF,37500,8.2,2.416,1.318,15521.52318
435,HF,140833.3333,7.8,2.095,0.984,67223.54811
436,HF,79166.66667,7.8,2.095,0.984,37788.38505
437,HF,142500,7.8,2.095,0.984,68019.09308
438,HF,17500,7.8,2.095,0.984,8353.221957
439,HF,37500,7.8,2.095,0.984,17899.76134
440,NF,104166.6667,7.8,2.374,1.014,43878.12414
441,NF,101666.6667,7.8,2.374,1.014,42825.04916
442,NF,103333.3333,7.8,2.374,1.014,43527.09912
443,HF,13333.33333,7.6,2.447,0.511,5448.848929
444,HF,97500,7.6,2.447,0.511,39844.70781
445,HF,78750,7.6,2.447,0.511,32182.264
446,HF,68750,7.6,2.447,0.511,28095.6273
447,NF,63333.33333,7.6,2.86,0.86,22144.52214
448,NF,140000,7.6,2.86,0.86,48951.04895
449,HF,15000,8.2,2.665,1.634,5628.517824
450,HF,33750,8.2,2.665,1.634,12664.1651
451,HF,30000,8.2,2.665,1.634,11257.03565
452,HF,41666.66667,8.2,2.665,1.634,15634.77173
453,HF,26666.66667,8.2,2.665,1.634,10006.25391
454,NF,53333.33333,8.2,2.416,1.318,22075.05519
455,NF,20000,8.2,2.416,1.318,8278.145695
456,NF,24166.66667,8.2,2.416,1.318,10002.75938
50,NF,18750,8.2,2.416,1.318,7760.761589
51,HF,60833.33333,8.2,2.665,1.634,22826.76673
52,HF,107500,8.2,2.665,1.634,40337.71107
53,NF,43750,8.2,2.416,1.318,18108.44371
54,NF,71666.66667,8.2,2.416,1.318,29663.35541
55,HF,56250,8.2,2.665,1.634,21106.94184
58,HF,35000,8.2,2.665,1.634,13133.20826
59,NF,45833.33333,8.2,2.416,1.318,18970.75055
60,PF,40833.33333,8.2,2.495,1.909,16366.06546
61,PF,42500,8.2,2.495,1.909,17034.06814
62,PF,60000,8.2,2.495,1.909,24048.09619
63,HF,62500,8.2,2.665,1.634,23452.1576
64,NF,65000,8.2,2.416,1.318,26903.97351
77,PF,32500,8.2,2.495,1.909,13026.0521
78,PF,28750,8.2,2.495,1.909,11523.04609
79,PF,35000,8.2,2.495,1.909,14028.05611
80,NF,15000,8.2,2.416,1.318,6208.609272
81,PF,10833.33333,8.2,2.495,1.909,4342.017367
82,PF,21666.66667,8.2,2.495,1.909,8684.034737
85,HF,42500,8.2,2.665,1.634,15947.46717
89,HF,32500,8.2,2.665,1.634,12195.12195
90,PF,99166.66667,8.2,2.495,1.909,39746.15899
91,PF,40000,8.2,2.495,1.909,16032.06413
96,HF,#DIV/0!,8.2,2.665,1.634,#DIV/0!
10,PF,26500,8.2,2.495,1.909,10621.24248
1,HF,77000,8.2,2.665,1.634,28893.05816
2,HF,62000,8.2,2.665,1.634,23264.54034
3,HF,36000,8.2,2.665,1.634,13508.44278
4,PF,34500,8.2,2.495,1.909,13827.65531
5,PF,44500,8.2,2.495,1.909,17835.67134
6,PF,46500,8.2,2.495,1.909,18637.27455
7,PF,20500,8.2,2.495,1.909,8216.432866
8,PF,47000,8.2,2.495,1.909,18837.67535
9,PF,23500,8.2,2.495,1.909,9418.837675
