sample id,temp,pH,LightDepth,Site,Fm,Fv,fv_fm,Sigma,p,Pmax.e.s
73,23,8.2,10m,HF,10.2,3.9,0.377,438.9,0.54,1248.9
74,23,8.2,10m,HF,13.9,6.6,0.477,539.4,0,752.7
75,23,8.2,10m,HF,9.8,3.5,0.36,526.9,0.7,3159
76,23,8.2,10m,HF,12.5,4.8,0.386,502.6,0.45,1693
77,23,8.2,10m,HF,14.5,7.1,0.488,543.9,0.17,90
78,23,8.2,10m,HF,9.6,5.2,0.538,714.9,0,75.8
79,23,8.2,10m,HF,7.6,3.3,0.438,918.5,0,782
80,23,8.2,10m,HF,20.9,10.1,0.483,532.7,0.39,90
81,23,8.2,10m,HF,13.5,5.8,0.432,295,0,79.1
82,23,8.2,10m,HF,7.5,2.8,0.367,527.3,0.49,114.1
83,23,8.2,10m,HF,9.6,3.6,0.375,391.1,0,48.4
84,23,8.2,10m,HF,9.5,2.4,0.255,425.1,0.69,31389.6
85,23,8.2,10m,HF,11.3,4.4,0.389,313.6,0,258.8
86,23,8.2,10m,HF,2.5,0.3,0.103,274,0.7,134.4
87,23,8.2,10m,HF,10.7,3.4,0.315,417.3,0.7,143.7
88,23,8.2,10m,NF,8.5,3.2,0.379,385.7,0.7,2136.3
89,23,8.2,10m,NF,10.7,3.8,0.35,293.9,0.51,1634.1
104,23,8.2,10m,HF,7.4,2,0.274,288.3,0.01,344.2
105,23,8.2,10m,HF,14.7,6,0.408,566.5,0.09,171
106,23,8.2,10m,HF,9.1,2.9,0.318,194.4,0.69,1360.5
107,23,8.2,10m,HF,14.4,6.3,0.437,463.1,0.32,80.7
108,23,8.2,10m,HF,10.4,3,0.29,275.3,0.45,84.6
109,23,8.2,10m,NF,9.9,4.6,0.462,281,0,68.1
110,23,8.2,10m,NF,1.8,-3.7,-2.026,679.8,0.01,1367.4
111,23,8.2,10m,NF,7.3,2.4,0.331,365.9,0.39,86.5
112,23,8.2,10m,HF,10.2,3.9,0.377,438.9,0.54,1248.9
113,23,8.2,10m,HF,13.9,6.6,0.477,539.4,0,752.7
114,23,8.2,10m,HF,9.8,3.5,0.36,526.9,0.7,3159
115,23,8.2,10m,HF,12.5,4.8,0.386,502.6,0.45,1693
116,23,8.2,10m,HF,14.5,7.1,0.488,543.9,0.17,90
117,23,8.2,10m,HF,9.6,5.2,0.538,714.9,0,75.8
118,23,8.2,10m,HF,7.6,3.3,0.438,918.5,0,782
119,23,8.2,10m,HF,20.9,10.1,0.483,532.7,0.39,90
120,23,8.2,10m,HF,13.5,5.8,0.432,295,0,79.1
121,23,8.2,10m,HF,7.5,2.8,0.367,527.3,0.49,114.1
122,23,8.2,10m,HF,9.6,3.6,0.375,391.1,0,48.4
123,23,8.2,10m,HF,9.5,2.4,0.255,425.1,0.69,31389.6
124,23,8.2,10m,HF,11.3,4.4,0.389,313.6,0,258.8
125,23,8.2,10m,HF,2.5,0.3,0.103,274,0.7,134.4
126,23,8.2,10m,HF,10.7,3.4,0.315,417.3,0.7,143.7
127,23,8.2,10m,NF,8.5,3.2,0.379,385.7,0.7,2136.3
128,23,8.2,10m,NF,10.7,3.8,0.35,293.9,0.51,1634.1
129,23,8.2,10m,HF,7.4,2,0.274,288.3,0.01,344.2
130,23,8.2,10m,HF,14.7,6,0.408,566.5,0.09,171
131,23,8.2,10m,HF,9.1,2.9,0.318,194.4,0.69,1360.5
132,23,8.2,10m,HF,14.4,6.3,0.437,463.1,0.32,80.7
133,23,8.2,10m,HF,10.4,3,0.29,275.3,0.45,84.6
134,23,8.2,10m,NF,9.9,4.6,0.462,281,0,68.1
135,23,8.2,10m,NF,1.8,-3.7,-2.026,679.8,0.01,1367.4
136,23,8.2,10m,NF,7.3,2.4,0.331,365.9,0.39,86.5
137,23,8.2,10m,HF,10.2,3.9,0.377,438.9,0.54,1248.9
138,23,8.2,10m,HF,13.9,6.6,0.477,539.4,0,752.7
139,23,8.2,10m,HF,9.8,3.5,0.36,526.9,0.7,3159
140,23,8.2,10m,HF,12.5,4.8,0.386,502.6,0.45,1693
141,23,8.2,10m,HF,14.5,7.1,0.488,543.9,0.17,90
142,23,8.2,10m,HF,9.6,5.2,0.538,714.9,0,75.8
143,23,8.2,10m,HF,7.6,3.3,0.438,918.5,0,782
144,23,8.2,10m,HF,20.9,10.1,0.483,532.7,0.39,90
145,23,8.2,10m,HF,13.5,5.8,0.432,295,0,79.1
146,23,8.2,10m,HF,7.5,2.8,0.367,527.3,0.49,114.1
147,23,8.2,10m,HF,9.6,3.6,0.375,391.1,0,48.4
148,23,8.2,10m,HF,9.5,2.4,0.255,425.1,0.69,31389.6
149,23,8.2,10m,HF,11.3,4.4,0.389,313.6,0,258.8
150,23,8.2,10m,HF,2.5,0.3,0.103,274,0.7,134.4
151,23,8.2,10m,HF,10.7,3.4,0.315,417.3,0.7,143.7
152,23,8.2,10m,NF,8.5,3.2,0.379,385.7,0.7,2136.3
153,23,8.2,10m,NF,10.7,3.8,0.35,293.9,0.51,1634.1
154,23,8.2,10m,HF,7.4,2,0.274,288.3,0.01,344.2
155,23,8.2,10m,HF,14.7,6,0.408,566.5,0.09,171
156,23,8.2,10m,HF,9.1,2.9,0.318,194.4,0.69,1360.5
157,23,8.2,10m,HF,14.4,6.3,0.437,463.1,0.32,80.7
158,23,8.2,10m,HF,10.4,3,0.29,275.3,0.45,84.6
159,23,8.2,10m,NF,9.9,4.6,0.462,281,0,68.1
160,23,8.2,10m,NF,1.8,-3.7,-2.026,679.8,0.01,1367.4
161,23,8.2,10m,NF,7.3,2.4,0.331,365.9,0.39,86.5
