sample id,Species,Temp,pH,Light,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
1,Stylophora,27,8.2,10m,HF,20250408.01,Aug-25,27628,900,3.3,43.7,16.26,7.5,15.9,8.5,0.532,325.3,0,0.78,283,0.1,10951,0.11,750056,--------,-------,1537,85517,1800,19.2,21.7,2.5,0.113,2042.4,0.69,0.064,976,0.849,12782,0.087,19934,--------,-------,11956,12650,83.6
2,Stylophora,27,8.2,10m,HF,20250408.02,Aug-25,27956,630,4.1,46.2,16.22,2.8,5.3,2.5,0.464,419.4,0.52,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.1,7.2,-0.9,-0.126,335,0.52,0.009,9223,0.905,98805,0.085,1158621,--------,-------,97878,188253,10.2
3,Stylophora,27,8.2,10m,HF,20250408.02,Aug-25,27973,900,4,46.4,16.21,2.2,4.2,2,0.469,678.1,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.3,5.3,-2.9,-0.548,262.3,0.58,0.291,129,0.606,32617,0.102,204404,--------,-------,22072,40738,45.3
4,Stylophora,27,8.2,10m,HF,20250408.02,Aug-25,28024,350,4,46.3,16.22,6.7,12.9,6.2,0.482,357.5,0.24,0.65,555,0.11,555,0.24,1144903,--------,-------,555,275751,1800,15.5,17,1.5,0.089,662.4,0,0.844,29,0.155,11070,0.001,57911,--------,-------,1744,1803,573.5
5,Stylophora,27,8.2,10m,HF,20250408.02,Aug-25,28190,900,4,47,16.19,2.1,2.7,0.6,0.209,207.2,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,0.4,2.9,2.5,0.851,2347.8,0.7,0.691,363,0.276,13233,0.033,139791,--------,-------,4042,8502,247.4
6,Stylophora,27,8.2,10m,HF,20250408.03,Aug-25,28217,900,3.9,46.2,16.19,4,6.3,2.3,0.359,388.7,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,9.9,8,-2,-0.245,275,0.63,0.009,9360,0.883,98862,0.107,1375347,--------,-------,97924,235100,10.2
7,Stylophora,27,8.2,10m,HF,20250408.03,Aug-25,28236,900,3.9,46.1,16.19,2.6,2.9,0.3,0.095,84.1,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,3.7,4.7,1,0.208,1812.5,0.7,0.875,120,0.116,1638,0.009,32768,--------,-------,298,587,3353
8,Stylophora,27,8.2,10m,HF,20250408.03,Aug-25,28249,630,3.9,46.4,16.19,1.7,3,1.3,0.435,363.3,0.47,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,2.8,4.2,1.4,0.333,2701.9,0.62,0.932,12,0.013,9733,0.055,145080,--------,-------,144,8151,6920.9
9,Stylophora,27,8.2,10m,HF,20250408.03,Aug-25,28311,441,4,47.9,16.18,3.9,7.5,3.6,0.486,270.3,0.52,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.3,9.8,1.5,0.155,752.6,0,0.979,117,0.019,781,0.002,13698,--------,-------,130,151,7710.1
10,Stylophora,27,8.2,10m,HF,20250408.03,Aug-25,28330,410.8,4.1,47.6,16.18,1.7,2.7,1,0.378,757.2,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,5.1,4.4,-0.6,-0.145,468.3,0.7,0.561,515,0.4,3897,0.038,100000,--------,-------,1924,5693,519.9
