sample id,Species,Temp,pH,Light,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
1,Stylophora,23,8.2,50m,HF,20250408.05,Aug-25,33239,900,1.1,66.5,15.14,4.1,6.6,2.4,0.371,1014.7,0.27,0.39,1930,0.22,7207,0.39,153872,--------,-------,3840,62638,1800,7.8,6.6,-1.3,-0.193,209.6,0.7,0.458,46,0.302,13865,0.24,277298,--------,-------,5529,70753,180.9
2,Stylophora,23,8.2,50m,HF,20250408.05,Aug-25,33253,900,1.1,66.5,15.14,4.4,5.7,1.2,0.217,488.5,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,5.8,4.5,-1.3,-0.294,270.7,0.67,0.015,3478,0.888,46789,0.097,370548,--------,-------,46059,77586,21.7
3,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33313,350,2.1,66.6,15.14,4,5.9,1.8,0.314,27.4,0,0.44,194,0.04,3679,0.52,1128215,--------,-------,496,586183,1800,2.4,3.6,1.2,0.325,147.5,0.55,0.97,516,0.028,1638,0.002,32768,--------,-------,548,614,1826.3
4,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33334,245,2,66.4,15.13,9.4,12,2.6,0.213,500.9,0.55,0.27,158,0.38,4401,0.35,762380,--------,-------,2645,268450,1700,11.7,13.5,1.8,0.133,2040.1,0.69,0.261,1175,0.066,8467,0.673,10128,--------,-------,7629,7684,131.1
5,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33382,585.8,1.8,66.5,15.12,15.8,19.5,3.7,0.191,360.6,0,0.68,670,0.22,10310,0.1,668444,--------,-------,3053,66622,1300,23.7,24.8,1.1,0.045,96.3,0.31,0.04,116,0.959,11032,0.002,29507,--------,-------,10600,10637,94.3
6,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33405,436.6,1.9,67,15.11,12,16.3,4.4,0.267,857.6,0.52,0.59,1054,0.15,1054,0.26,52015,--------,-------,1054,14235,1600,21.6,22.1,0.5,0.023,137.8,0,0.37,108,0.628,10323,0.001,36826,--------,-------,6534,6574,153
7,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33423,305.6,1.8,67.3,15.11,6.4,8.8,2.4,0.274,591.9,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,9.6,11.6,2,0.17,101,0.68,0.886,124,0.101,1871,0.013,30935,--------,-------,304,691,3292.5
8,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33439,900,1.8,67.4,15.1,4.1,4.5,0.4,0.085,420.8,0.01,0.88,187,0.11,605,0.01,112491,--------,-------,233,1827,1800,6.1,5.3,-0.8,-0.148,216,0.7,0.64,424,0.001,2048,0.359,200673,--------,-------,426,72388,2347.5
9,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33451,630,1.7,67.1,15.1,4,5.3,1.3,0.243,302.8,0.68,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,7,5.4,-1.6,-0.294,588.5,0.69,0.331,1946,0.619,4889,0.049,191192,--------,-------,3863,13112,258.9
10,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33463,441,1.7,67,15.09,6.8,8.2,1.4,0.176,573,0.69,0.28,433,0.45,6312,0.28,174349,--------,-------,4058,51394,1800,8.9,8.8,-0.1,-0.016,553.7,0.7,0.785,40,0.185,21452,0.03,63141,--------,-------,4120,5885,242.7
11,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33477,628.5,1.6,67.1,15.09,5.7,6.5,0.8,0.125,1305.8,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,6.6,8,1.4,0.18,131.4,0.69,0.93,269,0.062,2003,0.008,39202,--------,-------,377,683,2654.7
12,Stylophora,23,8.2,50m,HF,20250408.06,Aug-25,33492,447.5,1.6,66.9,15.09,11.9,17.7,5.8,0.327,782.2,0.31,0.36,573,0.29,1778,0.35,56224,--------,-------,1107,20215,1500,21.9,22.7,0.9,0.038,194,0.7,0.062,892,0.811,16569,0.127,31218,--------,-------,15457,17460,64.7
13,Stylophora,23,8.2,50m,HF,20250408.07,Aug-25,33510,900,1.5,66.9,15.08,4.7,5.6,0.9,0.163,161,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.9,6.6,1.7,0.252,2329.2,0.69,0.95,46,0.046,1311,0.004,26214,--------,-------,104,208,9639.8
14,Stylophora,23,8.2,50m,NF,20250408.07,Aug-25,36976,335.7,-0.3,72.3,14.4,3.9,3.6,-0.3,-0.086,712.4,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,2.2,3.6,1.4,0.4,1983.7,0.7,0.897,256,0.078,6688,0.025,165279,--------,-------,772,4846,1294.9
15,Stylophora,23,8.2,50m,NF,20250408.07,Aug-25,36989,900,-0.4,72.2,14.4,6.3,8.7,2.3,0.268,470.6,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.8,10.4,1.7,0.161,2268.2,0.7,0.967,99,0.031,815,0.002,17909,--------,-------,121,164,8283
16,Stylophora,23,8.2,50m,NF,20250408.07,Aug-25,37001,900,-0.4,72.3,14.39,7.5,10.1,2.6,0.26,506.8,0.65,0.34,243,0.32,2732,0.34,1144903,--------,-------,1453,394606,1800,10.8,10.1,-0.7,-0.071,248.7,0.25,0.965,224,0.032,2560,0.003,180520,--------,-------,298,890,3355.8
17,Stylophora,23,8.2,50m,NF,20250408.07,Aug-25,37015,630,-0.4,72.4,14.39,8.2,9.9,1.7,0.175,571.1,0.7,0.46,867,0.32,2637,0.23,192338,--------,-------,1596,44819,1800,9,11.8,2.8,0.24,41.9,0.69,0.957,127,0.039,1611,0.004,747408,--------,-------,186,2890,5383
18,Stylophora,23,8.2,50m,NF,20250408.07,Aug-25,37027,900,-0.4,72.5,14.39,4.8,7.1,2.3,0.324,321.5,0.34,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,7.1,8.8,1.7,0.195,1936.7,0.68,0.944,119,0.048,6065,0.008,116749,--------,-------,409,1345,2447.9
19,Stylophora,23,8.2,50m,NF,20250408.07,Aug-25,37038,630,-0.5,72.5,14.38,9.7,17.8,8.1,0.456,540.8,0.24,0.57,154,0.29,1835,0.15,125588,--------,-------,720,18918,1600,18.5,21.2,2.7,0.127,1593.3,0.7,0.12,1043,0.808,12123,0.072,16672,--------,-------,10691,11121,93.5
20,Stylophora,23,8.2,50m,NF,20250408.07,Aug-25,37056,618.4,-0.6,72.3,14.39,11,17.3,6.3,0.366,487.9,0.66,0.56,225,0.31,3005,0.13,1144903,--------,-------,1212,150175,1600,17.8,19.8,2,0.101,208.7,0,0.043,2438,0.107,13288,0.85,13332,--------,-------,12808,12859,78.1
21,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39768,462.7,-1.9,74.5,14.09,6.4,10.2,3.9,0.377,438.9,0.54,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.7,13.4,2.7,0.204,178.4,0.7,0.789,247,0.198,3006,0.013,60129,--------,-------,801,1587,1248.9
22,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39781,722,-1.9,75.1,14.09,7.3,13.9,6.6,0.477,539.4,0,0.34,490,0.38,1747,0.28,210782,--------,-------,1160,59696,1800,16.3,18.7,2.4,0.126,715.5,0.01,0.859,37,0.14,9234,0,90195,--------,-------,1329,1340,752.7
23,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39793,900,-1.9,75.1,14.08,6.2,9.8,3.5,0.36,526.9,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,10.7,15.5,4.8,0.311,34.9,0.7,0.83,195,0.15,991,0.02,14330,--------,-------,317,590,3159
24,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39805,712.7,-1.9,75.1,14.08,7.7,12.5,4.8,0.386,502.6,0.45,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,13.2,14.7,1.4,0.098,1990,0.7,0.899,147,0.088,5101,0.012,96384,--------,-------,591,1781,1693
25,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39816,498.9,-1.9,75.4,14.08,7.5,14.5,7.1,0.488,543.9,0.17,0.53,827,0.3,3715,0.17,912898,--------,-------,1877,160745,1700,16.9,18.7,1.7,0.093,1498.8,0.69,0.134,986,0.797,12811,0.069,21870,--------,-------,11109,11846,90
26,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39828,379.4,-1.9,75.6,14.08,4.5,9.6,5.2,0.538,714.9,0,0.59,192,0.26,3652,0.15,565861,--------,-------,1235,87693,1800,9.9,11.7,1.8,0.155,139.7,0.14,0.001,193,0.949,13203,0.05,13250,--------,-------,13192,13195,75.8
27,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39843,607.9,-1.9,75.6,14.08,4.3,7.6,3.3,0.438,918.5,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.8,9.9,1.1,0.109,93.8,0.69,0.57,799,0.409,1947,0.022,68494,--------,-------,1279,2733,782
28,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39854,425.5,-2,75.3,14.08,10.8,20.9,10.1,0.483,532.7,0.39,0.61,225,0.28,6786,0.11,837675,--------,-------,2257,94168,1600,22,24.7,2.7,0.11,1568.5,0.7,0.161,602,0.771,13295,0.068,39824,--------,-------,11106,13060,90
29,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39866,375.8,-2,75.5,14.07,7.6,13.5,5.8,0.432,295,0,0.69,1207,0.05,20746,0.26,21293,--------,-------,2553,7383,1700,14.4,16.5,2.1,0.129,911,0.01,0.026,427,0.049,11483,0.924,12995,--------,-------,12646,12588,79.1
30,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,39913,900,-2,75.7,14.07,4.7,7.5,2.8,0.367,527.3,0.49,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.5,9.7,-0.8,-0.083,193.4,0.7,0.248,1135,0.672,11580,0.08,223558,--------,-------,8764,25950,114.1
31,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40243,789.9,-2,76.1,14.03,6,9.6,3.6,0.375,391.1,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,9.5,8.8,-0.7,-0.081,419.2,0.69,0.106,2649,0.818,22996,0.076,422090,--------,-------,20653,51072,48.4
32,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40257,900,-2,76.3,14.02,7.1,9.5,2.4,0.255,425.1,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,12.9,10.7,-2.2,-0.203,250.4,0.47,0.045,31,0.882,31,0.073,40,--------,-------,32,32,31389.6
33,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40269,630,-2,76.2,14.02,6.9,11.3,4.4,0.389,313.6,0,0.72,415,0.03,513,0.26,210376,--------,-------,418,54590,1800,12.4,13.1,0.7,0.05,2666.9,0.69,0.694,163,0.271,13346,0.036,73336,--------,-------,3864,6348,258.8
34,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40295,900,-2,76,14.01,2.3,2.5,0.3,0.103,274,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.1,2.6,-1.5,-0.57,296.3,0.69,0.296,1187,0.629,10380,0.075,212309,--------,-------,7441,22849,134.4
35,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40307,629.3,-2,76.2,14.02,7.3,10.7,3.4,0.315,417.3,0.7,0.42,645,0.42,3733,0.17,132006,--------,-------,2185,23619,1800,10.3,12.3,2,0.162,499.2,0.01,0.263,802,0.068,9366,0.668,9383,--------,-------,6960,7124,143.7
36,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40318,894.8,-2,76,14.01,5.3,8.5,3.2,0.379,385.7,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.7,10.5,1.7,0.164,169.3,0.7,0.85,217,0.136,2042,0.015,39413,--------,-------,468,1041,2136.3
37,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40328,719.1,-2,76.2,14.01,7,10.7,3.8,0.35,293.9,0.51,0.75,595,0.05,603,0.2,901055,--------,-------,595,180007,1800,12.4,14.3,2,0.138,748.2,0.01,0.954,26,0.046,12799,0,70255,--------,-------,612,620,1634.1
38,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43147,900,3,35.2,16.43,5.4,7.4,2,0.274,288.3,0.01,0.5,664,0.4,2961,0.1,33105,--------,-------,1685,4884,1800,6,8.4,2.4,0.284,772.9,0.01,0.782,214,0.001,12088,0.217,12587,--------,-------,2906,2913,344.2
39,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43162,630,2.9,35.8,16.43,8.7,14.7,6,0.408,566.5,0.09,0.72,521,0.22,20993,0.06,21080,--------,-------,2214,6265,1600,15.3,17,1.7,0.101,1335.1,0.7,0.363,867,0.569,9026,0.067,51200,--------,-------,5847,8904,171
40,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43174,441,3.2,36,16.41,6.2,9.1,2.9,0.318,194.4,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.6,10.7,2.1,0.195,165,0.7,0.817,423,0.154,2394,0.03,42929,--------,-------,735,1994,1360.5
