sample id,Temp,pH,Light,Site,Fm,Fv,fv_fm,Sigma,p,Pmax.e.s
1,23,7.6,10m,HF,9.1,2,0.218,516.1,0.69,9345
2,23,7.6,10m,HF,17.6,5.3,0.298,487.3,0.53,313.6
3,23,7.6,10m,HF,24,7.7,0.321,515.2,0.53,113.5
4,23,7.6,10m,HF,18.4,5.3,0.286,443.5,0.46,170.8
5,23,7.6,10m,NF,10.2,4.3,0.419,979.2,0,34655
6,23,7.6,10m,NF,21.7,4.1,0.188,459.8,0.68,203.6
7,23,7.8,10m,HF,25.2,7.8,0.311,354.6,0.34,108.2
8,23,7.8,10m,HF,15.3,4.3,0.278,393.8,0,138.1
9,23,7.8,10m,HF,12.2,4.6,0.381,461.4,0.54,57.9
10,23,7.8,10m,HF,4.7,1.8,0.379,362.6,0.7,45
11,23,7.8,10m,HF,5.2,-0.5,-0.105,193.9,0.69,347.1
12,23,7.8,10m,NF,17,6.2,0.363,275.3,0.49,171.3
13,23,7.8,10m,NF,18.3,4.8,0.264,455.1,0.59,77.6
14,23,7.8,10m,NF,18.7,4.3,0.232,308.7,0.01,1630.5
15,23,8.2,10m,HF,10.2,3.9,0.377,438.9,0.54,1248.9
16,23,8.2,10m,HF,13.9,6.6,0.477,539.4,0,752.7
17,23,8.2,10m,HF,9.8,3.5,0.36,526.9,0.7,3159
18,23,8.2,10m,HF,12.5,4.8,0.386,502.6,0.45,1693
19,23,8.2,10m,HF,14.5,7.1,0.488,543.9,0.17,90
20,23,8.2,10m,HF,9.6,5.2,0.538,714.9,0,75.8
21,23,8.2,10m,HF,7.6,3.3,0.438,918.5,0,782
22,23,8.2,10m,HF,20.9,10.1,0.483,532.7,0.39,90
23,23,8.2,10m,HF,13.5,5.8,0.432,295,0,79.1
24,23,8.2,10m,HF,7.5,2.8,0.367,527.3,0.49,114.1
25,23,8.2,10m,HF,9.6,3.6,0.375,391.1,0,48.4
26,23,8.2,10m,HF,9.5,2.4,0.255,425.1,0.69,31389.6
27,23,8.2,10m,HF,11.3,4.4,0.389,313.6,0,258.8
28,23,8.2,10m,HF,2.5,0.3,0.103,274,0.7,134.4
29,23,8.2,10m,HF,10.7,3.4,0.315,417.3,0.7,143.7
30,23,8.2,10m,NF,8.5,3.2,0.379,385.7,0.7,2136.3
31,23,8.2,10m,NF,10.7,3.8,0.35,293.9,0.51,1634.1
32,23,8.2,10m,HF,7.4,2,0.274,288.3,0.01,344.2
33,23,8.2,10m,HF,14.7,6,0.408,566.5,0.09,171
34,23,8.2,10m,HF,9.1,2.9,0.318,194.4,0.69,1360.5
35,23,8.2,10m,HF,14.4,6.3,0.437,463.1,0.32,80.7
36,23,8.2,10m,HF,10.4,3,0.29,275.3,0.45,84.6
37,23,8.2,10m,NF,9.9,4.6,0.462,281,0,68.1
38,23,8.2,10m,NF,1.8,-3.7,-2.026,679.8,0.01,1367.4
39,23,8.2,10m,NF,7.3,2.4,0.331,365.9,0.39,86.5
40,23,8.2,10m,HF,10.2,3.9,0.377,438.9,0.54,1248.9
41,23,8.2,10m,HF,13.9,6.6,0.477,539.4,0,752.7
42,23,8.2,10m,HF,9.8,3.5,0.36,526.9,0.7,3159
43,23,8.2,10m,HF,12.5,4.8,0.386,502.6,0.45,1693
44,23,8.2,10m,HF,14.5,7.1,0.488,543.9,0.17,90
45,23,8.2,10m,HF,9.6,5.2,0.538,714.9,0,75.8
46,23,8.2,10m,HF,7.6,3.3,0.438,918.5,0,782
47,23,8.2,10m,HF,20.9,10.1,0.483,532.7,0.39,90
48,23,8.2,10m,HF,13.5,5.8,0.432,295,0,79.1
49,23,8.2,10m,HF,7.5,2.8,0.367,527.3,0.49,114.1
50,23,8.2,10m,HF,9.6,3.6,0.375,391.1,0,48.4
51,23,8.2,10m,HF,9.5,2.4,0.255,425.1,0.69,31389.6
52,23,8.2,10m,HF,11.3,4.4,0.389,313.6,0,258.8
53,23,8.2,10m,HF,2.5,0.3,0.103,274,0.7,134.4
54,23,8.2,10m,HF,10.7,3.4,0.315,417.3,0.7,143.7
55,23,8.2,10m,NF,8.5,3.2,0.379,385.7,0.7,2136.3
56,23,8.2,10m,NF,10.7,3.8,0.35,293.9,0.51,1634.1
57,23,8.2,10m,HF,7.4,2,0.274,288.3,0.01,344.2
58,23,8.2,10m,HF,14.7,6,0.408,566.5,0.09,171
59,23,8.2,10m,HF,9.1,2.9,0.318,194.4,0.69,1360.5
60,23,8.2,10m,HF,14.4,6.3,0.437,463.1,0.32,80.7
61,23,8.2,10m,HF,10.4,3,0.29,275.3,0.45,84.6
62,23,8.2,10m,NF,9.9,4.6,0.462,281,0,68.1
63,23,8.2,10m,NF,1.8,-3.7,-2.026,679.8,0.01,1367.4
64,23,8.2,10m,NF,7.3,2.4,0.331,365.9,0.39,86.5
65,23,8.2,10m,HF,10.2,3.9,0.377,438.9,0.54,1248.9
66,23,8.2,10m,HF,13.9,6.6,0.477,539.4,0,752.7
67,23,8.2,10m,HF,9.8,3.5,0.36,526.9,0.7,3159
68,23,8.2,10m,HF,12.5,4.8,0.386,502.6,0.45,1693
69,23,8.2,10m,HF,14.5,7.1,0.488,543.9,0.17,90
70,23,8.2,10m,HF,9.6,5.2,0.538,714.9,0,75.8
71,23,8.2,10m,HF,7.6,3.3,0.438,918.5,0,782
72,23,8.2,10m,HF,20.9,10.1,0.483,532.7,0.39,90
73,23,8.2,10m,HF,13.5,5.8,0.432,295,0,79.1
74,23,8.2,10m,HF,7.5,2.8,0.367,527.3,0.49,114.1
75,23,8.2,10m,HF,9.6,3.6,0.375,391.1,0,48.4
76,23,8.2,10m,HF,9.5,2.4,0.255,425.1,0.69,31389.6
77,23,8.2,10m,HF,11.3,4.4,0.389,313.6,0,258.8
78,23,8.2,10m,HF,2.5,0.3,0.103,274,0.7,134.4
79,23,8.2,10m,HF,10.7,3.4,0.315,417.3,0.7,143.7
80,23,8.2,10m,NF,8.5,3.2,0.379,385.7,0.7,2136.3
81,23,8.2,10m,NF,10.7,3.8,0.35,293.9,0.51,1634.1
82,23,8.2,10m,HF,7.4,2,0.274,288.3,0.01,344.2
83,23,8.2,10m,HF,14.7,6,0.408,566.5,0.09,171
84,23,8.2,10m,HF,9.1,2.9,0.318,194.4,0.69,1360.5
85,23,8.2,10m,HF,14.4,6.3,0.437,463.1,0.32,80.7
86,23,8.2,10m,HF,10.4,3,0.29,275.3,0.45,84.6
87,23,8.2,10m,NF,9.9,4.6,0.462,281,0,68.1
88,23,8.2,10m,NF,1.8,-3.7,-2.026,679.8,0.01,1367.4
89,23,8.2,10m,NF,7.3,2.4,0.331,365.9,0.39,86.5
