SampleCode,plate,area mm^2,color,temp,pH,LightDepth,OxyRate nmol/mm2/min
med_Flu_polyp,plate 1,0.333,PF,23,8.2,10m,2.867802693
med_Flu_polyp,plate 1,0.514,PF,23,8.2,10m,0.955430468
plateD_NF_8.2_7,plateD,0.521,NF,23,8.2,10m,5.267694997
plateD_NF_8.2_7,plateD,0.521,NF,23,8.2,10m,4.2142
high_Flu_polyp,plate 1,0.529,HF,23,8.2,10m,0.800125567
med_Flu_polyp,plate 1,0.596,PF,23,8.2,10m,0.335438959
high_Flu_polyp,plate 1,0.611,HF,23,8.2,10m,1.344343387
med_Flu_polyp,plate 1,0.617,PF,23,8.2,10m,1.394723259
high_Flu_polyp,plate 1,0.647,HF,23,8.2,10m,1.620603572
med_Flu_polyp_7,plate 1,0.681,PF,23,8.2,10m,0.574239312
med_Flu_polyp_1,plate 1,0.684,PF,23,8.2,10m,1.246431061
med_Flu_polyp,plate 1,0.693,PF,23,8.2,10m,0.477353385
high_Flu_polyp,plate 1,0.761,HF,23,8.2,10m,1.043162105
med_Flu_polyp_8,plate 1,0.771,PF,23,8.2,10m,0.319012201
med_Flu_polyp,plate 1,0.784,PF,23,8.2,10m,1.110603728
med_Flu_polyp,plate 1,0.834,PF,23,8.2,10m,1.364860862
plate3_68b,plate 3,0.854,PF,32,8.2,10m,0.4834
med_Flu_polyp,plate 1,0.871,PF,23,8.2,10m,0.000106077
med_Flu_polyp_3,plate 1,0.911,PF,23,8.2,10m,1.031251556
high_Flu_polyp,plate 1,0.939,HF,23,8.2,10m,1.191136116
high_Flu_polyp,plate 1,0.958,HF,23,8.2,10m,0.122043797
med_Flu_polyp_4,plate 1,0.982,PF,23,8.2,10m,0.907070144
med_Flu_polyp_5,plate 1,1.003,PF,23,8.2,10m,1.509365719
plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,1.057360491
plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,0.845888393
plate2_16c,plate 2,1.092,HF,27,8.2,10m,0.6666
plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.443727496
plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.154981997
high_Flu_polyp,plate 1,1.141,HF,23,8.2,10m,0.784896955
med_Flu_polyp,plate 1,1.157,PF,23,8.2,10m,0.493558561
plateB_NF_27C_11,plateB,1.157,NF,27,8.2,10m,0.0422
plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1252
plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1002
plateD_NF_50m_2,plateD,1.191,NF,27,8.2,10m,0.4283
plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.6257
plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.3006
plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.334579564
plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.067663651
med_Flu_polyp,plate 1,1.23,PF,23,8.2,10m,0.858256631
plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.585159734
plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.268127787
plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.399497436
plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.119597949
plateA_HF_27C_1,plateA,1.292,HF,23,8.2,10m,0.8202
plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.4884
plateA_HF_27C_1,plateA,1.292,HF,23,8.2,10m,0.1512
plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.1319
plateD_NF_8.2_2,plateD,1.301,NF,23,8.2,10m,2.622935585
plateD_NF_8.2_2,plateD,1.301,NF,23,8.2,10m,2.098348468
plateA_HF_27C_8,plateA,1.325,HF,23,8.2,10m,0.5459
plateA_HF_27C_8,plateA,1.325,HF,27,8.2,10m,0.1349
Plate3_24a,plate 3,1.335,NF,32,8.2,10m,0.8935
plateB_NF_27C_10,plateB,1.372,NF,27,8.2,10m,0.3882
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.2602
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.0081
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,0.6426
med_Flu_polyp,plate 1,1.385,PF,23,8.2,10m,0.336041533
plate1_12a,plate 1,1.407,NF,27,8.2,10m,0.3895
plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.662655881
