date,SampleCode,plate,area mm^2,color,morph,pH,LightDepth,OxyRate nmol/mm2/min
08/04/2025,plateD_HF_DARK_7,plateD,1.442,HF,23,8.2,Dark,1.0378
08/04/2025,plateD_HF_DARK_5,plateD,1.829,HF,23,8.2,Dark,0.9559
08/04/2025,plateD_HF_DARK_6,plateD,3.328,HF,23,8.2,Dark,0.8091
08/04/2025,plateE_NF_DARK_3,plateE,1.268,NF,23,8.2,Dark,0.679
07/04/2024,plate4_51b,plate 4,2.093,NF,23,8.2,Dark,0.6635
07/04/2024,plate4_51a,plate 4,2.214,NF,23,8.2,Dark,0.6291
08/04/2025,plateE_NF_DARK_1,plateE,2.022,HF,23,8.2,Dark,0.616
08/04/2025,plateD_HF_DARK_4,plateD,1.85,NF,23,8.2,Dark,0.555
08/04/2025,plateD_HF_DARK_8,plateD,6.545,NF,23,8.2,Dark,0.398023033
08/04/2025,plateE_NF_DARK_2,plateE,3.175,HF,23,8.2,Dark,0.342
08/04/2025,plateD_HF_DARK_1,plateD,2.356,HF,23,8.2,Dark,0.3155
08/04/2025,plateD_HF_DARK_9,plateD,6.713,HF,23,8.2,Dark,0.305664036
08/04/2025,plateD_HF_DARK_2,plateD,6.467,HF,23,8.2,Dark,0.245842066
08/04/2025,plateD_NF_DARK_2,plateD,5.197,NF,23,8.2,Dark,0.217881341
08/04/2025,plateD_NF_DARK_3,plateD,4.568,NF,23,8.2,Dark,0.16825063
07/04/2024,plate3_52a,plate 3,1.797,HF,23,8.2,50m,1.5347
07/04/2024,plate3_52d,plate 3,2.608,HF,23,8.2,50m,1.3769
08/04/2025,plateC_HF_50m_4,plateC,1.599,HF,23,8.2,50m,1.1912
08/04/2025,plateD_NF_50m_2,plateD,1.191,HF,23,8.2,50m,1.0934
07/04/2024,plate3_52b,plate 3,1.896,HF,23,8.2,50m,1.0764
08/04/2025,plateD_NF_50m_3,plateD,1.72,HF,23,8.2,50m,1.0008
08/04/2025,plateC_HF_50m_6,plateC,3.273,NF,23,8.2,50m,0.8053
08/04/2025,plateD_NF_50m_8,plateD,5.511,HF,23,8.2,50m,0.76600477
07/04/2024,plate3_58a,plate 3,4.596,HF,23,8.2,50m,0.734679562
07/04/2024,plate3_54b,plate 3,5.05,NF,23,8.2,50m,0.603790356
08/04/2025,plateC_HF_50m_13,plateC,2.194,NF,23,8.2,50m,0.5836
07/04/2024,plate3_52c,plate 3,4.813,HF,23,8.2,50m,0.553649448
08/04/2025,plateD_NF_50m_4,plateD,3.123,HF,23,8.2,50m,0.523
08/04/2025,plateC_HF_50m_5,plateC,3.959,HF,23,8.2,50m,0.4886
08/04/2025,plateC_HF_50m_9,plateC,4.395,HF,23,8.2,50m,0.461285606
08/04/2025,plateC_HF_50m_7,plateC,11.061,NF,23,8.2,50m,0.381947698
07/04/2024,plate3_58b,plate 3,3.219,HF,23,8.2,50m,0.2497
08/04/2025,plateC_HF_50m_15,plateC,2.312,HF,23,8.2,50m,0.2401
08/04/2025,plateC_HF_50m_8,plateC,9.367,NF,23,8.2,50m,0.214865425
08/04/2025,plateD_NF_50m_5,plateD,4.003,HF,23,8.2,50m,0.2084
08/04/2025,plateC_HF_50m_10,plateC,1.534,HF,23,8.2,50m,0.2068
08/04/2025,plateC_HF_50m_3,plateC,2.404,NF,23,8.2,50m,0.1485
08/04/2025,plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.6257
25/07/2023,high_Flu_polyp,plate 1,0.647,HF,23,8.2,10m,1.620603572
14/05/2025,plateC_HF_8.2_7,plateC,1.913,HF,23,8.2,10m,1.3803565
27/05/2023,high_Flu_polyp,plate 1,0.611,HF,23,8.2,10m,1.344343387
14/05/2025,plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.330124705
08/04/2025,plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.3006
08/04/2024,plateA_HF_27C_3,plateA,3.812,HF,23,8.2,10m,1.3006
08/04/2025,plateE_HF_control_9,plateE,2.048,HF,23,8.2,10m,1.2901
14/05/2025,plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.268127787
08/04/2025,plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.2602
14/05/2025,plateC_HF_8.2_13,plateC,3.246,HF,23,8.2,10m,1.209989861
08/04/2025,plateE_HF_control_4,plateE,1.684,HF,23,8.2,10m,1.2005
27/05/2023,high_Flu_polyp,plate 1,0.939,HF,23,8.2,10m,1.191136116
14/05/2025,plateC_HF_8.2_14,plateC,2.17,HF,23,8.2,10m,1.171520533
14/05/2025,plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.154981997
14/05/2025,plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.119597949
14/05/2025,plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.067663651
07/04/2024,plate2_96e,plate 2,2.93,NF,23,8.2,10m,1.0562
27/05/2023,high_Flu_polyp,plate 1,0.761,HF,23,8.2,10m,1.043162105
08/04/2024,plateF_NF_control_2,plateF,1.971,HF,23,8.2,10m,1.0321
08/04/2025,plateE_HF_control_9,plateE,2.048,NF,23,8.2,10m,1.0321
08/04/2025,plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,1.0253
