SampleCode,plate,area mm^2,morph,temp,pH,LightDepth,OxyRate nmol/mm2/min
plateC_HF_8.2_7,plateC,1.913,HF,23,8.2,10m,1.725445625
plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.662655881
plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.6257
high_Flu_polyp,plate 1,0.647,HF,23,8.2,10m,1.620603572
plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.585159734
plateC_HF_8.2_13,plateC,3.246,HF,23,8.2,10m,1.512487326
plateC_HF_8.2_14,plateC,2.17,HF,23,8.2,10m,1.464400666
plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.443727496
plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.399497436
plateC_HF_8.2_7,plateC,1.913,HF,23,8.2,10m,1.3803565
high_Flu_polyp,plate 1,0.611,HF,23,8.2,10m,1.344343387
plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.334579564
plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.330124705
plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.3006
plateA_HF_27C_3,plateA,3.812,HF,23,8.2,10m,1.3006
plateE_HF_control_9,plateE,2.048,HF,23,8.2,10m,1.2901
plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.268127787
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.2602
plateC_HF_8.2_1,plateC,1.861,HF,23,8.2,10m,1.229636027
plateC_HF_8.2_13,plateC,3.246,HF,23,8.2,10m,1.209989861
plateE_HF_control_4,plateE,1.684,HF,23,8.2,10m,1.2005
high_Flu_polyp,plate 1,0.939,HF,23,8.2,10m,1.191136116
plateC_HF_8.2_14,plateC,2.17,HF,23,8.2,10m,1.171520533
plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.154981997
plateD_NF_8.2_1,plateD,1.665,NF,23,8.2,10m,1.132451164
plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.119597949
plateD_NF_8.2_6,plateD,2.434,NF,23,8.2,10m,1.112170345
plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.067663651
plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,1.057360491
plate2_96e,plate 2,2.93,NF,23,8.2,10m,1.0562
high_Flu_polyp,plate 1,0.761,HF,23,8.2,10m,1.043162105
plateF_NF_control_2,plateF,1.971,HF,23,8.2,10m,1.0321
plateE_HF_control_9,plateE,2.048,NF,23,8.2,10m,1.0321
plateC_HF_8.2_7,plateC,3.214,HF,23,8.2,10m,1.026999839
plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,1.0253
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.0081
plateA_HF_27C_10,plateA,3.03,HF,23,8.2,10m,1.0081
plateC_HF_8.2_11,plateC,3.993,HF,23,8.2,10m,1.00187833
plateC_HF_8.2_1,plateC,1.861,HF,23,8.2,10m,0.983708821
plateE_NF_control_1,plateE,1.603,NF,23,8.2,10m,0.9639
plateE_HF_control_4,plateE,1.684,NF,23,8.2,10m,0.9604
plateF_NF_control_7,plateF,1.971,HF,23,8.2,10m,0.9604
plate4_42a,plate 4,1.91,NF,23,8.2,10m,0.954117778
plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.9333
plateD_NF_8.2_1,plateD,1.665,NF,23,8.2,10m,0.905960931
plateE_HF_control_13,plateE,2.162,HF,23,8.2,10m,0.9018
plate3_22a,plate 3,2.046,HF,32,8.2,10m,0.898
Plate3_24a,plate 3,1.335,NF,32,8.2,10m,0.8935
plateD_NF_8.2_6,plateD,2.434,NF,23,8.2,10m,0.889736276
plate4_34a,plate 4,1.703,HF,23,8.2,10m,0.886746685
plateC_HF_8.2_6,plateC,2.916,HF,23,8.2,10m,0.863780284
plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,0.845888393
plateC_HF_8.2_7,plateC,3.214,HF,23,8.2,10m,0.821599871
plateA_HF_27C_1,plateA,1.292,HF,23,8.2,10m,0.8202
plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,0.8202
plateE_HF_control_8,plateE,3.69,HF,23,8.2,10m,0.8139
plateE_HF_control_3,plateE,1.621,HF,23,8.2,10m,0.8032
plateC_HF_8.2_11,plateC,3.993,HF,23,8.2,10m,0.801502664
high_Flu_polyp,plate 1,0.529,HF,23,8.2,10m,0.800125567
