date,SampleCode,plate,area mm^2,morph,temp,pH,LightDepth,OxyRate nmol/mm2/min
14/05/2025,plateD_NF_8.2_7,plateD,0.521,NF,23,8.2,10m,5.267694997
14/05/2025,plateD_NF_8.2_7,plateD,0.521,NF,23,8.2,10m,4.2142
14/05/2025,plateD_NF_8.2_3,plateD,1.689,NF,23,8.2,10m,3.014369385
27/05/2023,med_Flu_polyp,plate 1,0.333,PF,23,8.2,10m,2.867802693
14/05/2025,plateD_NF_8.2_2,plateD,1.301,NF,23,8.2,10m,2.622935585
14/05/2025,plateD_NF_8.2_3,plateD,1.689,NF,23,8.2,10m,2.411495508
14/05/2025,plateD_NF_8.2_2,plateD,1.301,NF,23,8.2,10m,2.098348468
14/05/2025,plateC_HF_8.2_7,plateC,1.913,HF,23,8.2,10m,1.725445625
14/05/2025,plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.662655881
08/04/2025,plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.6257
25/07/2023,high_Flu_polyp,plate 1,0.647,HF,23,8.2,10m,1.620603572
14/05/2025,plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.585159734
14/05/2025,plateC_HF_8.2_13,plateC,3.246,HF,23,8.2,10m,1.512487326
25/07/2023,med_Flu_polyp_5,plate 1,1.003,PF,23,8.2,10m,1.509365719
14/05/2025,plateC_HF_8.2_14,plateC,2.17,HF,23,8.2,10m,1.464400666
14/05/2025,plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.443727496
14/05/2025,plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.399497436
27/05/2023,med_Flu_polyp,plate 1,0.617,PF,23,8.2,10m,1.394723259
14/05/2025,plateC_HF_8.2_7,plateC,1.913,HF,23,8.2,10m,1.3803565
27/05/2023,med_Flu_polyp,plate 1,0.834,PF,23,8.2,10m,1.364860862
27/05/2023,high_Flu_polyp,plate 1,0.611,HF,23,8.2,10m,1.344343387
14/05/2025,plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.334579564
27/05/2023,med_Flu_polyp,plate 1,1.587,PF,23,8.2,10m,1.331672195
14/05/2025,plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.330124705
08/04/2025,plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.3006
08/04/2024,plateA_HF_27C_3,plateA,3.812,HF,23,8.2,10m,1.3006
08/04/2025,plateE_HF_control_9,plateE,2.048,HF,23,8.2,10m,1.2901
14/05/2025,plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.268127787
08/04/2025,plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.2602
25/07/2023,med_Flu_polyp_1,plate 1,0.684,PF,23,8.2,10m,1.246431061
14/05/2025,plateC_HF_8.2_1,plateC,1.861,HF,23,8.2,10m,1.229636027
14/05/2025,plateC_HF_8.2_13,plateC,3.246,HF,23,8.2,10m,1.209989861
08/04/2025,plateE_HF_control_4,plateE,1.684,HF,23,8.2,10m,1.2005
27/05/2023,high_Flu_polyp,plate 1,0.939,HF,23,8.2,10m,1.191136116
14/05/2025,plateC_HF_8.2_14,plateC,2.17,HF,23,8.2,10m,1.171520533
14/05/2025,plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.154981997
14/05/2025,plateD_NF_8.2_1,plateD,1.665,NF,23,8.2,10m,1.132451164
14/05/2025,plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.119597949
14/05/2025,plateD_NF_8.2_6,plateD,2.434,NF,23,8.2,10m,1.112170345
27/05/2023,med_Flu_polyp,plate 1,0.784,PF,23,8.2,10m,1.110603728
14/05/2025,plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.067663651
14/05/2025,plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,1.057360491
07/04/2024,plate2_96e,plate 2,2.93,NF,23,8.2,10m,1.0562
27/05/2023,high_Flu_polyp,plate 1,0.761,HF,23,8.2,10m,1.043162105
08/04/2024,plateF_NF_control_2,plateF,1.971,NF,23,8.2,10m,1.0321
08/04/2025,plateE_HF_control_9,plateE,2.048,HF,23,8.2,10m,1.0321
25/07/2023,med_Flu_polyp_3,plate 1,0.911,PF,23,8.2,10m,1.031251556
14/05/2025,plateC_HF_8.2_7,plateC,3.214,HF,23,8.2,10m,1.026999839
08/04/2025,plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,1.0253
08/04/2025,plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.0081
08/04/2024,plateA_HF_27C_10,plateA,3.03,HF,23,8.2,10m,1.0081
14/05/2025,plateC_HF_8.2_11,plateC,3.993,HF,23,8.2,10m,1.00187833
14/05/2025,plateC_HF_8.2_1,plateC,1.861,HF,23,8.2,10m,0.983708821
08/04/2025,plateE_NF_control_1,plateE,1.603,NF,23,8.2,10m,0.9639
08/04/2025,plateE_HF_control_4,plateE,1.684,HF,23,8.2,10m,0.9604
08/04/2024,plateF_NF_control_7,plateF,1.971,NF,23,8.2,10m,0.9604
27/05/2023,med_Flu_polyp,plate 1,0.514,PF,23,8.2,10m,0.955430468
07/04/2024,plate4_42a,plate 4,1.91,NF,23,8.2,10m,0.954117778
08/04/2025,plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.9333
25/07/2023,med_Flu_polyp_4,plate 1,0.982,PF,23,8.2,10m,0.907070144
14/05/2025,plateD_NF_8.2_1,plateD,1.665,NF,23,8.2,10m,0.905960931
08/04/2025,plateE_HF_control_13,plateE,2.162,HF,23,8.2,10m,0.9018
14/05/2025,plateD_NF_8.2_6,plateD,2.434,NF,23,8.2,10m,0.889736276
07/04/2024,plate4_34a,plate 4,1.703,HF,23,8.2,10m,0.886746685
14/05/2025,plateC_HF_8.2_6,plateC,2.916,HF,23,8.2,10m,0.863780284
27/05/2023,med_Flu_polyp,plate 1,1.23,PF,23,8.2,10m,0.858256631
14/05/2025,plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,0.845888393
14/05/2025,plateC_HF_8.2_7,plateC,3.214,HF,23,8.2,10m,0.821599871
