Sample No,Conc (Cells/mL),Average,Counts...,,,,,
100,62000,6.2,8,4,7,5,7,
,,,,,,,,
50,37500,3.75,2,5,3,5,,
,,,,,,,,
51,182500,18.25,12,22,26,13,,
,,,,,,,,
52,322500,32.25,37,27,28,37,,
,,,,,,,,
53,87500,8.75,10,9,3,13,,
,,,,,,,,
54,215000,21.5,26,23,17,20,,
,,,,,,,,
55,112500,11.25,6,10,13,16,,
,,,,,,,,
56,175000,17.5,16,18,20,16,,
,,,,,,,,
58,70000,7,3,5,10,10,,
,,,,,,,,
59,137500,13.75,18,11,13,13,,
,,,,,,,,
60,122500,12.25,12,14,14,9,,
,,,,,,,,
61,127500,12.75,13,12,13,13,,
,,,,,,,,
62,60000,6,5,6,7,6,,
,,,,,,,,
63,62500,6.25,7,8,5,5,,
,,,,,,,,
64,65000,6.5,3,8,5,10,,
,,,,,,,,
65,80000,8,2,8,7,15,,
,,,,,,,,
66,60000,6,8,5,9,2,,
,,,,,,,,
67,20000,2,2,1,1,4,,
,,,,,,,,
68,78000,7.8,8,9,7,8,7,
,,,,,,,,
69,100000,10,8,6,12,14,,
,,,,,,,,
70,105000,10.5,13,7,12,10,,
,,,,,,,,
71,15000,1.5,2,1,2,1,,
,,,,,,,,
72,17500,1.75,1,3,1,2,,
,,,,,,,,
73,45000,4.5,5,3,4,6,,
,,,,,,,,
74,50000,5,7,3,6,4,,
,,,,,,,,
75,17500,1.75,1,4,1,1,,
,,,,,,,,
76,112500,11.25,14,12,12,7,,
,,,,,,,,
77,65000,6.5,4,3,11,8,,
,,,,,,,,
78,57500,5.75,5,2,9,7,,
,,,,,,,,
79,105000,10.5,12,13,7,10,,
,,,,,,,,
80,15000,1.5,1,1,2,2,,
,,,,,,,,
81,32500,3.25,4,5,2,2,,
,,,,,,,,
82,65000,6.5,8,4,5,9,,
,,,,,,,,
83,47500,4.75,6,1,9,3,,
,,,,,,,,
84,70000,7,7,6,10,5,,
,,,,,,,,
85,42500,4.25,4,3,4,6,,
,,,,,,,,
86,228333.333,22.8333,23,30,18,18,26,22
,,,,,,,,
87,65000,6.5,6,8,4,8,,
,,,,,,,,
88,190000,19,31,18,18,9,,
,,,,,,,,
89,32500,3.25,6,5,1,1,,
,,,,,,,,
90,297500,29.75,34,27,18,40,,
,,,,,,,,
91,80000,8,8,11,7,6,,
,,,,,,,,
92,45000,4.5,7,3,3,5,,
,,,,,,,,
93,320000,32,21,18,54,35,,
,,,,,,,,
94,142500,14.25,17,16,12,12,,
,,,,,,,,
95,200000,20,25,25,12,18,20,
,,,,,,,,
96,95000,9.5,9,9,13,7,,
,,,,,,,,
97,155000,15.5,14,20,14,14,,
,,,,,,,,
98,112500,11.25,18,12,10,5,,
,,,,,,,,
99,22500,2.25,1,3,4,1,,
