Sample no,File,Variant,TotalPixels,RawSum,Intensity_per_µm2
1,HF_1.nd2,HF,8545664.44,69900000000,274.971
2,HF_3.nd2,HF,8545664.44,52300000000,205.746
3,HF_4.nd2,HF,8545664.44,58000000000,228.2578
4,HF_5.nd2,HF,8545664.44,74500000000,292.9284
5,HF_6.nd2,HF,8545664.44,61400000000,241.6919
6,HF_7.nd2,HF,8545664.44,51200000000,201.3532
7,HF_8.nd2,HF,8545664.44,86800000000,341.3965
8,HF_9.nd2,HF,8545664.44,32200000000,126.7244
9,HF_10.nd2,HF,8545664.44,58700000000,230.9152
10,NF_1.nd2,NF,8545664.44,5280000000,20.7663
11,NF_2.nd2,NF,8545664.44,10700000000,41.9983
12,NF_3.nd2,NF,8545664.44,4500000000,17.7141
13,NF_4.nd2,NF,8545664.44,30300000000,119.2075
14,NF_5.nd2,NF,8545664.44,8500000000,33.4587
15,NF_6.nd2,NF,8545664.44,5610000000,22.0558
16,NF_7.nd2,NF,8545664.44,11400000000,45.0034
17,NF_8.nd2,NF,8545664.44,9190000000,36.17
18,NF_9.nd2,NF,8545664.44,16300000000,64.1848
19,NF_10.nd2,NF,8545664.44,16900000000,66.5061
20,NF_11.nd2,NF,8545664.44,12700000000,50.1262
21,NF_12.nd2,NF,8545664.44,16800000000,66.0475
