no,area µm²,perimeter µm,area_mm²,perim_mm,Volume mm³,morph,Label,file name
1,988744.641,5399.109,0.9887,5.3991,0.3169,HF,1,IMG_0025.jpg:1382-1339
2,979397.379,4493.556,0.9794,4.4936,0.3983,HF,2,IMG_0025.jpg:1085-1007
3,778539.943,4620.749,0.7785,4.6207,0.2319,HF,3,IMG_0025.jpg:0914-0406
4,740868.305,3790.186,0.7409,3.7902,0.2745,HF,4,IMG_0025.jpg:1089-0317
5,966898.134,5056.337,0.9669,5.0563,0.3287,HF,1,IMG_0026-1.tif:0631-1719
6,1086325.705,4776.587,1.0863,4.7766,0.4590,HF,2,IMG_0026-1.tif:1810-1851
7,831819.335,4225.475,0.8318,4.2255,0.3027,HF,3,IMG_0026-1.tif:1982-0549
8,787126.381,4413.915,0.7871,4.4139,0.2523,HF,4,IMG_0026-1.tif:1327-3265
9,1111889.379,4803.349,1.1119,4.8033,0.4795,HF,1,IMG_0027-1.tif:0834-1341
10,818689.693,3921.956,0.8187,3.9220,0.3269,HF,2,IMG_0027-1.tif:1051-1865
11,934726.164,4990.581,0.9347,4.9906,0.3109,HF,3,IMG_0027-1.tif:1890-3220
12,882990.158,4956.082,0.8830,4.9561,0.2776,HF,1,IMG_0028-1.jpg:0973-2867
13,1103802.91,4775.861,1.1038,4.7759,0.4758,HF,2,IMG_0028-1.jpg:1885-1243
14,874577.622,4355.53,0.8746,4.3555,0.3239,HF,1,IMG_0029-1.tif:0390-1139
15,1098411.932,4843.949,1.0984,4.8439,0.4609,HF,2,IMG_0029-1.tif:1657-2627
16,848253.125,4763.172,0.8483,4.7632,0.2681,HF,1,IMG_0030-1.tif:1918-2910
17,576595.616,3744.343,0.5766,3.7443,0.1601,HF,2,IMG_0030-1.tif:1863-2811
18,1001483.002,5070.896,1.0015,5.0709,0.3533,HF,3,IMG_0030-1.tif:1531-1438
19,663720.79,4308.655,0.6637,4.3087,0.1802,HF,4,IMG_0030-1.tif:1364-1425
20,932661.071,4709.044,0.9327,4.7090,0.3344,HF,5,IMG_0030-1.tif:1079-1829
21,768518.809,3998.06,0.7685,3.9981,0.2751,HF,6,IMG_0030-1.tif:0583-1398
22,824515.428,4569.878,0.8245,4.5699,0.2663,HF,1,IMG_0031-1.tif:1611-1537
23,998678.824,5217.084,0.9987,5.2171,0.3383,HF,1,IMG_0032-1.tif:1530-2496
24,997439.768,4795.08,0.9974,4.7951,0.3778,HF,2,IMG_0032-1.tif:0992-1795
25,504513.012,3200.36,0.5045,3.2004,0.1490,HF,3,IMG_0032-1.tif:1070-1772
26,772170.763,4223.35,0.7722,4.2234,0.2570,HF,4,IMG_0032-1.tif:0809-1058
27,941464.887,4667.623,0.9415,4.6676,0.3455,HF,5,IMG_0032-1.tif:0646-1498
28,922422.559,4692.766,0.9224,4.6928,0.3280,HF,6,IMG_0032-1.tif:0360-1922
29,670807.318,3756.291,0.6708,3.7563,0.2225,HF,1,IMG_0033-1.tif:0922-2089
30,952659.864,5082.91,0.9527,5.0829,0.3162,HF,2,IMG_0033-1.tif:0426-1847
31,868469.295,4662.812,0.8685,4.6628,0.2902,HF,1,IMG_0034-1.tif:0777-2609
32,933465.37,4378.739,0.9335,4.3787,0.3717,HF,2,IMG_0034-1.tif:1714-1624
33,990635.831,5199.306,0.9906,5.1993,0.3340,HF,1,IMG_0035-1.tif:1188-2093
34,757171.668,3888.503,0.7572,3.8885,0.2773,HF,2,IMG_0035-1.tif:1073-1472
35,759845.42,4480.144,0.7598,4.4801,0.2291,HF,3,IMG_0035-1.tif:0924-1422
36,978462.653,4840.382,0.9785,4.8404,0.3576,HF,1,IMG_0036-1.tif:1066-2190
37,760714.933,4262.575,0.7607,4.2626,0.2456,HF,2,IMG_0036-1.tif:0854-1796
38,949094.861,4941.132,0.9491,4.9411,0.3255,HF,3,IMG_0036-1.tif:1678-3505
39,742107.361,3839.336,0.7421,3.8393,0.2702,HF,1,IMG_0037-1.tif:1402-2914
40,775083.63,4497.537,0.7751,4.4975,0.2380,HF,2,IMG_0037-1.tif:1330-1391
41,785083.026,4240.387,0.7851,4.2404,0.2650,HF,3,IMG_0037-1.tif:0996-1138
42,910531.973,4634.668,0.9105,4.6347,0.3243,HF,4,IMG_0037-1.tif:1059-1797
43,1030763.843,5087.072,1.0308,5.0871,0.3745,HF,5,IMG_0037-1.tif:0584-1678
44,809016.364,4316.121,0.8090,4.3161,0.2762,HF,6,IMG_0037-1.tif:0374-2283
45,925465.854,4705.616,0.9255,4.7056,0.3291,HF,1,IMG_0038-1.tif:0744-2926
46,814689.934,4473.518,0.8147,4.4735,0.2670,HF,2,IMG_0038-1.tif:1275-3181
47,754041.423,4319.479,0.7540,4.3195,0.2366,HF,3,IMG_0038-1.tif:1910-3336
48,913401.365,4893.029,0.9134,4.8930,0.3036,HF,4,IMG_0038-1.tif:1933-0554
49,1308768.794,5780.587,1.3088,5.7806,0.5298,HF,5,IMG_0038-1.tif:1218-1042
50,847927.058,4244.892,0.8479,4.2449,0.3138,HF,6,IMG_0038-1.tif:1108-0455
51,884164,3534.579,0.8842,3.5346,0.4819,HF,1,IMG_0039-1.tif:0839-0932
52,889902.784,4157.862,0.8899,4.1579,0.3609,HF,2,IMG_0039-1.tif:1173-1417
53,949768.734,4989.299,0.9498,4.9893,0.3219,HF,3,IMG_0039-1.tif:1422-2269
54,942877.846,4710.611,0.9429,4.7106,0.3423,HF,4,IMG_0039-1.tif:0538-2169
55,1200449.248,5650.768,1.2004,5.6508,0.4530,HF,5,IMG_0039-1.tif:0647-2762
56,742194.312,4192.455,0.7422,4.1925,0.2380,HF,6,IMG_0039-1.tif:1692-3471
57,830362.901,4116.339,0.8304,4.1163,0.3133,HF,1,IMG_0040-1.tif:0432-1311
58,870012.68,4214.124,0.8700,4.2141,0.3360,HF,2,IMG_0040-1.tif:1561-3585
59,840231.87,4344.882,0.8402,4.3449,0.2974,HF,1,IMG_0041-1.tif:0574-2634
60,732477.507,4022.926,0.7325,4.0229,0.2450,HF,2,IMG_0041-1.tif:0852-2297
61,879794.698,4762.671,0.8798,4.7627,0.2901,HF,3,IMG_0041-1.tif:1935-0466
62,838927.601,4729.111,0.8389,4.7291,0.2642,HF,1,IMG_0042-1.tif:1245-2117
63,937573.818,5230.175,0.9376,5.2302,0.2946,HF,2,IMG_0042-1.tif:1084-1676
64,957920.415,4937.997,0.9579,4.9380,0.3324,HF,1,IMG_0043.jpg:0854-1446
65,913401.365,4326.465,0.9134,4.3265,0.3604,HF,1,IMG_0044-1.tif:1374-2699
66,825515.367,4307.417,0.8255,4.3074,0.2896,HF,2,IMG_0044-1.tif:1325-2273
67,713978.624,3878.81,0.7140,3.8788,0.2440,HF,3,IMG_0044-1.tif:0782-1806
68,908314.715,5049.578,0.9083,5.0496,0.2879,HF,4,IMG_0044-1.tif:0863-1589
69,913292.676,4284.709,0.9133,4.2847,0.3655,HF,5,IMG_0044-1.tif:1148-1317
70,673263.692,3865.196,0.6733,3.8652,0.2152,HF,1,IMG_0045-1.tif:1007-0462
71,987722.964,5104.424,0.9877,5.1044,0.3399,HF,2,IMG_0045-1.tif:1402-2608
72,993787.815,5156.723,0.9938,5.1567,0.3399,HF,1,IMG_0047-1.tif:0723-1084
73,991853.149,4459.821,0.9919,4.4598,0.4145,HF,2,IMG_0047-1.tif:0458-1497
74,923422.499,5058.085,0.9234,5.0581,0.2976,HF,3,IMG_0047-1.tif:1221-1518
75,865839.019,4311.349,0.8658,4.3113,0.3214,HF,4,IMG_0047-1.tif:1387-1648
76,622310.247,4062.676,0.6223,4.0627,0.1694,HF,5,IMG_0047-1.tif:1479-1881
77,828254.332,4257.521,0.8283,4.2575,0.2966,HF,6,IMG_0047-1.tif:1632-1848
78,690284.403,3447.415,0.6903,3.4474,0.2721,HF,7,IMG_0047-1.tif:1122-1884
79,856274.38,4038.665,0.8563,4.0387,0.3459,HF,8,IMG_0047-1.tif:1100-2175
80,765671.155,4493.524,0.7657,4.4935,0.2320,HF,9,IMG_0047-1.tif:1434-2457
81,818994.022,4462.674,0.8190,4.4627,0.2710,HF,10,IMG_0047-1.tif:1618-2178
82,517794.819,2846.809,0.5178,2.8468,0.1930,HF,11,IMG_0047-1.tif:0867-2371
83,955442.304,5212.561,0.9554,5.2126,0.3080,HF,1,IMG_0048-1.tif:1063-1815
84,777387.839,4418.001,0.7774,4.4180,0.2452,HF,2,IMG_0048-1.tif:0476-2046
85,954116.297,4488.959,0.9541,4.4890,0.3763,HF,3,IMG_0048-1.tif:2057-3176
86,728629.914,3491.639,0.7286,3.4916,0.3026,HF,4,IMG_0048-1.tif:1075-3607
87,992722.662,5159.191,0.9927,5.1592,0.3389,HF,1,IMG_0049.jpg:0375-0831
88,762323.531,3664.847,0.7623,3.6648,0.3096,HF,2,IMG_0049.jpg:0342-2648
89,876294.91,4509.935,0.8763,4.5099,0.3097,HF,3,IMG_0049.jpg:0323-2871
90,787800.254,4094.116,0.7878,4.0941,0.2808,HF,4,IMG_0049.jpg:1157-2478
91,1049654.006,4705.498,1.0497,4.7055,0.4345,HF,5,IMG_0049.jpg:1442-1824
92,928509.148,4489.983,0.9285,4.4900,0.3540,HF,6,IMG_0049.jpg:1717-2286
93,788474.126,4244.019,0.7885,4.2440,0.2672,NF,1,IMG_0051-1.tif:1078-2466
94,417300.888,2654.26,0.4173,2.6543,0.1301,NF,1,IMG_0054-1.tif:1477-1992
95,463580.702,2691.935,0.4636,2.6919,0.1637,NF,2,IMG_0054-1.tif:1667-1881
96,714196.003,4168.835,0.7142,4.1688,0.2206,NF,3,IMG_0054-1.tif:1483-1625
97,772235.976,4025.54,0.7722,4.0255,0.2753,NF,1,IMG_0055-1.tif:1237-2740
98,945269.005,5030.338,0.9453,5.0303,0.3152,NF,1,IMG_0056-1.tif:0754-2654
99,741129.159,3797.86,0.7411,3.7979,0.2739,NF,1,IMG_0057-1.tif:0503-1179
100,591203.43,3397.341,0.5912,3.3973,0.1947,NF,2,IMG_0057-1.tif:0989-2542
101,551205.845,3766.962,0.5512,3.7670,0.1440,NF,3,IMG_0057-1.tif:0811-2676
102,568009.178,2795.064,0.5680,2.7951,0.2572,NF,4,IMG_0057-1.tif:0420-3023
103,647721.756,3378.761,0.6477,3.3788,0.2424,NF,1,IMG_0058-1.tif:0742-1876
104,840970.956,4561.007,0.8410,4.5610,0.2787,NF,2,IMG_0058-1.tif:1418-2607
105,1041893.605,5143.305,1.0419,5.1433,0.3777,NF,3,IMG_0058-1.tif:0402-3423
106,656786.426,3725.955,0.6568,3.7260,0.2148,NF,1,IMG_0059-1.tif:0464-1010
107,649417.306,3390.617,0.6494,3.3906,0.2425,NF,2,IMG_0059-1.tif:0401-2865
108,614267.254,3393.763,0.6143,3.3938,0.2128,NF,3,IMG_0059-1.tif:1899-2775
109,1065892.156,5331.582,1.0659,5.3316,0.3783,NF,1,IMG_0060-1.tif:0900-1209
110,1201449.188,5512.077,1.2014,5.5121,0.4689,NF,2,IMG_0060-1.tif:0661-1791
111,834862.629,4628.273,0.8349,4.6283,0.2690,NF,3,IMG_0060-1.tif:0287-2878
112,661938.289,3472.696,0.6619,3.4727,0.2436,NF,4,IMG_0060-1.tif:2007-3357
113,1135170.581,5379.397,1.1352,5.3794,0.4284,NF,1,IMG_0061-1.tif:1286-3221
114,901010.809,4712.19,0.9010,4.7122,0.3099,NF,2,IMG_0061-1.tif:1179-2287
115,870230.059,4566.496,0.8702,4.5665,0.2998,NF,3,IMG_0061-1.tif:1022-1332
116,761932.25,3778.432,0.7619,3.7784,0.2941,NF,4,IMG_0061-1.tif:0851-1721
117,985440.493,4764.11,0.9854,4.7641,0.3713,NF,5,IMG_0061-1.tif:0691-1518
118,714500.332,3802.34,0.7145,3.8023,0.2517,NF,1,IMG_0062-1.tif:0818-2708
119,720326.067,3987.137,0.7203,3.9871,0.2391,NF,2,IMG_0062-1.tif:1391-2029
120,711935.27,4073.922,0.7119,4.0739,0.2261,NF,1,IMG_0063.jpg:1162-1527
121,1007547.853,5123.823,1.0075,5.1238,0.3530,NF,2,IMG_0063.jpg:0154-1702
122,930900.308,5183.399,0.9309,5.1834,0.2935,NF,1,IMG_0064-1.tif:1047-1197
123,769518.749,4021.698,0.7695,4.0217,0.2735,NF,1,IMG_0065-1.tif:1438-2521
124,971006.582,5025.683,0.9710,5.0257,0.3344,NF,2,IMG_0065-1.tif:1637-2194
125,998265.805,4777.769,0.9983,4.7778,0.3804,NF,3,IMG_0065-1.tif:1264-1537
126,734738.24,3983.904,0.7347,3.9839,0.2501,NF,4,IMG_0065-1.tif:1028-1220
127,609680.575,3778.762,0.6097,3.7788,0.1786,NF,5,IMG_0065-1.tif:0955-1087
128,802581.97,4463.444,0.8026,4.4634,0.2592,NF,6,IMG_0065-1.tif:0819-0951
129,748933.035,4447.829,0.7489,4.4478,0.2242,NF,7,IMG_0065-1.tif:0659-1470
130,636765.896,3963.103,0.6368,3.9631,0.1840,NF,8,IMG_0065-1.tif:1888-2224
131,882381.499,5421.237,0.8824,5.4212,0.2477,NF,9,IMG_0065-1.tif:0767-1241
132,1025372.864,5453.427,1.0254,5.4534,0.3382,NF,1,IMG_0066-1.tif:0920-1662
133,454820.361,3044.729,0.4548,3.0447,0.1271,NF,2,IMG_0066-1.tif:1901-1261
134,915531.671,4978.793,0.9155,4.9788,0.2982,NF,1,IMG_0067-1.tif:0999-2792
135,941095.344,5334.379,0.9411,5.3344,0.2896,NF,2,IMG_0067-1.tif:1651-1439
136,1056131.876,5325.575,1.0561,5.3256,0.3715,NF,3,IMG_0067-1.tif:1997-1585
137,822580.762,4452.341,0.8226,4.4523,0.2744,NF,1,IMG_0068-1.tif:1652-1768
138,726695.248,4241.781,0.7267,4.2418,0.2237,NF,2,IMG_0068-1.tif:1725-1556
