morph,Treratment,no of spats,sample no,chamber,OD1,OD2,,ave OD,ug/ml,con per spat ug/ml,avarage vol,prot ug/mm3,year
HF,control,1,63,4,0.414,0.404,,0.409,20.08,20.08,,,2024
HF,control,3,51,7,0.43,0.452,,0.441,32.88,10.96,,,2024
NF,control,2,53,6,0.403,0.484,,0.4435,33.88,16.94,,,2024
NF,control,1,64,96,0.407,0.513,,0.46,40.48,40.48,,,2024
HF,control,3,52,97,0.5,0.492,,0.496,54.88,18.293,,,2024
PF,control,1,62,98,0.48,0.529,,0.5045,58.28,58.28,,,2024
HF,control,2,58,4,0.49,0.541,,0.5155,62.68,31.34,,,2024
HF,control,2,55,1,0.558,0.496,,0.527,67.28,33.64,,,2024
PF,control,3,61,5,0.594,0.592,,0.593,93.68,31.227,,,2024
NF,control,3,59,96,0.65,0.602,,0.626,106.88,35.627,,,2024
NF,control,3,54,9,0.598,0.714,,0.656,118.88,39.627,,,2024
PF,control,3,60,5,0.74,0.601,,0.6705,124.68,41.56,,,2024
NF,control,2,56,99,0.709,0.813,,0.761,160.88,80.44,,,2024
NF,control,2,50,3,1.27,0.745,,0.745,154.48,77.24,,,2024
PF,27c,1,92,74,0.428,0.299,,0.3635,1.88,1.88,,,2024
PF,27c,3,94,71,0.342,0.443,,0.3925,13.48,4.493,,,2024
NF,27c,2,83,12,0.538,0.397,,0.4675,43.48,21.74,,,2024
HF,27c,2,91,10,0.498,0.454,,0.476,46.88,23.44,,,2024
PF,27c,3,90,62,0.595,0.483,,0.539,72.08,24.027,,,2024
HF,27c,3,86,64,0.709,0.544,,0.6265,107.08,35.693,,,2024
HF,27c,3,95,16,0.835,0.573,,0.704,138.08,46.027,,,2024
PF,27c,3,93,71,0.588,0.858,,0.723,145.68,48.56,,,2024
HF,32c,1,99,22,0.391,0.393,,0.392,13.28,13.28,,,2024
HF,32c,3,84,66,0.552,0.261,,0.4065,19.08,6.36,,,2024
NF,32c,2,100,24,0.422,0.51,,0.466,42.88,21.44,,,2024
HF,32c,1,85,25,0.446,0.573,,0.5095,60.28,60.28,,,2024
PF,32c,4,98,68,0.493,0.573,,0.533,69.68,17.42,,,2024
PF,32c,3,97,26,0.666,0.49,,0.578,87.68,29.227,,,2024
PF,32c,1,89,20,0.667,0.54,,0.6035,97.88,97.88,,,2024
PF,32c,1,87,23,0.658,0.669,,0.6635,121.88,121.88,,,2024
HF,32c,3,88,61,0.811,0.572,,0.6915,133.08,44.36,,,2024
PF,control,3,82,38,0.563,0.165,,0.563,81.68,27.227,,,2024
PF,control,3,81,38,0.066,0.511,,0.511,60.88,20.293,,,2024
NF,control,1,80,36,0.648,0.416,,0.532,69.28,69.28,,,2024
PF,control,2,78,41,0.681,0.509,,0.595,94.48,47.24,,,2024
PF,control,3,79,41,0.804,0.617,,0.7105,140.68,46.893,,,2024
PF,control,2,77,35,0.718,0.746,,0.732,149.28,74.64,,,2024
PF,50m,1,67,56,0.463,0.381,,0.422,25.28,25.28,,,2024
HF,50m,1,72,52,0.593,0.512,,0.5525,77.48,77.48,,,2024
PF,50m,3,70,53,0.787,0.531,,0.659,120.08,40.027,,,2024
NF,50m,2,68,54,0.629,0.717,,0.673,125.68,62.84,,,2024
NF,50m,1,73,54,0.622,0.739,,0.6805,128.68,128.68,,,2024
HF,50m,2,66,58,0.637,0.74,,0.6885,131.88,65.94,,,2024
HF,50m,3,65,52,0.618,0.762,,0.69,132.48,44.16,,,2024
PF,50m,2,69,53,0.814,0.734,,0.774,166.08,83.04,,,2024
PF,DARK,1,75,44,0.515,0.579,,0.547,75.28,75.28,,,2024
PF,DARK,3,74,47,0.689,0.473,,0.581,88.88,29.627,,,2024
HF,DARK,1,71,49,0.645,0.559,,0.602,97.28,97.28,,,2024
NF,DARK,4,76,51,0.771,0.753,,0.762,161.28,40.32,,,2024
NF,32c,3,402,,0.365,0.372,0.372,0.369666667,55.49769729,18.49923243,,,2025
NF,32c,4,403,,0.538,0.55,0.568,0.552,90.45291743,22.61322936,,,2025
NF,27c,4,409,,0.446,0.436,0.442,0.441333333,69.01473594,17.25368398,,,2025
NF,27c,4,410,,0.322,0.344,0.321,0.329,47.94756481,11.9868912,,,2025
NF,27c,3,411,,0.339,0.341,0.351,0.343666667,50.66081729,16.8869391,,,2025
NF,27c,4,412,,0.382,0.383,0.385,0.383333333,58.05422509,14.51355627,,,2025
NF,27c,3,413,,0.446,0.457,0.463,0.455333333,71.68792552,23.89597517,,,2025
NF,Dark,3,414,,0.559,0.086,0.579,0.569,93.81064648,31.27021549,,,2025
NF,27c,4,415,,0.357,0.373,0.395,0.375,56.49420347,14.12355087,,,2025
NF,50m,4,420,,0.547,0.557,0.581,0.561666667,92.36002866,23.09000717,,,2025
NF,50m,3,421,,0.396,0.381,0.401,0.392666667,59.80579277,19.93526426,,,2025
NF,50m,3,422,,0.492,0.508,0.507,0.502333333,80.74332237,26.91444079,,,2025
NF,Dark,3,426,,0.426,0.427,0.697,0.516666667,83.53033327,27.84344442,,,2025
NF,Dark,3,427,,0.25,0.252,0.259,0.253666667,34.17923212,11.39307737,,,2025
NF,control,2,432,,0.209,0.211,0.203,0.207666667,25.90534737,12.95267369,,,2025
NF,control,3,433,,0.429,0.429,0.434,0.430666667,66.98530918,22.32843639,,,2025
NF,control,3,434,,0.23,0.226,0.244,0.233333333,30.50977929,10.16992643,,,2025
NF,7.8,3,440,,0.436,0.433,0.442,0.437,68.18952505,22.72984168,,,2025
NF,7.8,3,441,,0.466,0.457,0.493,0.472,74.88462562,24.96154187,,,2025
NF,7.8,3,442,,0.418,0.422,0.435,0.425,65.90971787,21.96990596,,,2025
NF,7.6,3,447,,0.335,0.331,0.333,0.333,48.68646324,16.22882108,,,2025
NF,7.6,3,448,,0.53,0.523,0.743,0.598666667,99.71339905,33.23779968,,,2025
NF,8.2,3,454,,0.534,0.537,0.573,0.548,89.66544246,29.88848082,,,2025
NF,8.2,3,455,,0.201,0.191,0.207,0.199666667,24.47638631,8.158795438,,,2025
NF,8.2,3,456,,0.345,0.358,0.349,0.350666667,51.95963469,17.31987823,,,2025
HF,32c,1,401,,0.192,0.208,0.196,0.198666667,24.29797108,24.29797108,,,2025
HF,27c,4,404,,0.334,0.338,0.352,0.341333333,50.22843372,12.55710843,,,2025
HF,27c,3,405,,0.393,0.42,0.414,0.409,62.88218571,20.96072857,,,2025
HF,27c,3,406,,0.569,0.598,0.585,0.584,96.78825226,32.26275075,,,2025
HF,27c,3,407,,0.192,0.201,0.201,0.198,24.17905282,8.059684275,,,2025
HF,27c,3,408,,0.283,0.322,0.33,0.311666667,44.75494612,14.91831537,,,2025
HF,50m,4,416,,0.38,0.39,0.404,0.391333333,59.55528654,14.88882164,,,2025
HF,50m,4,417,,0.969,1.039,1.02,1.009333333,188.0487297,47.01218243,,,2025
HF,50m,4,418,,0.498,0.538,0.531,0.522333333,84.63552045,21.15888011,,,2025
HF,50m,3,419,,0.546,0.55,0.577,0.557666667,91.57018279,30.52339426,,,2025
HF,Dark,3,423,,0.488,0.487,0.479,0.484666667,77.32466981,25.77488994,,,2025
HF,Dark,3,424,,0.393,0.381,0.401,0.391666667,59.61790426,19.87263475,,,2025
HF,Dark,3,425,,0.509,0.524,0.535,0.522666667,84.70059087,28.23353029,,,2025
HF,control,4,428,,0.273,0.278,0.291,0.280666667,39.08212348,9.770530869,,,2025
HF,control,3,429,,0.436,0.437,0.441,0.438,68.37986628,22.79328876,,,2025
HF,control,4,430,,0.384,0.389,0.389,0.387333333,58.80433305,14.70108326,,,2025
HF,control,2,431,,0.216,0.212,0.217,0.215,27.21779902,13.60889951,,,2025
