"","pl_101","pl_102","pl_104","pl_106","pl_107","pl_111","pl_112","pl_113","pl_118","pl_119"
"LOC111326392",69,46,25,16,25,68,50,58,50,58
"LOC111326177",941,636,294,177,319,412,480,552,639,501
"LOC111327133",58,50,10,0,21,14,30,39,29,42
"LOC111327047",275,335,108,49,111,167,188,250,196,217
"LOC111328643",13,12,2,2,4,6,7,4,4,3
"LOC111328547",1,2,0,0,0,0,1,1,1,1
"LOC111347478",122,114,86,40,64,90,74,97,66,124
"LOC111325747",14,9,3,0,3,3,7,9,9,9
"LOC111326079",3,2,2,0,1,0,3,5,3,2
"LOC111321864",1,2,0,0,0,1,0,1,1,1
"LOC111319340",6,9,0,3,4,2,5,1,2,7
"LOC111320611",5,2,8,2,1,0,3,7,2,0
"LOC111331661",6,0,0,1,2,2,0,0,1,1
"LOC111321260",4,2,1,0,1,0,0,0,4,0
"LOC111339961",1,1,2,0,1,0,1,0,0,1
"LOC111344587",20,37,10,5,2,12,4,18,12,9
"LOC111331958",29,33,11,9,9,20,15,28,27,14
"LOC111345918",27,24,11,8,12,15,10,12,14,19
"LOC111342729",431,451,193,105,245,255,213,173,175,240
"LOC111332051",1,0,0,0,0,0,0,2,1,1
"LOC111328189",21,14,10,3,9,8,11,8,11,10
"LOC111328095",6,6,7,3,2,8,2,5,1,3
"LOC111328282",5,3,2,1,1,1,1,1,3,2
"LOC111328459",37,38,14,14,7,13,11,25,10,12
"LOC111343985",1,1,1,1,1,0,2,0,1,0
"LOC111346822",22,33,9,8,5,10,12,12,8,17
"LOC111343739",0,2,1,0,0,0,2,1,1,1
"LOC111332645",3,2,1,0,0,4,0,6,1,4
"LOC111327642",0,0,2,0,0,1,0,2,3,1
"LOC111327736",18,25,4,2,5,2,2,8,8,12
"LOC111327487",27,18,12,8,3,10,9,21,13,12
"LOC111325339",23,18,8,6,5,4,8,18,3,17
"LOC111325259",81,73,53,53,49,83,76,122,83,63
"LOC111339837",37,35,11,1,10,26,16,27,12,19
"LOC111333068",12,8,3,3,4,6,3,9,6,5
"LOC111332979",3,8,2,3,4,4,1,5,3,7
"LOC111320596",0,0,1,1,0,0,0,1,0,0
"LOC111320584",27,40,16,16,21,27,19,41,41,41
"LOC111346018",2,4,0,0,2,2,3,2,2,0
"LOC111346562",167,225,48,29,47,103,237,385,252,251
"LOC111332136",3,8,3,2,2,5,0,5,1,4
"LOC111332561",4,1,0,0,3,2,1,2,3,0
"LOC111332473",1,0,0,0,0,0,0,2,0,0
"LOC111333253",0,0,0,0,0,0,0,0,0,0
"LOC111333350",0,0,1,0,0,0,0,0,0,0
"LOC111338515",4,6,0,1,0,0,1,0,0,1
"LOC111333439",19,26,9,4,3,7,12,9,4,6
"LOC111333523",18,10,9,8,2,4,10,13,4,8
"LOC111335282",16,20,6,0,1,5,5,16,9,11
