"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","enriched_in"
"Activation of C3 and C5",1.95612550540705e-11,5.4668730109022e-09,0.863415391606693,0.546333801122714,2.24086481923455,164,"LOC111328748;LOC111323911;LOC111345232;LOC111332739;LOC111320781;LOC111332732;LOC111320816;LOC111320952;LOC111327252;LOC111328749;LOC111343161;LOC111327625;LOC111320842;LOC111338418;LOC111341777;LOC111333911;LOC111327334;LOC111343966;LOC111328588;LOC111326819;LOC111332747;LOC111326544;LOC111323636;LOC111342546;LOC111325220;LOC111328207;LOC111335667;LOC111328589;LOC111321308;LOC111333525;LOC111340622;LOC111345231;LOC111328603;LOC111320818;LOC111327524;LOC111321937;LOC111339858;LOC111330483;LOC111346852;LOC111326808;LOC111323816;LOC111320650;LOC111324842;LOC111342188;LOC111324710;LOC111347425;LOC111332818;LOC111335944;LOC111320993;LOC111333809;LOC111323487;LOC111324039;LOC111340453;LOC111343165;LOC111340679;LOC111337210;LOC111343164;LOC111339035;LOC111337261;LOC111323994","HF"
"Terminal pathway of complement",2.65812301988762e-11,5.4668730109022e-09,0.863415391606693,0.567346436850032,2.28166548129933,140,"LOC111328748;LOC111329099;LOC111323911;LOC111327333;LOC111345232;LOC111330856;LOC111332739;LOC111327303;LOC111332732;LOC111320816;LOC111320952;LOC111327252;LOC111331324;LOC111328749;LOC111336934;LOC111327625;LOC111338418;LOC111341777;LOC111333911;LOC111327334;LOC111321680;LOC111343966;LOC111326819;LOC111332747;LOC111326544;LOC111323636;LOC111346591;LOC111342546;LOC111325220;LOC111335667;LOC111328589;LOC111321308;LOC111340596;LOC111333525;LOC111340622;LOC111345231;LOC111328603;LOC111327524;LOC111343971;LOC111339858;LOC111346852;LOC111326808;LOC111323816;LOC111327254;LOC111331583;LOC111343450;LOC111347425;LOC111323194;LOC111332818;LOC111320993;LOC111333809;LOC111333431;LOC111332831;LOC111340453;LOC111340679","HF"
"Defective VWF binding to collagen type I ",8.93723333973396e-08,5.51427297061585e-06,0.704975715167238,0.557056401424014,2.15240110601354,102,"LOC111334416;LOC111320817;LOC111320871;LOC111320781;LOC111343638;LOC111320821;LOC111332308;LOC111320822;LOC111340891;LOC111325671;LOC111337489;LOC111343161;LOC111320820;LOC111320842;LOC111321489;LOC111332117;LOC111320751;LOC111328588;LOC111321178;LOC111319813;LOC111328589;LOC111320845;LOC111345231;LOC111320819;LOC111328603;LOC111320818;LOC111327524;LOC111330483;LOC111336662;LOC111320650;LOC111324842;LOC111342188;LOC111334486;LOC111333809;LOC111324039;LOC111343165;LOC111340679;LOC111343164;LOC111337261;LOC111323994;LOC111336301;LOC111326339","HF"
"Antagonism of Activin by Follistatin",7.33319533376385e-07,3.48044732379407e-05,0.659444398037935,0.821387432758251,2.25103103610972,19,"LOC111325642;LOC111345232;LOC111322288;LOC111321680;LOC111343966;LOC111328588;LOC111343646;LOC111328589;LOC111328603;LOC111343971;LOC111336549;LOC111331583","HF"
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",1.31520334018613e-06,5.58878425279026e-05,0.643551836150722,0.507889926990671,2.00083657089096,118,"LOC111328748;LOC111327880;LOC111325642;LOC111327333;LOC111323862;LOC111319860;LOC111333986;LOC111322288;LOC111328749;LOC111336934;LOC111327625;LOC111338412;LOC111338418;LOC111327334;LOC111343966;LOC111326819;LOC111323636;LOC111346591;LOC111333893;LOC111325220;LOC111324368;LOC111322245;LOC111343646;LOC111324400;LOC111341780;LOC111323581;LOC111326808;LOC111323816;LOC111333837;LOC111336549;LOC111323194;LOC111338165;LOC111328184;LOC111320993;LOC111333431;LOC111323861;LOC111336397;LOC111340679","HF"
"Defective SERPING1 causes hereditary angioedema",8.37389504631046e-06,0.000157401057911018,0.593325476396405,0.639475895515408,2.1187427878793,41,"LOC111323862;LOC111320952;LOC111333986;LOC111338418;LOC111327334;LOC111328207;LOC111324368;LOC111324400;LOC111345231;LOC111321937;LOC111324710;LOC111332818;LOC111335944;LOC111333431;LOC111323487;LOC111323861;LOC111337210;LOC111339035;LOC111323994","HF"
"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",8.92874720727007e-06,0.000157401057911018,0.593325476396405,0.537518532160403,1.97155712576928,78,"LOC111345232;LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111343966;LOC111336432;LOC111328588;LOC111340840;LOC111328589;LOC111341071;LOC111328603;LOC111340611;LOC111343971;LOC111325097;LOC111331583;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147","HF"
"FGFRL1 modulation of FGFR1 signaling",6.74795360208753e-06,0.000157401057911018,0.610526878385931,0.498787287545351,1.95000316556639,108,"LOC111336303;LOC111332158;LOC111323862;LOC111333735;LOC111320816;LOC111321843;LOC111335314;LOC111333901;LOC111339275;LOC111341777;LOC111340617;LOC111322256;LOC111332138;LOC111336488;LOC111344794;LOC111338912;LOC111344133;LOC111339267;LOC111334138;LOC111329763;LOC111329801;LOC111322708;LOC111324842;LOC111329800;LOC111335488;LOC111347425;LOC111334790;LOC111322700;LOC111340765;LOC111323861;LOC111336716;LOC111327225","HF"
"TGFBR3 PTM regulation",6.28521295944845e-06,0.000157401057911018,0.610526878385931,0.650140694854349,2.14126857016859,40,"LOC111328748;LOC111324935;LOC111324993;LOC111328749;LOC111327625;LOC111324983;LOC111343966;LOC111326819;LOC111323636;LOC111325220;LOC111324945;LOC111324943;LOC111334472;LOC111326808;LOC111324553","HF"
"Toxicity of botulinum toxin type A (botA)",7.72852026647518e-06,0.000157401057911018,0.593325476396405,0.457850490917609,1.85048377457691,146,"LOC111334416;LOC111320024;LOC111338219;LOC111324621;LOC111338211;LOC111332308;LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111346591;LOC111342546;LOC111346592;LOC111340840;LOC111328589;LOC111321308;LOC111341071;LOC111326113;LOC111340611;LOC111338446;LOC111339858;LOC111325097;LOC111331621;LOC111346590;LOC111323810;LOC111324606;LOC111330860;LOC111324986;LOC111335944;LOC111333431;LOC111341314;LOC111321669;LOC111330456;LOC111340679;LOC111344147;LOC111337210","HF"
