,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,NCBI.GeneID,Symbol,Description,Gene.Type,Annotation.Genomic.Range.Accession
1,2797.14627720953,3.56101232859793,0.357350620692619,9.9650374797054,2.16792080812515E-23,2.14537443172065E-19,Fluorescent,111327082,LOC111327082,major yolk protein-like,PROTEIN_CODING,NW_019217877.1
4,145.067012462006,-1.65011210573398,0.203939537751521,-8.09118292571824,5.9088036235469E-16,1.35089983903463E-12,Non-fluorescent,111324201,LOC111324201,coadhesin-like,PROTEIN_CODING,NW_019217841.1
7,141.269237072599,2.65928839134264,0.365600386442663,7.27375705813072,3.49624524338974E-13,4.9426918469407E-10,Fluorescent,111328748,LOC111328748,complement C3-like,PROTEIN_CODING,NW_019217905.1
10,36.6309357344356,2.99062192699861,0.427938781391426,6.98843399346683,2.7797139682724E-12,2.90771823050845E-09,Fluorescent,111334416,LOC111334416,kielin/chordin-like protein,PROTEIN_CODING,NW_019218027.1
21,3664.08714162078,2.10670157566376,0.340216757064915,6.192233427414,5.9317616393697E-10,2.79527205634298E-07,Fluorescent,111332373,LOC111332373,trichohyalin-like/late embryogenesis protein,PROTEIN_CODING,NW_019217976.1
27,171.65472503907,1.85236074535188,0.307919133493706,6.01573771767496,1.79069307058447E-09,6.56322171351997E-07,Fluorescent,111320871,LOC111320871,collagen alpha chain-like,PROTEIN_CODING,NW_019217806.1
38,52.2678338417628,2.23076485937229,0.401221257163167,5.55993686661795,2.69872255379332E-08,7.0280416821944E-06,Fluorescent,111340560,LOC111340560,SOMP7,PROTEIN_CODING,NW_019217796.1
41,21.7303445151534,2.55508668857087,0.464366933525951,5.50230109876692,3.74866030002923E-08,9.0479859339242E-06,Fluorescent,111325264,LOC111325264,endothelin-converting enzyme homolog,PROTEIN_CODING,NW_019217853.1
48,13.9613783316055,2.82998580411777,0.526982393398739,5.37017145082581,7.86618206333646E-08,1.6217445353912E-05,Fluorescent,111338219,LOC111338219,MAM and LDL-receptor class A domain-containing protein 1-like,PROTEIN_CODING,NW_019218144.1
85,48.6234035372674,1.95041400533643,0.41013927239921,4.75549194283935,1.97963756086218E-06,0.000220682607453842,Fluorescent,111320822,LOC111320822,collagen alpha-1(I) chain-like,PROTEIN_CODING,NW_019217806.1
100,60.5300182434244,-1.0786319085177,0.232732063977969,-4.6346510664719,3.57540054698781E-06,0.000346883958950896,Non-fluorescent,111336974,LOC111336974,low-density lipoprotein receptor-related protein 8-like,PROTEIN_CODING,NW_019218103.1
102,13.9046697135518,2.37104966269058,0.51564621214598,4.59821018140113,4.26135980203261E-06,0.000405484775008795,Fluorescent,111328749,LOC111328749,cobra venom factor-like/complement C3,PROTEIN_CODING,NW_019217905.1
109,67.7472765952639,-1.2047031333908,0.267768140937942,-4.49905328233204,6.82567498295809E-06,0.000608530447129308,Non-fluorescent,111338572,LOC111338572,uncharacterized LOC111338572/mucin4-like protein,PROTEIN_CODING,NW_019218157.1
113,2545.66258995502,2.2827576483091,0.514610565906397,4.43589346885722,9.16911867956552E-06,0.000782220676318797,Fluorescent,111325671,LOC111325671,uncharacterized LOC111325671/vitellogenin-like,PROTEIN_CODING,NW_019217858.1
115,635.700964699072,2.43709119710287,0.553341728240954,4.4043148613611,1.06118722634477E-05,0.000889958372195579,Fluorescent,111337489,LOC111337489,uncharacterized LOC111337489/vitellogenin-like,PROTEIN_CODING,NW_019218119.1
124,15.8554446460181,2.18098827496506,0.506941496110443,4.3022484679177,1.69073558075384E-05,0.00129701700055349,Fluorescent,111320820,LOC111320820,collagen alpha-1(I) chain-like,PROTEIN_CODING,NW_019217806.1
148,37.7999316842716,1.47793283619896,0.359820627676961,4.10741553573692,4.00111021572633E-05,0.00257110303213167,Fluorescent,111322161,LOC111322161,melanotransferrin-like/major yolk protein,PROTEIN_CODING,NW_019217818.1
219,31.5302798918787,1.46979491788132,0.402162451458829,3.65472935762575,0.000257453418810507,0.0105279298865652,Fluorescent,111328588,LOC111328588,uncharacterized LOC111328588/TSP-1 and VWA domain-containing ,PROTEIN_CODING,NW_019217902.1
230,45.6921952949391,1.19792077177469,0.333643929441317,3.59041680686532,0.000330149595673347,0.0129136774655472,Fluorescent,111321403,LOC111321403,calumenin-like/CARP1,PROTEIN_CODING,NW_019217811.1
231,77.4095094175328,1.27234482253398,0.354624241899799,3.5878675854695,0.000333393521492987,0.0129382834850768,Fluorescent,111321178,LOC111321178,vitellogenin-like,PROTEIN_CODING,NW_019217809.1
237,4.34588637198823,3.72007653476066,1.04024912984815,3.57614001109877,0.000348704941724585,0.013120852103827,Fluorescent,111323636,LOC111323636,complement C3-like,PROTEIN_CODING,NW_019217834.1
253,13.0030175104784,1.47113477882855,0.425879687336932,3.45434361527713,0.000551634039257154,0.0192896482420099,Fluorescent,111328120,LOC111328120,hephaestin-like protein,PROTEIN_CODING,NW_019217895.1
274,38.7445909709402,-1.22643902511449,0.365301557960839,-3.35733313583613,0.000786982295295899,0.0248817149975981,Non-fluorescent,111326058,LOC111326058,plasma membrane calcium-transporting ATPase 2-like,PROTEIN_CODING,NW_019217864.1
280,22.1829722604273,-1.03394373815695,0.310503439066058,-3.3298946422844,0.000868788509618789,0.0267004071154893,Non-fluorescent,111334412,LOC111334412,protocadherin Fat 4-like,PROTEIN_CODING,NW_019218027.1
,18.3098033457989,4.70136493567773,0.69060701016224,6.8075835699572,9.92516584643026E-12,8.16069167774014E-09,Fluorescent,111346784,LOC111346784,GFP-like fluorescent chromoprotein amFP486,PROTEIN_CODING,NW_019218957.1
,11.5081937403729,4.1603499542936,0.748899465899485,5.5552849798026,2.77159201636505E-08,7.03273707537143E-06,Fluorescent,111344518,LOC111344518,GFP-like fluorescent chromoprotein amFP486,PROTEIN_CODING,NW_019218533.1
