pathway,enriched_in,pval,padj,log2err,ES,NES,size,leadingEdge
Collagen degradation,HF,1.13398428847183E-10,4.09368328138331E-08,0.839088935621274,0.620820865719487,2.3319073571403,94,LOC111320817;LOC111320871;LOC111333735;LOC111320781;LOC111324935;LOC111343638;LOC111320821;LOC111332308;LOC111320822;LOC111340891;LOC111324993;LOC111320820;LOC111320842;LOC111324983;LOC111321489;LOC111320751;LOC111324945;LOC111319813;LOC111324943;LOC111320845;LOC111320819;LOC111330272;LOC111320818;LOC111327524;LOC111326311;LOC111335648;LOC111336662;LOC111324553;LOC111323816;LOC111342188;LOC111346590;LOC111334486
Assembly of collagen fibrils and other multimeric structures,HF,1.04732439541665E-09,1.89042053372706E-07,0.788186810800237,0.863073264755877,2.42857834144827,21,LOC111320817;LOC111343638;LOC111320821;LOC111332308;LOC111320822;LOC111340891;LOC111320820;LOC111320842;LOC111321489;LOC111320751;LOC111319813;LOC111320819;LOC111336662;LOC111334486
Collagen chain trimerization,HF,1.50742689171233E-08,1.81393702636051E-06,0.73376198835648,0.695065481283241,2.32695820122995,48,LOC111320817;LOC111320871;LOC111333735;LOC111320781;LOC111343638;LOC111320821;LOC111332308;LOC111320822;LOC111340891;LOC111320820;LOC111320842;LOC111321489;LOC111320751;LOC111319813;LOC111320845;LOC111320819;LOC111320818;LOC111327524;LOC111336662;LOC111323816;LOC111342188;LOC111346590;LOC111334486
Nectin/Necl  trans heterodimerization,HF,9.71119836219105E-07,8.76435652187742E-05,0.643551836150722,0.542102223222223,2.03434324545243,95,LOC111336303;LOC111332158;LOC111323862;LOC111333735;LOC111320816;LOC111321843;LOC111335314;LOC111333901;LOC111339275;LOC111341777;LOC111340617;LOC111322256;LOC111332138;LOC111344794;LOC111338912;LOC111344133;LOC111339267;LOC111334138;LOC111329763;LOC111329801;LOC111322708;LOC111324842;LOC111329800;LOC111335488;LOC111347425;LOC111334790;LOC111322700;LOC111323861;LOC111336716;LOC111327225
NOTCH4 Activation and Transmission of Signal to the Nucleus,HF,1.76083467113104E-05,0.000865602243175237,0.575610261071129,0.474542646415135,1.85458010844329,122,LOC111334416;LOC111329099;LOC111327333;LOC111320024;LOC111338219;LOC111330856;LOC111324621;LOC111338211;LOC111332308;LOC111331324;LOC111336934;LOC111339975;LOC111332117;LOC111327334;LOC111321680;LOC111340617;LOC111346591;LOC111342546;LOC111346592;LOC111328589;LOC111321308;LOC111340596;LOC111326113;LOC111327524;LOC111338446;LOC111339858;LOC111346590;LOC111343450;LOC111324606;LOC111324986;LOC111335944;LOC111333431;LOC111341314;LOC111332831;LOC111340679;LOC111337210
Pre-NOTCH Processing in Golgi,HF,1.88990828945877E-05,0.000865602243175237,0.575610261071129,0.48052027334154,1.86608986735648,117,LOC111334416;LOC111329099;LOC111327333;LOC111320024;LOC111338219;LOC111330856;LOC111324621;LOC111338211;LOC111332308;LOC111331324;LOC111336934;LOC111339975;LOC111332117;LOC111327334;LOC111321680;LOC111340617;LOC111346591;LOC111342546;LOC111346592;LOC111328589;LOC111321308;LOC111340596;LOC111326113;LOC111327524;LOC111338446;LOC111339858;LOC111346590;LOC111343450;LOC111324606;LOC111324986;LOC111335944;LOC111333431;LOC111341314;LOC111332831;LOC111340679;LOC111337210
Neurotransmitter clearance,HF,3.38864380502669E-05,0.00135922268179404,0.557332238758646,0.454588587031649,1.78643359398346,126,LOC111340872;LOC111340194;LOC111335819;LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111341071;LOC111321012;LOC111340611;LOC111321971;LOC111325097;LOC111331621;LOC111323811;LOC111323810;LOC111330860;LOC111339547;LOC111327165;LOC111324986;LOC111337639;LOC111321669;LOC111330456;LOC111344147;LOC111327696;LOC111321616;LOC111327447;LOC111329100;LOC111334397;LOC111332472;LOC111342271;LOC111337038;LOC111338896;LOC111344897;LOC111326936;LOC111329879;LOC111330115;LOC111335762;LOC111325151
Molecules associated with elastic fibres,HF,5.4284225035759E-05,0.00178150956708264,0.557332238758646,0.455472947397874,1.79095248219868,127,LOC111328748;LOC111325642;LOC111329099;LOC111327333;LOC111330856;LOC111320781;LOC111331324;LOC111322288;LOC111336934;LOC111335693;LOC111343161;LOC111320842;LOC111327334;LOC111321680;LOC111328588;LOC111323636;LOC111343646;LOC111328589;LOC111340596;LOC111345231;LOC111328603;LOC111320818;LOC111327524;LOC111330483;LOC111336549;LOC111320650;LOC111324842;LOC111342188;LOC111343450;LOC111335674;LOC111330701;LOC111335691;LOC111333809;LOC111332831;LOC111324039;LOC111343165;LOC111340679;LOC111343164;LOC111337261;LOC111323994
Digestion,HF,7.5711135586706E-05,0.00227764332890007,0.538434096309916,0.740370252930738,2.0524041719902,20,LOC111328024;LOC111321463;LOC111333580;LOC111320759;LOC111338464;LOC111331497;LOC111321416;LOC111324377;LOC111340131;LOC111322101;LOC111321385
Formation of the trans-membrane 'signalling complex',HF,0.000121247667186986,0.00313091007691181,0.538434096309916,0.443394367885556,1.74216056909695,130,LOC111336303;LOC111325642;LOC111320952;LOC111322288;LOC111333901;LOC111338418;LOC111327334;LOC111328207;LOC111324497;LOC111343646;LOC111345231;LOC111332422;LOC111321937;LOC111344710;LOC111336549;LOC111324710;LOC111326220;LOC111332818;LOC111335944;LOC111323487;LOC111337210;LOC111322819;LOC111327225;LOC111333143;LOC111342307;LOC111339035;LOC111327019;LOC111326556;LOC111326211;LOC111338031;LOC111345454;LOC111328923;LOC111344257;LOC111338194;LOC111336388;LOC111338993;LOC111346803;LOC111336048;LOC111336281;LOC111331951;LOC111333158;LOC111324243;LOC111336190;LOC111347147
