Condition,Symbol,Description,Primary_category,log2FoldChange,abs_log2FoldChange,padj
Fluorescent,LOC111340635,angiopoietin-related protein 7-like,ECM/adhesion,3.93569573084845,3.93569573084845,1.25477685752843E-05
Fluorescent,LOC111327880,bone morphogenetic protein 1-like,ECM/adhesion,3.47995527780558,3.47995527780558,2.90771823050845E-09
Fluorescent,LOC111320817,collagen alpha-1(I) chain-like,ECM/adhesion,3.24594606294537,3.24594606294537,1.72791224552261E-07
Fluorescent,LOC111328393,epithelial discoidin domain-containing receptor 1-like,ECM/adhesion,3.09707022225859,3.09707022225859,8.16069167774014E-09
Fluorescent,LOC111332739,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like",ECM/adhesion,2.87680280040968,2.87680280040968,2.6201633115897E-05
Fluorescent,LOC111320024,MAM and LDL-receptor class A domain-containing protein 1-like,ECM/adhesion,2.8407703861623,2.8407703861623,8.67607210769727E-06
Fluorescent,LOC111338219,MAM and LDL-receptor class A domain-containing protein 1-like,ECM/adhesion,2.82998580411777,2.82998580411777,1.6217445353912E-05
Fluorescent,LOC111334934,transforming growth factor-beta-induced protein ig-h3-like,ECM/adhesion,2.46704913263411,2.46704913263411,1.25477685752843E-05
Fluorescent,LOC111333735,hemicentin-1-like,ECM/adhesion,2.37031443409809,2.37031443409809,2.14967452556071E-05
Fluorescent,LOC111341580,mucin-2-like,ECM/adhesion,2.23235850848216,2.23235850848216,3.67237173438055E-06
Fluorescent,LOC111327333,fibrillin-1-like,ECM/adhesion,1.9654755678868,1.9654755678868,2.59707156586995E-06
Fluorescent,LOC111320871,collagen alpha chain-like,ECM/adhesion,1.85236074535188,1.85236074535188,6.56322171351997E-07
Fluorescent,LOC111334416,kielin/chordin-like protein,ECM/adhesion,2.99062192699861,2.99062192699861,2.90771823050845E-09
Fluorescent,LOC111340560,uncharacterized skeletal organic matrix protein 7-like,Biomineralization,2.23076485937229,2.23076485937229,7.0280416821944E-06
Fluorescent,LOC111332373,trichohyalin-like/late embryogenesis protein,ECM/adhesion,2.10670157566376,2.10670157566376,2.79527205634298E-07
Fluorescent,LOC111330205,supervillin-like,Cytoskeleton,1.913888975252,1.913888975252,4.00429041262187E-07
Fluorescent,LOC111330856,cysteine-rich motor neuron 1 protein-like,Immunity,3.10113721008884,3.10113721008884,2.26849566744431E-05
Fluorescent,LOC111324621,neuronal pentraxin-1-like,Immunity,3.0692732901468,3.0692732901468,5.80536939265265E-05
Fluorescent,LOC111325264,endothelin-converting enzyme homolog,Biomineralization,2.55508668857087,2.55508668857087,9.0479859339242E-06
Fluorescent,LOC111332158,neural cell adhesion molecule 2-like,Morphogenesis,2.30774905505881,2.30774905505881,2.36768414017662E-07
Fluorescent,LOC111337124,failed axon connections homolog,Morphogenesis,1.53413566928934,1.53413566928934,5.89613663710828E-06
Fluorescent,LOC111327082,major yolk protein-like,Metabolism,3.56101232859793,3.56101232859793,2.14537443172065E-19
Fluorescent,LOC111345835,riboflavin-binding protein-like,Redox regulation,3.10855679547896,3.10855679547896,1.25456709172675E-12
Fluorescent,LOC111324979,putative diacyglycerol O-acyltransferase Mb2306,Metabolism,2.07418799059581,2.07418799059581,5.1205724302967E-07
Fluorescent,LOC111334459,vacuolar protein sorting-associated protein 13D-like,Metabolism,1.94902079291564,1.94902079291564,4.47559675151352E-05
Fluorescent,LOC111346087,fatty acyl-CoA reductase 1-like,Metabolism,1.76257316591118,1.76257316591118,1.16728563990736E-05
Fluorescent,LOC111319860,low-density lipoprotein receptor-related protein 6-like,Morphogenesis,3.29752669803736,3.29752669803736,2.54721756741215E-05
Fluorescent,LOC111327809,neurogenic locus notch homolog protein 3-like,Morphogenesis,3.16421800077998,3.16421800077998,1.72824112649648E-12
Fluorescent,LOC111330631,homeobox protein SIX6-like,Morphogenesis,2.96075054348709,2.96075054348709,2.36768414017662E-07
Fluorescent,LOC111323862,inactive tyrosine-protein kinase transmembrane receptor ROR1-like,Morphogenesis,2.64977188338212,2.64977188338212,6.79152096956054E-06
Fluorescent,LOC111343452,proprotein convertase subtilisin/kexin type 5-like,Morphogenesis,2.33767734219011,2.33767734219011,2.32398011403543E-08
Fluorescent,LOC111328024,extracellular sulfatase Sulf-1-like,Morphogenesis,2.33020414833501,2.33020414833501,2.90771823050845E-09
Fluorescent,LOC111329099,neurogenic locus notch homolog protein 1-like,Morphogenesis,1.94122405068311,1.94122405068311,5.1205724302967E-07
Fluorescent,LOC111325642,inhibin beta B chain-like,Morphogenesis,1.87347322276146,1.87347322276146,4.83951817056457E-07
Fluorescent,LOC111346891,heme-binding protein 2-like,Redox regulation,3.11519564035922,3.11519564035922,5.52599440263099E-05
Fluorescent,LOC111336303,peroxidasin-like,Redox regulation,2.55105741804956,2.55105741804956,2.15804552838428E-07
Fluorescent,LOC111340822,biliverdin reductase A-like,Redox regulation,1.72567084012205,1.72567084012205,1.18250287590936E-05
Fluorescent,LOC111328748,complement C3-like,Immunity,2.65928839134264,2.65928839134264,4.9426918469407E-10
Fluorescent,LOC111338999,linear gramicidin synthase subunit D-like,Immunity,2.49913997324912,2.49913997324912,4.9506147282074E-06
Fluorescent,LOC111345232,CUB and sushi domain-containing protein 3-like,Immunity,2.22355870654312,2.22355870654312,3.1323751573053E-06
Fluorescent,LOC111324192,angiopoietin-1 receptor-like,Immunity,2.04381715263482,2.04381715263482,2.86265711133405E-07
