"gene_set","Symbol","log2FoldChange","pvalue","padj","direction","baseMean","lfcSE","stat","Expression","NCBI.GeneID","Description","Gene.Type","Annotation.Genomic.Range.Accession","SwissProt.Accessions"
"Grasso2011.down_in_CCA_0.5-4.stylophora_genes","LOC111346891",3.11519564035922,3.51796329189321e-07,5.52599440263099e-05,"HF",58.6240020311781,0.611620498386301,5.0933473429657,"Fluorescent","111346891","heme-binding protein 2-like","PROTEIN_CODING","NW_019218988.1",""
"Grasso2011.down_in_CCA_0.5-4.stylophora_genes","LOC111325942",-1.41926625000538,0.000668427116651705,0.0221971635784741,"NF",13.8704795406341,0.417159824170204,-3.40221221645329,"Non-fluorescent","111325942","plexin domain-containing protein 2-like","PROTEIN_CODING","NW_019217862.1",""
"Grasso2011.down_in_CCA_4-12.stylophora_genes","LOC111344518",4.1603499542936,2.77159201636505e-08,7.03273707537143e-06,"HF",11.5081937403729,0.748899465899485,5.5552849798026,"Fluorescent","111344518","GFP-like fluorescent chromoprotein amFP486","PROTEIN_CODING","NW_019218533.1",""
"Grasso2011.down_in_CCA_4-12.stylophora_genes","LOC111346891",3.11519564035922,3.51796329189321e-07,5.52599440263099e-05,"HF",58.6240020311781,0.611620498386301,5.0933473429657,"Fluorescent","111346891","heme-binding protein 2-like","PROTEIN_CODING","NW_019218988.1",""
"Grasso2011.down_in_CCA_4-12.stylophora_genes","LOC111324410",-1.14860711449306,0.000106492236245666,0.00524302074570701,"NF",35.6889594598438,0.296391586304757,-3.87530269942289,"Non-fluorescent","111324410","protein phosphatase 1 regulatory subunit 3B-B-like","PROTEIN_CODING","NW_019217843.1",""
"Grasso2011.up_in_CCA_0.5-4.stylophora_genes","LOC111322400",-1.50761517282252,1.2957855978674e-05,0.00105975985756163,"NF",48.7250811341449,0.345718628158079,-4.36081555933158,"Non-fluorescent","111322400","peroxidasin homolog","PROTEIN_CODING","NW_019217821.1",""
"Grasso2011.up_in_CCA_0.5-4.stylophora_genes","LOC111340366",1.40277916701628,2.90900750726833e-05,0.00203914873464969,"HF",17.0215024823959,0.335554968196546,4.18047503380915,"Fluorescent","111340366","sorting nexin-17-like","PROTEIN_CODING","NW_019218231.1",""
"Grasso2011.up_in_CCA_0.5-4.stylophora_genes","LOC111322597",-1.14768144902532,0.000578975068267778,0.0199791114666987,"NF",49.0988944561242,0.333504505182439,-3.44127719773229,"Non-fluorescent","111322597","D-amino-acid oxidase-like","PROTEIN_CODING","NW_019217823.1",""
"Grasso2011.up_in_CCA_0.5-4.stylophora_genes","LOC111333012",1.05584960712807,0.000634216050432465,0.0214204847613641,"HF",197.5589578401,0.309040322783769,3.41654317992295,"Fluorescent","111333012","carbonic anhydrase 2-like","PROTEIN_CODING","NW_019217992.1",""
"Grasso2011.up_in_CCA_0.5-4.stylophora_genes","LOC111322259",1.07799283627734,0.00159622946368985,0.0417891184462295,"HF",29.3056237042764,0.341504968752527,3.15659488122563,"Fluorescent","111322259","coactosin-like protein","PROTEIN_CODING","NW_019217819.1",""
"Grasso2011.up_in_CCA_4-12.stylophora_genes","LOC111346891",3.11519564035922,3.51796329189321e-07,5.52599440263099e-05,"HF",58.6240020311781,0.611620498386301,5.0933473429657,"Fluorescent","111346891","heme-binding protein 2-like","PROTEIN_CODING","NW_019218988.1",""
"Grasso2011.up_in_CCA_4-12.stylophora_genes","LOC111324621",3.0692732901468,3.75448303486025e-07,5.80536939265265e-05,"HF",75.5890254555505,0.604068454764613,5.081002435962,"Fluorescent","111324621","neuronal pentraxin-1-like","PROTEIN_CODING","NW_019217845.1",""
"Hayward2011.post_settlement.stylophora_genes","LOC111335366",-1.4450784106447,8.57605627262946e-07,0.000113158203831921,"NF",193.647938042035,0.293608895979458,-4.92178006331867,"Non-fluorescent","111335366","SH3 and PX domain-containing protein 2A-like","PROTEIN_CODING","NW_019218054.1",""
"Hayward2011.post_settlement.stylophora_genes","LOC111321759",1.57962778959432,5.11306297642221e-05,0.0030665982554348,"HF",22.7178135120097,0.389993243652183,4.05039783459203,"Fluorescent","111321759","laminin subunit gamma-1-like","PROTEIN_CODING","NW_019217785.1",""
"Hayward2011.post_settlement.stylophora_genes","LOC111325851",-1.0572295605571,0.000523192192806675,0.0184911069286245,"NF",56.7970332179335,0.304800731444192,-3.46859259670338,"Non-fluorescent","111325851","paired box protein Pax-3-B-like","PROTEIN_CODING","NW_019217787.1",""
"Hayward2011.post_settlement.stylophora_genes","LOC111333012",1.05584960712807,0.000634216050432465,0.0214204847613641,"HF",197.5589578401,0.309040322783769,3.41654317992295,"Fluorescent","111333012","carbonic anhydrase 2-like","PROTEIN_CODING","NW_019217992.1",""
"Hayward2011.post_settlement.stylophora_genes","LOC111322259",1.07799283627734,0.00159622946368985,0.0417891184462295,"HF",29.3056237042764,0.341504968752527,3.15659488122563,"Fluorescent","111322259","coactosin-like protein","PROTEIN_CODING","NW_019217819.1",""
"Hayward2011.post_settlement.stylophora_genes","LOC111330877",-1.44530482134564,0.00181082630415826,0.0453669293821523,"NF",8.90239429469566,0.463294703902952,-3.11962301569585,"Non-fluorescent","111330877","signal transducing adapter molecule 2-like","PROTEIN_CODING","NW_019217945.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111344518",4.1603499542936,2.77159201636505e-08,7.03273707537143e-06,"HF",11.5081937403729,0.748899465899485,5.5552849798026,"Fluorescent","111344518","GFP-like fluorescent chromoprotein amFP486","PROTEIN_CODING","NW_019218533.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111346891",3.11519564035922,3.51796329189321e-07,5.52599440263099e-05,"HF",58.6240020311781,0.611620498386301,5.0933473429657,"Fluorescent","111346891","heme-binding protein 2-like","PROTEIN_CODING","NW_019218988.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111324621",3.0692732901468,3.75448303486025e-07,5.80536939265265e-05,"HF",75.5890254555505,0.604068454764613,5.081002435962,"Fluorescent","111324621","neuronal pentraxin-1-like","PROTEIN_CODING","NW_019217845.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111320952",2.19484107535538,6.38894404890323e-07,8.66095757643101e-05,"HF",24.3273777614361,0.440813167054413,4.97907331131161,"Fluorescent","111320952","trypsin-like","PROTEIN_CODING","NW_019217807.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111333986",1.89152712574259,7.71350067188859e-07,0.000103152436012175,"HF",109.367814384085,0.38270809644129,4.94248003460456,"Fluorescent","111333986","zinc metalloproteinase nas-4-like","PROTEIN_CODING","NW_019218016.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111343618",-1.23933080115693,5.85828228627394e-06,0.000527032377317881,"NF",117.524089379238,0.273495985694082,-4.53144055482839,"Non-fluorescent","111343618","uncharacterized LOC111343618","PROTEIN_CODING","NW_019218437.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111329755",1.72502061237153,0.000249355930413745,0.0103247961814829,"HF",1027.60575039002,0.470941317118031,3.66292051614403,"Fluorescent","111329755","soma ferritin-like","PROTEIN_CODING","NW_019217923.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111330961",1.4412646612264,0.000342796495582646,0.0130166272393319,"HF",24.3118116552781,0.402519608775056,3.58060732895086,"Fluorescent","111330961","calretinin-like","PROTEIN_CODING","NW_019217946.1",""
"Hayward2011.pre_settlement.stylophora_genes","LOC111342546",2.7047672855721,0.000432085563360855,0.0156026029309623,"HF",4.35749710522184,0.768472046187497,3.51966906147185,"Fluorescent","111342546","uncharacterized LOC111342546","PROTEIN_CODING","NW_019218351.1",""
"Jamaa2026.up_aboral_planulae.stylophora_genes","LOC111322266",1.97229285470947,1.79997969155634e-05,0.00135974038378943,"HF",16.3453664459718,0.459917846151408,4.28835904328047,"Fluorescent","111322266","gamma-interferon-inducible lysosomal thiol reductase-like","PROTEIN_CODING","NW_019217819.1",""
"Jamaa2026.up_aboral_planulae.stylophora_genes","LOC111322261",1.87940352606128,0.000423519861919121,0.0154086490939398,"HF",187.15310479635,0.533167628105704,3.52497681214936,"Fluorescent","111322261","gamma-interferon-inducible lysosomal thiol reductase-like","PROTEIN_CODING","NW_019217819.1",""
"Jamaa2026.up_aboral_planulae.stylophora_genes","LOC111329016",1.0345951511106,0.00126388472253623,0.0354317371507606,"HF",51.5214540731829,0.320898582168807,3.22405647328899,"Fluorescent","111329016","lysosomal alpha-mannosidase-like","PROTEIN_CODING","NW_019217909.1",""
"Jamaa2026.up_planulae.stylophora_genes","LOC111322549",2.395532674725,5.20862999210691e-05,0.00306813109535059,"HF",779.028682882646,0.592065147178011,4.04606264385422,"Fluorescent","111322549","uncharacterized LOC111322549","PROTEIN_CODING","NW_019217822.1",""
