"gene_set","gene_set_size","genes_tested","significant_de_genes","significant_up_HF","significant_up_NF"
"Hayward2011.pre_settlement.stylophora_genes",130,83,9,8,1
"Hayward2011.post_settlement.stylophora_genes",139,89,6,3,3
"Grasso2011.up_in_CCA_0.5-4.stylophora_genes",92,63,5,3,2
"Jamaa2026.up_settler.stylophora_genes",76,48,4,3,1
"Grasso2011.down_in_CCA_4-12.stylophora_genes",24,16,3,2,1
"Jamaa2026.up_aboral_planulae.stylophora_genes",27,21,3,3,0
"Walker2019.probing.stylophora_genes",16,9,3,0,3
"Grasso2011.down_in_CCA_0.5-4.stylophora_genes",22,15,2,1,1
"Grasso2011.up_in_CCA_4-12.stylophora_genes",49,28,2,2,0
"Jamaa2026.up_planulae.stylophora_genes",56,34,1,1,0
