baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,NCBI.GeneID,Symbol,Description,Gene.Type,Annotation.Genomic.Range.Accession,SwissProt.Accessions
2797.146277,3.561012329,0.357350621,9.96503748,2.17E-23,2.15E-19,Fluorescent,111327082,LOC111327082,major yolk protein-like,PROTEIN_CODING,NW_019217877.1,
145.0670125,-1.650112106,0.203939538,-8.091182926,5.91E-16,1.35E-12,Non-fluorescent,111324201,LOC111324201,coadhesin-like,PROTEIN_CODING,NW_019217841.1,
141.2692371,2.659288391,0.365600386,7.273757058,3.50E-13,4.94E-10,Fluorescent,111328748,LOC111328748,complement C3-like,PROTEIN_CODING,NW_019217905.1,
36.63093573,2.990621927,0.427938781,6.988433993,2.78E-12,2.91E-09,Fluorescent,111334416,LOC111334416,kielin/chordin-like protein,PROTEIN_CODING,NW_019218027.1,
18.30980335,4.701364936,0.69060701,6.80758357,9.93E-12,8.16E-09,Fluorescent,111346784,LOC111346784,GFP-like fluorescent chromoprotein amFP486,PROTEIN_CODING,NW_019218957.1,
52.26783384,2.230764859,0.401221257,5.559936867,2.70E-08,7.03E-06,Fluorescent,111340560,LOC111340560,uncharacterized skeletal organic matrix protein 7-like,PROTEIN_CODING,NW_019217796.1,
11.50819374,4.160349954,0.748899466,5.55528498,2.77E-08,7.03E-06,Fluorescent,111344518,LOC111344518,GFP-like fluorescent chromoprotein amFP486,PROTEIN_CODING,NW_019218533.1,
13.96137833,2.829985804,0.526982393,5.370171451,7.87E-08,1.62E-05,Fluorescent,111338219,LOC111338219,MAM and LDL-receptor class A domain-containing protein 1-like,PROTEIN_CODING,NW_019218144.1,
60.53001824,-1.078631909,0.232732064,-4.634651066,3.58E-06,0.000346884,Non-fluorescent,111336974,LOC111336974,low-density lipoprotein receptor-related protein 8-like,PROTEIN_CODING,NW_019218103.1,
635.7009647,2.437091197,0.553341728,4.404314861,1.06E-05,0.000889958,Fluorescent,111337489,LOC111337489,uncharacterized LOC111337489,PROTEIN_CODING,NW_019218119.1,
77.40950942,1.272344823,0.354624242,3.587867585,0.000333394,0.012938283,Fluorescent,111321178,LOC111321178,vitellogenin-like,PROTEIN_CODING,NW_019217809.1,
13.00301751,1.471134779,0.425879687,3.454343615,0.000551634,0.019289648,Fluorescent,111328120,LOC111328120,hephaestin-like protein,PROTEIN_CODING,NW_019217895.1,
