"","sample","condition","gene","expression"
"1","pl_101","High_fluo","LOC111346784",3.90406367278928
"2","pl_101","High_fluo","LOC111344518",3.15183916576483
"3","pl_102","High_fluo","LOC111346784",3.72192001748932
"4","pl_102","High_fluo","LOC111344518",3.08202209013636
"5","pl_104","High_fluo","LOC111346784",5.14480741648901
"6","pl_104","High_fluo","LOC111344518",3.56710151521264
"7","pl_106","High_fluo","LOC111346784",4.91701518438693
"8","pl_106","High_fluo","LOC111344518",4.62429870909406
"9","pl_107","High_fluo","LOC111346784",3.95440464486041
"10","pl_107","High_fluo","LOC111344518",3.25646952830929
"11","pl_111","Non_fluo","LOC111346784",2.56928730380311
"12","pl_111","Non_fluo","LOC111344518",2.53777829322114
"13","pl_112","Non_fluo","LOC111346784",2.92052431881356
"14","pl_112","Non_fluo","LOC111344518",2.31803328353046
"15","pl_113","Non_fluo","LOC111346784",2.41512763971976
"16","pl_113","Non_fluo","LOC111344518",2.04181039765618
"17","pl_118","Non_fluo","LOC111346784",2.63263103113368
"18","pl_118","Non_fluo","LOC111344518",2.25565391251167
"19","pl_119","Non_fluo","LOC111346784",2.73351604706308
"20","pl_119","Non_fluo","LOC111344518",2.17405080352997
