,pl_101,pl_102,pl_104,pl_106,pl_107,pl_111,pl_112,pl_113,pl_118,pl_119
LOC111326392,5.144015019,4.839654028,5.08265055,5.06571156,4.846931031,5.780450867,5.471738612,5.30874349,5.386949505,5.350202131
LOC111326177,8.887111278,8.50753027,8.653926166,8.568065671,8.706189986,8.797955044,8.993150695,8.715174902,9.120915995,8.670597894
LOC111327133,6.86543426,7.06601944,6.755529902,6.342926935,7.149072637,7.064669434,7.479904348,7.169072186,7.257288971,7.326146565
LOC111327047,5.302440299,5.386064992,5.365635503,5.149747563,5.066484721,5.776075368,5.097337223,5.551697307,5.126021427,5.235447643
LOC111328643,2.786265588,2.922730419,2.529053971,2.555604234,2.707262543,2.875352941,2.973736839,2.533771791,2.735872444,2.556331898
LOC111347478,6.096437461,6.061480831,6.64801042,6.312340092,6.350511801,6.522978205,6.376464728,6.234004016,6.11798777,6.52518562
LOC111325747,2.602135004,2.356776339,2.313064032,2.021579012,2.17414613,2.227797184,2.619118321,2.545911136,2.682870982,2.570861658
LOC111319340,1.716078677,1.914780893,1.395518188,1.940688823,1.905504314,1.617389304,1.96340871,1.398355914,1.582256348,1.974587226
LOC111320611,1.392476394,1.138466381,2.077008451,1.507394371,1.244580897,1.062010611,1.479762985,1.705982043,1.308467439,1.0041962
LOC111344587,3.325424313,3.80337091,3.260539248,3.289690829,2.774037999,3.465127124,2.914896803,3.422219154,3.330845358,3.026110616
LOC111331958,4.010544166,4.123969386,4.014657075,4.217816611,3.848977956,4.292731555,4.10489054,4.276470667,4.448849269,3.749976388
LOC111345918,3.805927071,3.726986208,3.842070153,3.884352939,3.861517481,3.908670045,3.661992473,3.505953328,3.775147531,3.850843228
LOC111342729,7.816373986,7.873543896,7.961700435,7.752991073,8.14932576,8.024603775,7.887026163,7.285767009,7.533658192,7.643263808
LOC111328189,3.347273888,3.083468843,3.468820193,3.049956456,3.36119057,3.192608089,3.420399059,2.981190371,3.316337086,3.130780418
LOC111328095,1.869983816,1.876001002,2.404789947,2.120759462,1.838320598,2.376322824,1.801076674,1.953392949,1.629218987,1.78771564
LOC111328459,4.050438972,4.061599246,4.002248974,4.345228883,3.495845706,3.79085762,3.763322939,3.966670954,3.597215338,3.521943161
