term	name
GO:0008270	zinc ion binding
GO:0003824	catalytic activity
GO:0004386	helicase activity
GO:0004519	endonuclease activity
GO:0003676	nucleic acid binding
GO:0000166	nucleotide binding
GO:0005515	protein binding
GO:0016020	membrane
GO:0016311	dephosphorylation
GO:0016791	phosphatase activity
GO:0008017	microtubule binding
GO:0005737	cytoplasm
GO:0005856	cytoskeleton
GO:0043565	sequence-specific DNA binding
GO:0003723	RNA binding
GO:0016567	protein ubiquitination
GO:0004842	ubiquitin-protein transferase activity
GO:0046872	metal ion binding
GO:0003796	lysozyme activity
GO:0016757	glycosyltransferase activity
GO:0005794	Golgi apparatus
GO:0007165	signal transduction
GO:0004888	transmembrane signaling receptor activity
GO:0007166	cell surface receptor signaling pathway
GO:0007186	G protein-coupled receptor signaling pathway
GO:0004930	G protein-coupled receptor activity
GO:0003677	DNA binding
GO:0005524	ATP binding
GO:0016787	hydrolase activity
GO:0043169	cation binding
GO:0046983	protein dimerization activity
GO:0006278	RNA-templated DNA biosynthetic process
GO:0003964	RNA-directed DNA polymerase activity
GO:0000724	double-strand break repair via homologous recombination
GO:0006260	DNA replication
GO:0006289	nucleotide-excision repair
GO:0003697	single-stranded DNA binding
GO:0000781	chromosome, telomeric region
GO:0005662	DNA replication factor A complex
GO:0035861	site of double-strand break
GO:0015074	DNA integration
GO:0001868	regulation of complement activation, lectin pathway
GO:0010185	regulation of cellular defense response
GO:0042806	fucose binding
GO:0006508	proteolysis
GO:0008234	cysteine-type peptidase activity
GO:0007399	nervous system development
GO:0030154	cell differentiation
GO:0008201	heparin binding
GO:0005096	GTPase activator activity
GO:0035556	intracellular signal transduction
GO:0050790	regulation of catalytic activity
GO:0005634	nucleus
GO:0010951	negative regulation of endopeptidase activity
GO:0004866	endopeptidase inhibitor activity
GO:0016310	phosphorylation
GO:0016301	kinase activity
GO:0008233	peptidase activity
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016740	transferase activity
GO:0009116	nucleoside metabolic process
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0006353	DNA-templated transcription termination
GO:0005581	collagen trimer
GO:0071897	DNA biosynthetic process
GO:0003887	DNA-directed DNA polymerase activity
GO:0008168	methyltransferase activity
GO:0016706	2-oxoglutarate-dependent dioxygenase activity
GO:0003774	cytoskeletal motor activity
GO:0003779	actin binding
GO:0016459	myosin complex
GO:0048513	animal organ development
GO:0051015	actin filament binding
GO:0015629	actin cytoskeleton
GO:0006310	DNA recombination
GO:0005509	calcium ion binding
GO:0006629	lipid metabolic process
GO:0005576	extracellular region
GO:0005488	binding
GO:0003700	DNA-binding transcription factor activity
GO:0042981	regulation of apoptotic process
GO:0009190	cyclic nucleotide biosynthetic process
GO:0016829	lyase activity
GO:1901363	heterocyclic compound binding
GO:0004672	protein kinase activity
GO:0006468	protein phosphorylation
GO:0004713	protein tyrosine kinase activity
GO:0009987	cellular process
GO:0004692	cGMP-dependent protein kinase activity
GO:0004712	protein serine/threonine/tyrosine kinase activity
GO:0106310	protein serine kinase activity
GO:0043547	positive regulation of GTPase activity
GO:0046580	negative regulation of Ras protein signal transduction
GO:0035091	phosphatidylinositol binding
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0016579	protein deubiquitination
GO:0004843	cysteine-type deubiquitinase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0043130	ubiquitin binding
GO:0007283	spermatogenesis
GO:0032027	myosin light chain binding
GO:0004190	aspartic-type endopeptidase activity
GO:0016779	nucleotidyltransferase activity
GO:0006915	apoptotic process
GO:0006412	translation
GO:0003735	structural constituent of ribosome
GO:0005840	ribosome
GO:0007099	centriole replication
GO:0032465	regulation of cytokinesis
GO:0051298	centrosome duplication
GO:0005814	centriole
GO:0006259	DNA metabolic process
GO:0140657	ATP-dependent activity
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0005743	mitochondrial inner membrane
GO:0036297	interstrand cross-link repair
GO:0043240	Fanconi anaemia nuclear complex
GO:0018108	peptidyl-tyrosine phosphorylation
GO:0008152	metabolic process
GO:0006955	immune response
GO:0005164	tumor necrosis factor receptor binding
GO:0035335	peptidyl-tyrosine dephosphorylation
GO:0004725	protein tyrosine phosphatase activity
GO:0007049	cell cycle
GO:0001172	RNA-templated transcription
GO:0001682	tRNA 5'-leader removal
GO:0005975	carbohydrate metabolic process
GO:0006013	mannose metabolic process
GO:0006119	oxidative phosphorylation
GO:0006226	dUMP biosynthetic process
GO:0006269	DNA replication, synthesis of primer
GO:0006313	DNA transposition
GO:0006351	DNA-templated transcription
GO:0006352	DNA-templated transcription initiation
GO:0006355	regulation of DNA-templated transcription
GO:0006357	regulation of transcription by RNA polymerase II
GO:0006417	regulation of translation
GO:0006491	N-glycan processing
GO:0006517	protein deglycosylation
GO:0006631	fatty acid metabolic process
GO:0006633	fatty acid biosynthetic process
GO:0006811	monoatomic ion transport
GO:0006812	monoatomic cation transport
GO:0006813	potassium ion transport
GO:0007424	open tracheal system development
GO:0007608	sensory perception of smell
GO:0008033	tRNA processing
GO:0008362	chitin-based embryonic cuticle biosynthetic process
GO:0008652	amino acid biosynthetic process
GO:0009060	aerobic respiration
GO:0009086	methionine biosynthetic process
GO:0009117	nucleotide metabolic process
GO:0009725	response to hormone
GO:0009734	auxin-activated signaling pathway
GO:0010506	regulation of autophagy
GO:0015979	photosynthesis
GO:0016032	viral process
GO:0016063	rhodopsin biosynthetic process
GO:0016102	diterpenoid biosynthetic process
GO:0017000	antibiotic biosynthetic process
GO:0018144	RNA-protein covalent cross-linking
GO:0019062	virion attachment to host cell
GO:0019068	virion assembly
GO:0019073	viral DNA genome packaging
GO:0019079	viral genome replication
GO:0019082	viral protein processing
GO:0019083	viral transcription
GO:0019284	L-methionine salvage from S-adenosylmethionine
GO:0019509	L-methionine salvage from methylthioadenosine
GO:0022900	electron transport chain
GO:0030001	metal ion transport
GO:0030431	sleep
GO:0030639	polyketide biosynthetic process
GO:0032222	regulation of synaptic transmission, cholinergic
GO:0032259	methylation
GO:0032787	monocarboxylic acid metabolic process
GO:0033567	DNA replication, Okazaki fragment processing
GO:0034220	monoatomic ion transmembrane transport
GO:0035010	encapsulation of foreign target
GO:0035152	regulation of tube architecture, open tracheal system
GO:0035158	regulation of tube diameter, open tracheal system
GO:0039520	symbiont-mediated activation of host autophagy
GO:0039525	symbiont-mediated perturbation of host chromatin organization
GO:0039548	symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity
GO:0039648	symbiont-mediated perturbation of host ubiquitin-like protein modification
GO:0039693	viral DNA genome replication
GO:0039694	viral RNA genome replication
GO:0039695	DNA-templated viral transcription
GO:0044238	primary metabolic process
GO:0044826	viral genome integration into host DNA
GO:0045944	positive regulation of transcription by RNA polymerase II
GO:0046081	dUTP catabolic process
GO:0046718	symbiont entry into host cell
GO:0046782	regulation of viral transcription
GO:0048511	rhythmic process
GO:0048731	system development
GO:0050896	response to stimulus
GO:0050911	detection of chemical stimulus involved in sensory perception of smell
GO:0051259	protein complex oligomerization
GO:0055085	transmembrane transport
GO:0071805	potassium ion transmembrane transport
GO:0075509	endocytosis involved in viral entry into host cell
GO:0075512	clathrin-dependent endocytosis of virus by host cell
GO:0075713	establishment of integrated proviral latency
GO:0090304	nucleic acid metabolic process
GO:0098006	viral DNA genome packaging, headful
GO:0098655	monoatomic cation transmembrane transport
GO:0099002	symbiont genome ejection through host cell envelope, short tail mechanism
GO:1902600	proton transmembrane transport
GO:1903818	positive regulation of voltage-gated potassium channel activity
GO:0000287	magnesium ion binding
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0003678	DNA helicase activity
GO:0003724	RNA helicase activity
GO:0003727	single-stranded RNA binding
GO:0003899	DNA-directed RNA polymerase activity
GO:0003968	RNA-directed RNA polymerase activity
GO:0004129	cytochrome-c oxidase activity
GO:0004170	dUTP diphosphatase activity
GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004518	nuclease activity
GO:0004527	exonuclease activity
GO:0004532	RNA exonuclease activity
GO:0004559	alpha-mannosidase activity
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
GO:0004803	transposase activity
GO:0004984	olfactory receptor activity
GO:0005198	structural molecule activity
GO:0005216	monoatomic ion channel activity
GO:0005267	potassium channel activity
GO:0008237	metallopeptidase activity
GO:0008242	omega peptidase activity
GO:0008324	monoatomic cation transmembrane transporter activity
GO:0010333	terpene synthase activity
GO:0016419	S-malonyltransferase activity
GO:0016491	oxidoreductase activity
GO:0016746	acyltransferase activity
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0016788	hydrolase activity, acting on ester bonds
GO:0016798	hydrolase activity, acting on glycosyl bonds
