NCBI GeneID	Symbol	Description	Gene Type	Annotation Genomic Range Accession 	SwissProt Accessions
6798781	ND2	NADH dehydrogenase subunit 2	PROTEIN_CODING	NC_011162.1	
6798782	COX2	cytochrome c oxidase subunit II	PROTEIN_CODING	NC_011162.1	
6798783	COX3	cytochrome c oxidase subunit III	PROTEIN_CODING	NC_011162.1	
6798784	ATP8	ATP synthase F0 subunit 8	PROTEIN_CODING	NC_011162.1	
6798785	ATP6	ATP synthase F0 subunit 6	PROTEIN_CODING	NC_011162.1	
6798786	ND4L	NADH dehydrogenase subunit 4L	PROTEIN_CODING	NC_011162.1	
6798787	ND4	NADH dehydrogenase subunit 4	PROTEIN_CODING	NC_011162.1	
6798788	ND6	NADH dehydrogenase subunit 6	PROTEIN_CODING	NC_011162.1	
6798789	COX1	cytochrome c oxidase subunit I	PROTEIN_CODING	NC_011162.1	
6798790	ND3	NADH dehydrogenase subunit 3	PROTEIN_CODING	NC_011162.1	
6798791	CYTB	cytochrome b	PROTEIN_CODING	NC_011162.1	
6798792	ND1	NADH dehydrogenase subunit 1	PROTEIN_CODING	NC_011162.1	
6798793	ND5	NADH dehydrogenase subunit 5	PROTEIN_CODING	NC_011162.1	
111343361	LOC111343361	60S acidic ribosomal protein P0-like	PROTEIN_CODING	NW_019218415.1	
111340352	Cglr2	Cyclic GMP-AMP synthase-like receptor 2	PROTEIN_CODING	NW_019218231.1	A0A2B4RNI3
64987952	KEG84_r02	l-rRNA	rRNA	NC_011162.1	
111339125	LOC111339125	receptor-type tyrosine-protein phosphatase gamma-like	PROTEIN_CODING	NW_019218178.1	
111326059	LOC111326059	plasma membrane calcium-transporting ATPase 3-like	PROTEIN_CODING	NW_019217864.1	
111337613	LOC111337613	caspase-8-like	PROTEIN_CODING	NW_019217794.1	
111340887	LOC111340887	apoptosis regulator R1-like	PROTEIN_CODING	NW_019218258.1	
111321799	LOC111321799	voltage-dependent N-type calcium channel subunit alpha-1B-like	PROTEIN_CODING	NW_019217785.1	
111341163	LOC111341163	voltage-dependent L-type calcium channel subunit alpha-1D-like	PROTEIN_CODING	NW_019218272.1	
111319417	LOC111319417	actin, cytoplasmic-like	PROTEIN_CODING	NW_019219849.1	
111332340	LOC111332340	voltage-dependent N-type calcium channel subunit alpha-1B-like	PROTEIN_CODING	NW_019217974.1	
111322812	LOC111322812	sodium-independent sulfate anion transporter-like	PROTEIN_CODING	NW_019217825.1	
111323853	LOC111323853	sodium bicarbonate transporter-like protein 11	PROTEIN_CODING	NW_019217837.1	
111328161	LOC111328161	band 3 anion transport protein-like	PROTEIN_CODING	NW_019217896.1	
111338171	LOC111338171	solute carrier family 26 member 10-like	PROTEIN_CODING	NW_019217795.1	
111339139	LOC111339139	sodium bicarbonate cotransporter 3-like	PROTEIN_CODING	NW_019218179.1	
111319708	LOC111319708	GFP-like fluorescent chromoprotein amFP486	PROTEIN_CODING	NW_019220287.1	
111327037	LOC111327037	carbonic anhydrase-like	PROTEIN_CODING	NW_019217877.1	
111327326	LOC111327326	carbonic anhydrase 1-like	PROTEIN_CODING	NW_019217788.1	
111330399	LOC111330399	carbonic anhydrase 2-like	PROTEIN_CODING	NW_019217934.1	
111330400	LOC111330400	carbonic anhydrase 2-like	PROTEIN_CODING	NW_019217934.1	
111333012	LOC111333012	carbonic anhydrase 2-like	PROTEIN_CODING	NW_019217992.1	
111328195	LOC111328195	anion exchange protein 2-like	PROTEIN_CODING	NW_019217896.1	
111330865	LOC111330865	anion exchange protein 2-like	PROTEIN_CODING	NW_019217944.1	
111338156	LOC111338156	sulfate anion transporter 1-like	PROTEIN_CODING	NW_019217795.1	
111338961	LOC111338961	carbonic anhydrase 2-like	PROTEIN_CODING	NW_019218172.1	
111341265	LOC111341265	carbonic anhydrase 1-like	PROTEIN_CODING	NW_019218277.1	
111330415	LOC111330415	carbonic anhydrase 2-like	PROTEIN_CODING	NW_019217934.1	
