gene	GO
KEG84_p01	GO:0003674,GO:0003824,GO:0004129,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005750,GO:0005751,GO:0006091,GO:0006119,GO:0006123,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006950,GO:0006979,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0007568,GO:0008150,GO:0008152,GO:0008324,GO:0009055,GO:0009060,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009628,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0015002,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015672,GO:0015980,GO:0015988,GO:0015990,GO:0016020,GO:0016310,GO:0016491,GO:0016675,GO:0016676,GO:0017144,GO:0019637,GO:0019646,GO:0019693,GO:0019866,GO:0020037,GO:0021549,GO:0022037,GO:0022857,GO:0022890,GO:0022900,GO:0022904,GO:0030902,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032991,GO:0034220,GO:0034641,GO:0042221,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045275,GO:0045277,GO:0045333,GO:0046034,GO:0046483,GO:0046686,GO:0046688,GO:0048513,GO:0048731,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051597,GO:0051602,GO:0055085,GO:0055086,GO:0055114,GO:0060322,GO:0070069,GO:0070469,GO:0071704,GO:0072521,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1902600,GO:1990204
KEG84_p03	GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0006996,GO:0007005,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009314,GO:0009416,GO:0009628,GO:0009642,GO:0009719,GO:0009725,GO:0009987,GO:0010033,GO:0010257,GO:0014070,GO:0015980,GO:0016020,GO:0016043,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0019866,GO:0022607,GO:0022900,GO:0022904,GO:0030964,GO:0031090,GO:0031960,GO:0031966,GO:0031967,GO:0031975,GO:0032870,GO:0032981,GO:0032991,GO:0033108,GO:0033993,GO:0034622,GO:0034641,GO:0042221,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045271,GO:0045333,GO:0046034,GO:0046483,GO:0048545,GO:0050136,GO:0050896,GO:0051384,GO:0051716,GO:0055086,GO:0055114,GO:0065003,GO:0070469,GO:0070887,GO:0071310,GO:0071383,GO:0071384,GO:0071385,GO:0071396,GO:0071407,GO:0071495,GO:0071704,GO:0071840,GO:0072521,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1990204
KEG84_p04	GO:0005747,GO:0016651,GO:0030964,GO:0042773
KEG84_p05	GO:0004129,GO:0005507,GO:0016020,GO:0022900,GO:0042773
KEG84_p06	GO:0004129,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006123,GO:0008150,GO:0008535,GO:0009055,GO:0009060,GO:0009987,GO:0016020,GO:0016043,GO:0017004,GO:0019646,GO:0019866,GO:0022607,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045277,GO:0065003,GO:0070069,GO:0070469,GO:0071840,GO:0098796,GO:0098803
KEG84_p07	GO:0003954,GO:0005747,GO:0008137,GO:0009060,GO:0015990,GO:0042773,GO:0048039
KEG84_p08	GO:0005753,GO:0015078,GO:0015986,GO:0045259,GO:0046933
KEG84_p09	GO:0005575,GO:0005623,GO:0005886,GO:0008137,GO:0016020,GO:0044464,GO:0071944
KEG84_p10	
KEG84_p11	GO:0000003,GO:0001666,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005750,GO:0006091,GO:0006119,GO:0006122,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006950,GO:0006970,GO:0006972,GO:0006979,GO:0007275,GO:0007276,GO:0007283,GO:0007584,GO:0008121,GO:0008150,GO:0008152,GO:0009055,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009266,GO:0009408,GO:0009605,GO:0009628,GO:0009636,GO:0009651,GO:0009719,GO:0009725,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010243,GO:0014070,GO:0015672,GO:0015980,GO:0015988,GO:0015990,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016679,GO:0016681,GO:0017144,GO:0019637,GO:0019693,GO:0019866,GO:0019953,GO:0020037,GO:0022414,GO:0022900,GO:0022904,GO:0031090,GO:0031099,GO:0031100,GO:0031224,GO:0031300,GO:0031301,GO:0031304,GO:0031305,GO:0031667,GO:0031966,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032504,GO:0032592,GO:0032991,GO:0033273,GO:0033590,GO:0033762,GO:0034220,GO:0034641,GO:0036293,GO:0036296,GO:0042221,GO:0042493,GO:0042538,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043434,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044703,GO:0044877,GO:0045275,GO:0045333,GO:0045471,GO:0046034,GO:0046483,GO:0046677,GO:0046686,GO:0046688,GO:0046689,GO:0046906,GO:0048037,GO:0048038,GO:0048039,GO:0048232,GO:0048513,GO:0048609,GO:0048731,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051592,GO:0051704,GO:0055085,GO:0055086,GO:0055093,GO:0055114,GO:0070069,GO:0070469,GO:0070482,GO:0071704,GO:0072521,GO:0097159,GO:0097305,GO:0098573,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901363,GO:1901564,GO:1901652,GO:1901698,GO:1901700,GO:1902494,GO:1902600,GO:1990204
KEG84_p12	GO:0003954,GO:0005747,GO:0009060,GO:0016020
KEG84_r01	GO:0003954,GO:0005747,GO:0008137,GO:0015990,GO:0042773
LOC111318820	GO:0005272,GO:0005886,GO:0006814,GO:0015280,GO:0016020,GO:0035725
